price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,299,467 - $2,561,326",2299467.0,"845 William St, Ingleside NSW 2875",Ingleside,0,1,1,Studio,https://www.realestate.com.au/property/ingleside/studio-0,realestate.com.au
"$708,678 ONO",708678.0,"376 Church St, Ingleside NSW 2631",Ingleside,4,2,4,Penthouse,https://www.domain.com.au/property/ingleside/penthouse-2,domain.com.au
"$1,559,533 ONO",1559533.0,"478 Albert St, Ingleside NSW 2995",Ingleside,3,3,3,House,https://www.realestate.com.au/property/ingleside/house-4,realestate.com.au
"$1,824,269 - $1,970,707",1824269.0,"639 Princes Highway, Ingleside NSW 2532",Ingleside,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/ingleside/apartment--unit--flat-6,domain.com.au
"From $2,427,173",2427173.0,"894 Railway St, Ingleside NSW 2301",Ingleside,3,4,0,Penthouse,https://www.rent.com.au/property/ingleside/penthouse-7,rent.com.au
"From $1,765,064",1765064.0,"483 Ocean Rd, Ingleside NSW 2543",Ingleside,5,2,0,Penthouse,https://www.domain.com.au/property/ingleside/penthouse-8,domain.com.au
"$1,303,206",1303206.0,"86 George St, Ingleside NSW 2385",Ingleside,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/ingleside/apartment--unit--flat-9,rent.com.au
"$1,675,493",1675493.0,"351 Military Rd, Ingleside NSW 2588",Ingleside,0,1,0,Studio,https://www.realestate.com.au/property/ingleside/studio-10,realestate.com.au
"Guide $1,607,356",1607356.0,"920 James St, Ingleside NSW 2893",Ingleside,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/ingleside/apartment--unit--flat-11,rent.com.au
"Guide $897,276",897276.0,"391 William St, Ingleside NSW 2779",Ingleside,3,3,2,Townhouse,https://www.domain.com.au/property/ingleside/townhouse-12,domain.com.au
"From $1,704,664",1704664.0,"833 The Boulevarde, Ingleside NSW 2291",Ingleside,1,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/ingleside/apartment--unit--flat-14,domain.com.au
"$1,256,302 - $1,358,470",1256302.0,"563 Beach Rd, Ingleside NSW 2944",Ingleside,4,3,1,House,https://www.realestateview.com.au/property/ingleside/house-15,realestateview.com.au
"$1,168,317",1168317.0,"926 King St, Ingleside NSW 2872",Ingleside,1,1,0,Villa,https://www.domain.com.au/property/ingleside/villa-16,domain.com.au
"$939,721",939721.0,"661 Military Rd, Ingleside NSW 2676",Ingleside,3,2,2,Villa,https://www.rent.com.au/property/ingleside/villa-17,rent.com.au
"From $1,201,809",1201809.0,"88 Market St, Ingleside NSW 2792",Ingleside,3,1,4,Apartment / Unit / Flat,https://www.rent.com.au/property/ingleside/apartment--unit--flat-18,rent.com.au
"From $827,073",827073.0,"370 The Boulevarde, Ingleside NSW 2172",Ingleside,0,1,3,Studio,https://www.realestateview.com.au/property/ingleside/studio-20,realestateview.com.au
"$2,286,694 ONO",2286694.0,"581 Railway St, Ingleside NSW 2015",Ingleside,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/ingleside/apartment--unit--flat-21,rent.com.au
"$1,368,664",1368664.0,"149 King St, Ingleside NSW 2647",Ingleside,6,2,2,Penthouse,https://www.realestateview.com.au/property/ingleside/penthouse-22,realestateview.com.au
"$697,011 - $786,088",697011.0,"471 Military Rd, Ingleside NSW 2249",Ingleside,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/ingleside/apartment--unit--flat-24,domain.com.au
