price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$706,851 - $833,995",706851.0,"935 Park Ave, Kellyville NSW 2615",Kellyville,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/kellyville/apartment--unit--flat-0,realestate.com.au
"From $1,256,344",1256344.0,"499 Princes Highway, Kellyville NSW 2738",Kellyville,2,1,2,Townhouse,https://www.rent.com.au/property/kellyville/townhouse-1,rent.com.au
"$2,101,316 - $2,287,071",2101316.0,"764 Pacific Highway, Kellyville NSW 2571",Kellyville,1,2,0,House,https://www.realestate.com.au/property/kellyville/house-3,realestate.com.au
"From $2,465,229",2465229.0,"859 Edward St, Kellyville NSW 2925",Kellyville,2,1,2,Villa,https://www.realestateview.com.au/property/kellyville/villa-4,realestateview.com.au
"$516,545 ONO",516545.0,"648 High St, Kellyville NSW 2638",Kellyville,3,3,3,Penthouse,https://www.realestate.com.au/property/kellyville/penthouse-5,realestate.com.au
"$1,903,671 ONO",1903671.0,"375 George St, Kellyville NSW 2302",Kellyville,5,2,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kellyville/apartment--unit--flat-6,realestateview.com.au
"$1,942,483 ONO",1942483.0,"797 Albert St, Kellyville NSW 2524",Kellyville,1,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kellyville/apartment--unit--flat-7,domain.com.au
"$1,626,055 - $1,915,595",1626055.0,"956 Albert St, Kellyville NSW 2901",Kellyville,0,1,1,Studio,https://www.rent.com.au/property/kellyville/studio-8,rent.com.au
"$1,059,904 - $1,134,839",1059904.0,"910 James St, Kellyville NSW 2349",Kellyville,4,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/kellyville/apartment--unit--flat-10,rent.com.au
"$2,011,372 ONO",2011372.0,"343 King St, Kellyville NSW 2237",Kellyville,4,3,0,Penthouse,https://www.domain.com.au/property/kellyville/penthouse-11,domain.com.au
"$1,388,227",1388227.0,"755 Market St, Kellyville NSW 2748",Kellyville,2,3,0,House,https://www.domain.com.au/property/kellyville/house-12,domain.com.au
"From $1,680,062",1680062.0,"713 James St, Kellyville NSW 2963",Kellyville,2,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/kellyville/apartment--unit--flat-13,rent.com.au
"$737,892",737892.0,"119 Princes Highway, Kellyville NSW 2243",Kellyville,5,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/kellyville/apartment--unit--flat-14,domain.com.au
"Guide $2,469,738",2469738.0,"918 The Boulevarde, Kellyville NSW 2603",Kellyville,4,3,2,House,https://www.realestate.com.au/property/kellyville/house-15,realestate.com.au
"Guide $1,938,071",1938071.0,"963 Park Ave, Kellyville NSW 2801",Kellyville,4,3,1,Townhouse,https://www.rent.com.au/property/kellyville/townhouse-16,rent.com.au
"$2,083,251 - $2,230,905",2083251.0,"429 Victoria St, Kellyville NSW 2396",Kellyville,1,1,2,House,https://www.domain.com.au/property/kellyville/house-17,domain.com.au
"$1,903,680 - $2,170,398",1903680.0,"321 Queen St, Kellyville NSW 2588",Kellyville,1,1,3,Townhouse,https://www.domain.com.au/property/kellyville/townhouse-18,domain.com.au
"Guide $2,388,586",2388586.0,"485 Edward St, Kellyville NSW 2338",Kellyville,5,2,2,Penthouse,https://www.realestate.com.au/property/kellyville/penthouse-19,realestate.com.au
"$1,126,796",1126796.0,"510 High St, Kellyville NSW 2002",Kellyville,0,1,4,Studio,https://www.domain.com.au/property/kellyville/studio-20,domain.com.au
"$785,566",785566.0,"780 Church St, Kellyville NSW 2803",Kellyville,0,1,0,Studio,https://www.domain.com.au/property/kellyville/studio-21,domain.com.au
"From $2,387,220",2387220.0,"464 William St, Kellyville NSW 2009",Kellyville,2,2,1,Villa,https://www.rent.com.au/property/kellyville/villa-22,rent.com.au
"From $1,757,665",1757665.0,"289 Princes Highway, Kellyville NSW 2499",Kellyville,2,1,1,Townhouse,https://www.realestateview.com.au/property/kellyville/townhouse-23,realestateview.com.au
"$733,635 - $971,833",733635.0,"282 Military Rd, Kellyville NSW 2363",Kellyville,0,1,1,Studio,https://www.domain.com.au/property/kellyville/studio-24,domain.com.au
