price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,458,252",2458252.0,"126 Elizabeth St, Kenthurst NSW 2799",Kenthurst,2,2,2,Townhouse,https://www.rent.com.au/property/kenthurst/townhouse-0,rent.com.au
"$2,415,667 ONO",2415667.0,"29 Elizabeth St, Kenthurst NSW 2247",Kenthurst,4,4,2,Penthouse,https://www.realestate.com.au/property/kenthurst/penthouse-1,realestate.com.au
"$2,184,579",2184579.0,"743 Princes Highway, Kenthurst NSW 2580",Kenthurst,2,2,4,Villa,https://www.domain.com.au/property/kenthurst/villa-3,domain.com.au
"From $1,918,095",1918095.0,"640 Albert St, Kenthurst NSW 2443",Kenthurst,2,2,2,House,https://www.realestateview.com.au/property/kenthurst/house-4,realestateview.com.au
"$2,124,002 - $2,394,894",2124002.0,"850 The Boulevarde, Kenthurst NSW 2073",Kenthurst,0,1,3,Studio,https://www.domain.com.au/property/kenthurst/studio-6,domain.com.au
"From $905,436",905436.0,"696 William St, Kenthurst NSW 2922",Kenthurst,3,2,3,Townhouse,https://www.realestate.com.au/property/kenthurst/townhouse-7,realestate.com.au
"$788,480 - $1,068,106",788480.0,"278 The Boulevarde, Kenthurst NSW 2246",Kenthurst,0,1,1,Studio,https://www.realestate.com.au/property/kenthurst/studio-8,realestate.com.au
"$1,535,571",1535571.0,"881 Beach Rd, Kenthurst NSW 2527",Kenthurst,2,2,4,Villa,https://www.domain.com.au/property/kenthurst/villa-9,domain.com.au
"$1,121,587 ONO",1121587.0,"139 Ocean Rd, Kenthurst NSW 2934",Kenthurst,3,4,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kenthurst/apartment--unit--flat-10,realestateview.com.au
"Guide $907,296",907296.0,"119 Market St, Kenthurst NSW 2204",Kenthurst,2,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/kenthurst/apartment--unit--flat-11,rent.com.au
"Guide $580,121",580121.0,"792 Beach Rd, Kenthurst NSW 2545",Kenthurst,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/kenthurst/apartment--unit--flat-12,rent.com.au
"$1,104,661 ONO",1104661.0,"94 George St, Kenthurst NSW 2451",Kenthurst,4,1,0,Townhouse,https://www.realestateview.com.au/property/kenthurst/townhouse-13,realestateview.com.au
"Guide $1,523,476",1523476.0,"266 Church St, Kenthurst NSW 2683",Kenthurst,6,4,0,Penthouse,https://www.rent.com.au/property/kenthurst/penthouse-14,rent.com.au
"Guide $695,112",695112.0,"903 Military Rd, Kenthurst NSW 2887",Kenthurst,3,2,1,Penthouse,https://www.domain.com.au/property/kenthurst/penthouse-15,domain.com.au
"$515,470 ONO",515470.0,"722 High St, Kenthurst NSW 2381",Kenthurst,2,2,0,Townhouse,https://www.realestateview.com.au/property/kenthurst/townhouse-16,realestateview.com.au
"$1,094,866",1094866.0,"895 James St, Kenthurst NSW 2751",Kenthurst,4,1,3,House,https://www.rent.com.au/property/kenthurst/house-17,rent.com.au
"$1,990,489 ONO",1990489.0,"336 Albert St, Kenthurst NSW 2651",Kenthurst,4,3,2,Penthouse,https://www.realestateview.com.au/property/kenthurst/penthouse-18,realestateview.com.au
"From $2,495,892",2495892.0,"808 Military Rd, Kenthurst NSW 2272",Kenthurst,2,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kenthurst/apartment--unit--flat-19,realestateview.com.au
"Guide $735,277",735277.0,"472 Queen St, Kenthurst NSW 2582",Kenthurst,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/kenthurst/apartment--unit--flat-20,domain.com.au
"$885,266 - $995,712",885266.0,"329 Victoria St, Kenthurst NSW 2770",Kenthurst,6,4,1,Penthouse,https://www.realestateview.com.au/property/kenthurst/penthouse-21,realestateview.com.au
"From $1,926,679",1926679.0,"102 George St, Kenthurst NSW 2098",Kenthurst,6,2,1,Penthouse,https://www.realestateview.com.au/property/kenthurst/penthouse-22,realestateview.com.au
"From $821,177",821177.0,"406 Ocean Rd, Kenthurst NSW 2955",Kenthurst,4,4,0,Townhouse,https://www.realestateview.com.au/property/kenthurst/townhouse-23,realestateview.com.au
"$1,793,737 - $2,019,746",1793737.0,"319 James St, Kenthurst NSW 2029",Kenthurst,6,2,3,Penthouse,https://www.realestateview.com.au/property/kenthurst/penthouse-24,realestateview.com.au
