price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$871,283 ONO",871283.0,"714 Elizabeth St, Kings Cross NSW 2124",Kings Cross,3,3,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kings-cross/apartment--unit--flat-0,realestateview.com.au
"Guide $2,373,187",2373187.0,"478 Queen St, Kings Cross NSW 2009",Kings Cross,3,4,1,Townhouse,https://www.realestateview.com.au/property/kings-cross/townhouse-1,realestateview.com.au
"From $1,795,345",1795345.0,"917 George St, Kings Cross NSW 2691",Kings Cross,3,2,1,Penthouse,https://www.rent.com.au/property/kings-cross/penthouse-2,rent.com.au
"$1,670,230 - $1,947,214",1670230.0,"468 Princes Highway, Kings Cross NSW 2460",Kings Cross,4,4,2,House,https://www.domain.com.au/property/kings-cross/house-3,domain.com.au
"From $1,754,906",1754906.0,"958 Railway St, Kings Cross NSW 2061",Kings Cross,3,2,1,Penthouse,https://www.realestateview.com.au/property/kings-cross/penthouse-5,realestateview.com.au
"From $1,765,440",1765440.0,"783 Beach Rd, Kings Cross NSW 2175",Kings Cross,4,3,4,Townhouse,https://www.rent.com.au/property/kings-cross/townhouse-6,rent.com.au
"From $2,130,029",2130029.0,"373 James St, Kings Cross NSW 2516",Kings Cross,0,1,1,Studio,https://www.domain.com.au/property/kings-cross/studio-7,domain.com.au
"$1,435,748 ONO",1435748.0,"563 Albert St, Kings Cross NSW 2608",Kings Cross,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/kings-cross/apartment--unit--flat-8,domain.com.au
"$2,037,845 - $2,326,223",2037845.0,"87 Queen St, Kings Cross NSW 2186",Kings Cross,4,1,0,Villa,https://www.domain.com.au/property/kings-cross/villa-9,domain.com.au
"$1,139,465",1139465.0,"489 Edward St, Kings Cross NSW 2161",Kings Cross,1,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/kings-cross/apartment--unit--flat-10,realestate.com.au
"$1,479,263 ONO",1479263.0,"126 George St, Kings Cross NSW 2661",Kings Cross,3,1,0,House,https://www.realestate.com.au/property/kings-cross/house-11,realestate.com.au
"$2,296,880 ONO",2296880.0,"562 High St, Kings Cross NSW 2981",Kings Cross,5,3,2,Penthouse,https://www.rent.com.au/property/kings-cross/penthouse-12,rent.com.au
"$2,212,971 - $2,510,236",2212971.0,"172 William St, Kings Cross NSW 2828",Kings Cross,4,3,1,House,https://www.realestateview.com.au/property/kings-cross/house-13,realestateview.com.au
"$1,719,991 - $1,922,347",1719991.0,"659 Pacific Highway, Kings Cross NSW 2518",Kings Cross,6,2,1,Penthouse,https://www.realestateview.com.au/property/kings-cross/penthouse-14,realestateview.com.au
"$2,435,509 - $2,624,927",2435509.0,"152 William St, Kings Cross NSW 2765",Kings Cross,3,2,1,Villa,https://www.rent.com.au/property/kings-cross/villa-15,rent.com.au
"$1,825,089 ONO",1825089.0,"218 Market St, Kings Cross NSW 2046",Kings Cross,4,2,0,Villa,https://www.rent.com.au/property/kings-cross/villa-16,rent.com.au
"From $595,838",595838.0,"100 Victoria St, Kings Cross NSW 2262",Kings Cross,4,1,1,Townhouse,https://www.realestate.com.au/property/kings-cross/townhouse-17,realestate.com.au
"$839,327",839327.0,"946 Pacific Highway, Kings Cross NSW 2722",Kings Cross,5,3,1,Penthouse,https://www.domain.com.au/property/kings-cross/penthouse-18,domain.com.au
"$2,197,853 ONO",2197853.0,"649 Ocean Rd, Kings Cross NSW 2276",Kings Cross,2,3,4,Apartment / Unit / Flat,https://www.rent.com.au/property/kings-cross/apartment--unit--flat-19,rent.com.au
"$1,627,229 - $1,891,584",1627229.0,"956 Military Rd, Kings Cross NSW 2721",Kings Cross,0,1,1,Studio,https://www.realestate.com.au/property/kings-cross/studio-20,realestate.com.au
"From $1,383,022",1383022.0,"652 James St, Kings Cross NSW 2283",Kings Cross,0,1,1,Studio,https://www.rent.com.au/property/kings-cross/studio-21,rent.com.au
"Guide $1,500,579",1500579.0,"667 Elizabeth St, Kings Cross NSW 2213",Kings Cross,2,3,2,Villa,https://www.realestate.com.au/property/kings-cross/villa-22,realestate.com.au
"$1,575,724 ONO",1575724.0,"390 The Boulevarde, Kings Cross NSW 2712",Kings Cross,1,1,1,Villa,https://www.realestateview.com.au/property/kings-cross/villa-23,realestateview.com.au
