price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$632,470 - $778,208",632470.0,"494 Edward St, Kingsgrove NSW 2455",Kingsgrove,3,3,0,House,https://www.realestateview.com.au/property/kingsgrove/house-1,realestateview.com.au
"$2,101,779 - $2,296,558",2101779.0,"833 Main St, Kingsgrove NSW 2268",Kingsgrove,4,3,2,Penthouse,https://www.domain.com.au/property/kingsgrove/penthouse-2,domain.com.au
"$2,376,801 - $2,624,498",2376801.0,"818 Military Rd, Kingsgrove NSW 2470",Kingsgrove,6,4,2,Penthouse,https://www.realestate.com.au/property/kingsgrove/penthouse-3,realestate.com.au
"Guide $2,028,943",2028943.0,"283 Market St, Kingsgrove NSW 2122",Kingsgrove,6,3,0,Penthouse,https://www.realestate.com.au/property/kingsgrove/penthouse-4,realestate.com.au
"Guide $1,857,686",1857686.0,"900 Main St, Kingsgrove NSW 2970",Kingsgrove,1,1,0,Townhouse,https://www.realestateview.com.au/property/kingsgrove/townhouse-5,realestateview.com.au
"From $1,639,175",1639175.0,"110 King St, Kingsgrove NSW 2251",Kingsgrove,2,1,4,Villa,https://www.domain.com.au/property/kingsgrove/villa-9,domain.com.au
"$2,346,844",2346844.0,"463 Albert St, Kingsgrove NSW 2916",Kingsgrove,5,3,3,Penthouse,https://www.realestate.com.au/property/kingsgrove/penthouse-10,realestate.com.au
"$1,778,303",1778303.0,"237 Edward St, Kingsgrove NSW 2526",Kingsgrove,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/kingsgrove/apartment--unit--flat-11,realestate.com.au
"$678,952",678952.0,"162 George St, Kingsgrove NSW 2287",Kingsgrove,3,4,0,Penthouse,https://www.rent.com.au/property/kingsgrove/penthouse-12,rent.com.au
"From $2,335,721",2335721.0,"596 Beach Rd, Kingsgrove NSW 2620",Kingsgrove,3,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kingsgrove/apartment--unit--flat-14,domain.com.au
