price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$760,107 - $863,954",760107.0,"593 Queen St, Kingswood NSW 2323",Kingswood,3,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/kingswood/apartment--unit--flat-0,rent.com.au
"$1,210,376 ONO",1210376.0,"958 Church St, Kingswood NSW 2923",Kingswood,0,1,3,Studio,https://www.realestate.com.au/property/kingswood/studio-1,realestate.com.au
"$1,345,528",1345528.0,"498 Princes Highway, Kingswood NSW 2448",Kingswood,2,2,2,Townhouse,https://www.domain.com.au/property/kingswood/townhouse-2,domain.com.au
"$1,792,329 ONO",1792329.0,"971 Main St, Kingswood NSW 2171",Kingswood,4,4,1,House,https://www.rent.com.au/property/kingswood/house-4,rent.com.au
"$1,305,632",1305632.0,"991 Military Rd, Kingswood NSW 2738",Kingswood,3,1,0,Villa,https://www.realestate.com.au/property/kingswood/villa-5,realestate.com.au
"$1,149,971 ONO",1149971.0,"80 Pacific Highway, Kingswood NSW 2901",Kingswood,2,1,0,Villa,https://www.realestate.com.au/property/kingswood/villa-6,realestate.com.au
"Guide $2,425,786",2425786.0,"689 Main St, Kingswood NSW 2973",Kingswood,4,4,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kingswood/apartment--unit--flat-7,realestateview.com.au
"Guide $1,480,255",1480255.0,"45 George St, Kingswood NSW 2695",Kingswood,3,4,4,House,https://www.rent.com.au/property/kingswood/house-8,rent.com.au
"$2,454,590 ONO",2454590.0,"883 Princes Highway, Kingswood NSW 2310",Kingswood,3,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/kingswood/apartment--unit--flat-9,domain.com.au
"$959,577",959577.0,"574 Albert St, Kingswood NSW 2999",Kingswood,0,1,1,Studio,https://www.realestateview.com.au/property/kingswood/studio-10,realestateview.com.au
"$2,290,135 ONO",2290135.0,"410 Railway St, Kingswood NSW 2314",Kingswood,1,1,2,Townhouse,https://www.realestateview.com.au/property/kingswood/townhouse-11,realestateview.com.au
"$1,614,965",1614965.0,"258 Elizabeth St, Kingswood NSW 2794",Kingswood,3,2,2,Penthouse,https://www.realestate.com.au/property/kingswood/penthouse-12,realestate.com.au
"$2,298,198",2298198.0,"436 High St, Kingswood NSW 2901",Kingswood,0,1,3,Studio,https://www.realestateview.com.au/property/kingswood/studio-13,realestateview.com.au
"$869,903 ONO",869903.0,"468 Edward St, Kingswood NSW 2309",Kingswood,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/kingswood/apartment--unit--flat-14,realestate.com.au
"$1,408,544",1408544.0,"386 King St, Kingswood NSW 2626",Kingswood,0,1,0,Studio,https://www.rent.com.au/property/kingswood/studio-15,rent.com.au
"Guide $2,405,958",2405958.0,"313 Victoria St, Kingswood NSW 2078",Kingswood,1,1,2,Villa,https://www.domain.com.au/property/kingswood/villa-16,domain.com.au
"$2,431,585 ONO",2431585.0,"482 William St, Kingswood NSW 2265",Kingswood,3,4,0,House,https://www.rent.com.au/property/kingswood/house-17,rent.com.au
"From $895,007",895007.0,"707 Park Ave, Kingswood NSW 2548",Kingswood,5,3,2,Penthouse,https://www.realestateview.com.au/property/kingswood/penthouse-18,realestateview.com.au
"$954,896 - $1,008,004",954896.0,"247 Main St, Kingswood NSW 2724",Kingswood,0,1,0,Studio,https://www.realestateview.com.au/property/kingswood/studio-19,realestateview.com.au
"From $2,213,574",2213574.0,"825 Albert St, Kingswood NSW 2133",Kingswood,5,2,2,Penthouse,https://www.realestateview.com.au/property/kingswood/penthouse-20,realestateview.com.au
"$627,619",627619.0,"681 Edward St, Kingswood NSW 2450",Kingswood,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/kingswood/apartment--unit--flat-21,realestate.com.au
"From $1,833,119",1833119.0,"824 High St, Kingswood NSW 2941",Kingswood,2,2,1,House,https://www.realestateview.com.au/property/kingswood/house-22,realestateview.com.au
"$1,094,322",1094322.0,"823 James St, Kingswood NSW 2385",Kingswood,3,4,2,House,https://www.realestateview.com.au/property/kingswood/house-23,realestateview.com.au
