price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$696,094 ONO",696094.0,"667 Military Rd, Kirrawee NSW 2172",Kirrawee,4,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/kirrawee/apartment--unit--flat-1,rent.com.au
"$1,616,257 ONO",1616257.0,"871 Beach Rd, Kirrawee NSW 2528",Kirrawee,1,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kirrawee/apartment--unit--flat-3,realestateview.com.au
"Guide $569,465",569465.0,"778 William St, Kirrawee NSW 2366",Kirrawee,6,4,3,Penthouse,https://www.realestateview.com.au/property/kirrawee/penthouse-4,realestateview.com.au
"From $1,079,463",1079463.0,"194 Victoria St, Kirrawee NSW 2030",Kirrawee,2,3,0,Villa,https://www.realestate.com.au/property/kirrawee/villa-5,realestate.com.au
"From $2,255,517",2255517.0,"488 Pacific Highway, Kirrawee NSW 2872",Kirrawee,1,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/kirrawee/apartment--unit--flat-6,rent.com.au
"$2,149,023",2149023.0,"384 Victoria St, Kirrawee NSW 2037",Kirrawee,5,3,1,House,https://www.domain.com.au/property/kirrawee/house-7,domain.com.au
"From $2,092,974",2092974.0,"923 William St, Kirrawee NSW 2701",Kirrawee,4,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kirrawee/apartment--unit--flat-8,realestateview.com.au
"$1,469,991 - $1,767,053",1469991.0,"164 Military Rd, Kirrawee NSW 2395",Kirrawee,2,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/kirrawee/apartment--unit--flat-9,realestate.com.au
"$1,895,898 ONO",1895898.0,"407 Victoria St, Kirrawee NSW 2336",Kirrawee,3,4,0,Penthouse,https://www.realestateview.com.au/property/kirrawee/penthouse-10,realestateview.com.au
"From $592,853",592853.0,"611 Park Ave, Kirrawee NSW 2755",Kirrawee,1,1,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/kirrawee/apartment--unit--flat-11,realestate.com.au
"$865,310 - $972,681",865310.0,"400 Queen St, Kirrawee NSW 2556",Kirrawee,3,2,0,House,https://www.domain.com.au/property/kirrawee/house-12,domain.com.au
"$1,984,050 - $2,220,845",1984050.0,"619 Ocean Rd, Kirrawee NSW 2911",Kirrawee,3,4,0,Townhouse,https://www.realestateview.com.au/property/kirrawee/townhouse-13,realestateview.com.au
"From $1,791,506",1791506.0,"945 Railway St, Kirrawee NSW 2790",Kirrawee,2,1,0,Villa,https://www.rent.com.au/property/kirrawee/villa-14,rent.com.au
"Guide $602,116",602116.0,"438 Queen St, Kirrawee NSW 2169",Kirrawee,3,2,3,Penthouse,https://www.realestateview.com.au/property/kirrawee/penthouse-15,realestateview.com.au
"$1,050,993 ONO",1050993.0,"827 Elizabeth St, Kirrawee NSW 2249",Kirrawee,2,2,0,Townhouse,https://www.rent.com.au/property/kirrawee/townhouse-16,rent.com.au
"$1,502,904",1502904.0,"792 Princes Highway, Kirrawee NSW 2964",Kirrawee,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kirrawee/apartment--unit--flat-17,realestateview.com.au
"$1,114,490",1114490.0,"562 Market St, Kirrawee NSW 2757",Kirrawee,2,2,4,Townhouse,https://www.realestate.com.au/property/kirrawee/townhouse-18,realestate.com.au
"From $674,060",674060.0,"943 Railway St, Kirrawee NSW 2846",Kirrawee,1,2,1,Villa,https://www.domain.com.au/property/kirrawee/villa-19,domain.com.au
"$905,068 - $1,056,899",905068.0,"946 Market St, Kirrawee NSW 2549",Kirrawee,3,3,3,Villa,https://www.realestateview.com.au/property/kirrawee/villa-20,realestateview.com.au
"From $1,282,613",1282613.0,"991 Military Rd, Kirrawee NSW 2002",Kirrawee,2,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kirrawee/apartment--unit--flat-21,domain.com.au
"From $1,119,777",1119777.0,"84 Queen St, Kirrawee NSW 2148",Kirrawee,0,1,2,Studio,https://www.realestate.com.au/property/kirrawee/studio-22,realestate.com.au
"$2,069,523 - $2,136,048",2069523.0,"212 Queen St, Kirrawee NSW 2674",Kirrawee,3,1,2,House,https://www.rent.com.au/property/kirrawee/house-23,rent.com.au
"From $903,133",903133.0,"881 Ocean Rd, Kirrawee NSW 2395",Kirrawee,2,1,1,Townhouse,https://www.realestate.com.au/property/kirrawee/townhouse-24,realestate.com.au
