price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,458,332 ONO",2458332.0,"44 William St, Kogarah NSW 2371",Kogarah,3,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/kogarah/apartment--unit--flat-0,rent.com.au
"$2,432,616",2432616.0,"491 Beach Rd, Kogarah NSW 2098",Kogarah,1,1,1,Villa,https://www.rent.com.au/property/kogarah/villa-1,rent.com.au
"$1,718,567 - $1,773,407",1718567.0,"201 High St, Kogarah NSW 2013",Kogarah,5,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/kogarah/apartment--unit--flat-2,rent.com.au
"$598,818 ONO",598818.0,"98 Edward St, Kogarah NSW 2253",Kogarah,4,3,3,Penthouse,https://www.realestate.com.au/property/kogarah/penthouse-3,realestate.com.au
"From $1,760,190",1760190.0,"692 Edward St, Kogarah NSW 2810",Kogarah,0,1,1,Studio,https://www.rent.com.au/property/kogarah/studio-4,rent.com.au
"From $1,024,256",1024256.0,"523 Military Rd, Kogarah NSW 2377",Kogarah,2,2,1,Villa,https://www.realestateview.com.au/property/kogarah/villa-6,realestateview.com.au
"Guide $708,430",708430.0,"994 Elizabeth St, Kogarah NSW 2104",Kogarah,3,3,0,Villa,https://www.realestateview.com.au/property/kogarah/villa-7,realestateview.com.au
"From $1,983,773",1983773.0,"114 Elizabeth St, Kogarah NSW 2095",Kogarah,3,3,0,Townhouse,https://www.domain.com.au/property/kogarah/townhouse-8,domain.com.au
"From $1,986,245",1986245.0,"407 Pacific Highway, Kogarah NSW 2689",Kogarah,2,3,2,Townhouse,https://www.realestateview.com.au/property/kogarah/townhouse-10,realestateview.com.au
"From $1,585,661",1585661.0,"21 George St, Kogarah NSW 2806",Kogarah,0,1,1,Studio,https://www.realestate.com.au/property/kogarah/studio-11,realestate.com.au
"$960,492",960492.0,"436 Main St, Kogarah NSW 2358",Kogarah,4,2,2,House,https://www.rent.com.au/property/kogarah/house-13,rent.com.au
"From $2,085,451",2085451.0,"243 Market St, Kogarah NSW 2521",Kogarah,0,1,1,Studio,https://www.realestateview.com.au/property/kogarah/studio-14,realestateview.com.au
"$1,235,600",1235600.0,"219 George St, Kogarah NSW 2013",Kogarah,2,2,4,Villa,https://www.domain.com.au/property/kogarah/villa-16,domain.com.au
"Guide $1,674,353",1674353.0,"87 The Boulevarde, Kogarah NSW 2103",Kogarah,5,4,1,Penthouse,https://www.realestateview.com.au/property/kogarah/penthouse-17,realestateview.com.au
"$786,250",786250.0,"799 Elizabeth St, Kogarah NSW 2916",Kogarah,4,3,0,Villa,https://www.realestate.com.au/property/kogarah/villa-18,realestate.com.au
"$2,423,613",2423613.0,"307 Queen St, Kogarah NSW 2535",Kogarah,3,3,1,Villa,https://www.domain.com.au/property/kogarah/villa-19,domain.com.au
"$894,696 ONO",894696.0,"475 Railway St, Kogarah NSW 2560",Kogarah,4,2,0,Villa,https://www.domain.com.au/property/kogarah/villa-20,domain.com.au
"From $945,793",945793.0,"796 Railway St, Kogarah NSW 2104",Kogarah,2,3,0,Villa,https://www.realestateview.com.au/property/kogarah/villa-21,realestateview.com.au
"Guide $2,229,468",2229468.0,"863 Albert St, Kogarah NSW 2441",Kogarah,3,4,0,Townhouse,https://www.rent.com.au/property/kogarah/townhouse-22,rent.com.au
"Guide $2,393,271",2393271.0,"683 William St, Kogarah NSW 2736",Kogarah,0,1,3,Studio,https://www.realestateview.com.au/property/kogarah/studio-23,realestateview.com.au
"Guide $1,838,704",1838704.0,"326 Main St, Kogarah NSW 2885",Kogarah,1,1,2,House,https://www.rent.com.au/property/kogarah/house-24,rent.com.au
