price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $669,364",669364.0,"811 Edward St, Kogarah Bay NSW 2651",Kogarah Bay,0,1,0,Studio,https://www.domain.com.au/property/kogarah-bay/studio-0,domain.com.au
"$520,065",520065.0,"278 Princes Highway, Kogarah Bay NSW 2824",Kogarah Bay,3,2,1,Townhouse,https://www.realestate.com.au/property/kogarah-bay/townhouse-1,realestate.com.au
"From $1,592,037",1592037.0,"983 The Boulevarde, Kogarah Bay NSW 2917",Kogarah Bay,5,3,2,Penthouse,https://www.domain.com.au/property/kogarah-bay/penthouse-3,domain.com.au
"From $2,298,667",2298667.0,"765 The Boulevarde, Kogarah Bay NSW 2467",Kogarah Bay,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kogarah-bay/apartment--unit--flat-4,domain.com.au
"From $2,395,138",2395138.0,"883 James St, Kogarah Bay NSW 2425",Kogarah Bay,2,1,2,Villa,https://www.realestateview.com.au/property/kogarah-bay/villa-5,realestateview.com.au
"Guide $1,345,696",1345696.0,"881 Princes Highway, Kogarah Bay NSW 2755",Kogarah Bay,2,2,1,Townhouse,https://www.realestate.com.au/property/kogarah-bay/townhouse-6,realestate.com.au
"$1,027,317 ONO",1027317.0,"779 Church St, Kogarah Bay NSW 2034",Kogarah Bay,1,2,1,Townhouse,https://www.realestateview.com.au/property/kogarah-bay/townhouse-7,realestateview.com.au
"$1,376,722",1376722.0,"54 Ocean Rd, Kogarah Bay NSW 2524",Kogarah Bay,2,1,1,Townhouse,https://www.rent.com.au/property/kogarah-bay/townhouse-8,rent.com.au
"$2,228,800 - $2,466,411",2228800.0,"785 Princes Highway, Kogarah Bay NSW 2340",Kogarah Bay,2,3,1,House,https://www.realestateview.com.au/property/kogarah-bay/house-9,realestateview.com.au
"$2,360,740",2360740.0,"179 George St, Kogarah Bay NSW 2436",Kogarah Bay,2,2,3,Townhouse,https://www.realestateview.com.au/property/kogarah-bay/townhouse-10,realestateview.com.au
"$2,055,102 ONO",2055102.0,"147 James St, Kogarah Bay NSW 2367",Kogarah Bay,3,3,0,Townhouse,https://www.rent.com.au/property/kogarah-bay/townhouse-11,rent.com.au
"$2,359,706",2359706.0,"641 Edward St, Kogarah Bay NSW 2374",Kogarah Bay,0,1,2,Studio,https://www.domain.com.au/property/kogarah-bay/studio-12,domain.com.au
"$1,424,638 - $1,587,018",1424638.0,"602 The Boulevarde, Kogarah Bay NSW 2254",Kogarah Bay,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/kogarah-bay/apartment--unit--flat-13,realestate.com.au
"$2,126,786 ONO",2126786.0,"670 Park Ave, Kogarah Bay NSW 2985",Kogarah Bay,1,1,2,House,https://www.realestateview.com.au/property/kogarah-bay/house-14,realestateview.com.au
"Guide $1,771,218",1771218.0,"930 Park Ave, Kogarah Bay NSW 2293",Kogarah Bay,0,1,1,Studio,https://www.domain.com.au/property/kogarah-bay/studio-15,domain.com.au
"$1,709,208",1709208.0,"416 Beach Rd, Kogarah Bay NSW 2486",Kogarah Bay,6,3,0,Penthouse,https://www.realestateview.com.au/property/kogarah-bay/penthouse-16,realestateview.com.au
"$1,927,763 ONO",1927763.0,"13 Ocean Rd, Kogarah Bay NSW 2650",Kogarah Bay,2,1,0,Townhouse,https://www.rent.com.au/property/kogarah-bay/townhouse-17,rent.com.au
"From $2,163,677",2163677.0,"286 Elizabeth St, Kogarah Bay NSW 2596",Kogarah Bay,2,1,2,House,https://www.domain.com.au/property/kogarah-bay/house-18,domain.com.au
"$889,104 ONO",889104.0,"468 Church St, Kogarah Bay NSW 2119",Kogarah Bay,4,4,3,Villa,https://www.domain.com.au/property/kogarah-bay/villa-19,domain.com.au
"From $1,987,836",1987836.0,"82 Victoria St, Kogarah Bay NSW 2029",Kogarah Bay,2,3,3,Townhouse,https://www.realestateview.com.au/property/kogarah-bay/townhouse-20,realestateview.com.au
"$2,478,259 - $2,651,180",2478259.0,"691 Market St, Kogarah Bay NSW 2184",Kogarah Bay,3,4,2,Villa,https://www.rent.com.au/property/kogarah-bay/villa-21,rent.com.au
"$912,410 ONO",912410.0,"266 Market St, Kogarah Bay NSW 2178",Kogarah Bay,3,3,1,Villa,https://www.rent.com.au/property/kogarah-bay/villa-23,rent.com.au
"$523,821",523821.0,"524 Albert St, Kogarah Bay NSW 2139",Kogarah Bay,0,1,0,Studio,https://www.rent.com.au/property/kogarah-bay/studio-24,rent.com.au
