price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$526,867",526867.0,"461 Albert St, Kyeemagh NSW 2039",Kyeemagh,5,2,1,Penthouse,https://www.realestate.com.au/property/kyeemagh/penthouse-0,realestate.com.au
"From $1,162,642",1162642.0,"296 George St, Kyeemagh NSW 2927",Kyeemagh,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kyeemagh/apartment--unit--flat-1,realestateview.com.au
"$1,856,863 - $2,141,508",1856863.0,"822 George St, Kyeemagh NSW 2482",Kyeemagh,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/kyeemagh/apartment--unit--flat-2,rent.com.au
"Guide $1,511,414",1511414.0,"840 Park Ave, Kyeemagh NSW 2941",Kyeemagh,2,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/kyeemagh/apartment--unit--flat-5,domain.com.au
"$2,294,127 - $2,438,524",2294127.0,"181 High St, Kyeemagh NSW 2222",Kyeemagh,5,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/kyeemagh/apartment--unit--flat-6,domain.com.au
"From $1,548,913",1548913.0,"869 King St, Kyeemagh NSW 2103",Kyeemagh,3,2,0,Townhouse,https://www.realestateview.com.au/property/kyeemagh/townhouse-7,realestateview.com.au
"$1,780,833 - $1,936,277",1780833.0,"906 Victoria St, Kyeemagh NSW 2841",Kyeemagh,6,3,1,Penthouse,https://www.realestateview.com.au/property/kyeemagh/penthouse-8,realestateview.com.au
"$1,960,291",1960291.0,"506 Ocean Rd, Kyeemagh NSW 2240",Kyeemagh,4,1,2,House,https://www.realestateview.com.au/property/kyeemagh/house-9,realestateview.com.au
"Guide $1,351,307",1351307.0,"94 Church St, Kyeemagh NSW 2764",Kyeemagh,5,4,1,Penthouse,https://www.rent.com.au/property/kyeemagh/penthouse-10,rent.com.au
"$1,646,822 - $1,794,897",1646822.0,"755 King St, Kyeemagh NSW 2317",Kyeemagh,0,1,1,Studio,https://www.realestateview.com.au/property/kyeemagh/studio-11,realestateview.com.au
"$908,089",908089.0,"599 The Boulevarde, Kyeemagh NSW 2020",Kyeemagh,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/kyeemagh/apartment--unit--flat-12,domain.com.au
"$711,647 - $764,388",711647.0,"11 William St, Kyeemagh NSW 2165",Kyeemagh,3,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kyeemagh/apartment--unit--flat-13,realestateview.com.au
"$2,131,396",2131396.0,"291 Market St, Kyeemagh NSW 2502",Kyeemagh,3,3,3,House,https://www.domain.com.au/property/kyeemagh/house-14,domain.com.au
"$1,088,785 - $1,276,754",1088785.0,"284 The Boulevarde, Kyeemagh NSW 2083",Kyeemagh,4,1,4,Apartment / Unit / Flat,https://www.rent.com.au/property/kyeemagh/apartment--unit--flat-16,rent.com.au
"Guide $2,168,746",2168746.0,"611 King St, Kyeemagh NSW 2460",Kyeemagh,3,2,1,House,https://www.realestate.com.au/property/kyeemagh/house-17,realestate.com.au
"Guide $830,158",830158.0,"999 Park Ave, Kyeemagh NSW 2941",Kyeemagh,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/kyeemagh/apartment--unit--flat-18,realestateview.com.au
"$1,504,835",1504835.0,"505 William St, Kyeemagh NSW 2937",Kyeemagh,5,4,2,Apartment / Unit / Flat,https://www.rent.com.au/property/kyeemagh/apartment--unit--flat-19,rent.com.au
"Guide $826,304",826304.0,"346 James St, Kyeemagh NSW 2595",Kyeemagh,4,2,2,Townhouse,https://www.domain.com.au/property/kyeemagh/townhouse-20,domain.com.au
"From $1,947,455",1947455.0,"287 Princes Highway, Kyeemagh NSW 2431",Kyeemagh,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/kyeemagh/apartment--unit--flat-21,realestate.com.au
"$2,159,219",2159219.0,"64 James St, Kyeemagh NSW 2409",Kyeemagh,5,3,1,Penthouse,https://www.domain.com.au/property/kyeemagh/penthouse-22,domain.com.au
"$997,566 - $1,132,425",997566.0,"50 The Boulevarde, Kyeemagh NSW 2218",Kyeemagh,1,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/kyeemagh/apartment--unit--flat-23,rent.com.au
"$1,273,378 ONO",1273378.0,"556 Ocean Rd, Kyeemagh NSW 2494",Kyeemagh,3,2,0,Townhouse,https://www.realestateview.com.au/property/kyeemagh/townhouse-24,realestateview.com.au
