price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$738,150 - $943,151",738150.0,"466 High St, La Perouse NSW 2341",La Perouse,3,4,4,Apartment / Unit / Flat,https://www.rent.com.au/property/la-perouse/apartment--unit--flat-0,rent.com.au
"$1,079,737 - $1,246,158",1079737.0,"255 Railway St, La Perouse NSW 2488",La Perouse,0,1,3,Studio,https://www.rent.com.au/property/la-perouse/studio-1,rent.com.au
"Guide $1,262,683",1262683.0,"854 High St, La Perouse NSW 2104",La Perouse,2,3,3,Townhouse,https://www.realestate.com.au/property/la-perouse/townhouse-2,realestate.com.au
"From $2,381,924",2381924.0,"983 Main St, La Perouse NSW 2705",La Perouse,5,3,1,Townhouse,https://www.domain.com.au/property/la-perouse/townhouse-3,domain.com.au
"From $868,350",868350.0,"574 King St, La Perouse NSW 2458",La Perouse,0,1,2,Studio,https://www.rent.com.au/property/la-perouse/studio-5,rent.com.au
"Guide $832,517",832517.0,"166 William St, La Perouse NSW 2503",La Perouse,0,1,2,Studio,https://www.rent.com.au/property/la-perouse/studio-6,rent.com.au
"From $1,771,235",1771235.0,"494 Albert St, La Perouse NSW 2514",La Perouse,0,1,0,Studio,https://www.realestate.com.au/property/la-perouse/studio-7,realestate.com.au
"From $1,241,543",1241543.0,"792 The Boulevarde, La Perouse NSW 2534",La Perouse,2,1,2,House,https://www.rent.com.au/property/la-perouse/house-8,rent.com.au
"$1,856,957",1856957.0,"220 The Boulevarde, La Perouse NSW 2274",La Perouse,3,4,1,Townhouse,https://www.rent.com.au/property/la-perouse/townhouse-9,rent.com.au
"From $822,909",822909.0,"364 William St, La Perouse NSW 2545",La Perouse,1,1,4,Townhouse,https://www.realestate.com.au/property/la-perouse/townhouse-10,realestate.com.au
"$1,567,010 - $1,795,919",1567010.0,"953 King St, La Perouse NSW 2543",La Perouse,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/la-perouse/apartment--unit--flat-11,realestate.com.au
"$1,029,576 ONO",1029576.0,"709 Railway St, La Perouse NSW 2765",La Perouse,3,1,0,Villa,https://www.domain.com.au/property/la-perouse/villa-13,domain.com.au
"From $1,197,394",1197394.0,"158 Market St, La Perouse NSW 2233",La Perouse,3,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/la-perouse/apartment--unit--flat-14,domain.com.au
"$567,761",567761.0,"145 Queen St, La Perouse NSW 2372",La Perouse,4,4,1,Penthouse,https://www.rent.com.au/property/la-perouse/penthouse-15,rent.com.au
"Guide $1,220,021",1220021.0,"315 Queen St, La Perouse NSW 2716",La Perouse,1,1,0,House,https://www.realestate.com.au/property/la-perouse/house-16,realestate.com.au
"$1,041,058",1041058.0,"292 King St, La Perouse NSW 2448",La Perouse,4,1,1,Villa,https://www.domain.com.au/property/la-perouse/villa-17,domain.com.au
"From $2,383,397",2383397.0,"793 Military Rd, La Perouse NSW 2176",La Perouse,4,2,1,Townhouse,https://www.realestateview.com.au/property/la-perouse/townhouse-18,realestateview.com.au
"$2,313,400 ONO",2313400.0,"916 James St, La Perouse NSW 2699",La Perouse,4,1,0,Townhouse,https://www.realestate.com.au/property/la-perouse/townhouse-19,realestate.com.au
"$1,516,757",1516757.0,"643 George St, La Perouse NSW 2329",La Perouse,1,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/la-perouse/apartment--unit--flat-21,domain.com.au
"From $1,049,951",1049951.0,"489 High St, La Perouse NSW 2097",La Perouse,5,3,1,Penthouse,https://www.rent.com.au/property/la-perouse/penthouse-23,rent.com.au
"$952,712",952712.0,"262 Beach Rd, La Perouse NSW 2563",La Perouse,0,1,1,Studio,https://www.domain.com.au/property/la-perouse/studio-24,domain.com.au
