price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$704,157 ONO",704157.0,"264 Edward St, Lakemba NSW 2430",Lakemba,0,1,0,Studio,https://www.rent.com.au/property/lakemba/studio-1,rent.com.au
"From $631,930",631930.0,"580 Main St, Lakemba NSW 2769",Lakemba,2,2,3,House,https://www.rent.com.au/property/lakemba/house-2,rent.com.au
"$2,247,364 - $2,335,484",2247364.0,"555 Albert St, Lakemba NSW 2906",Lakemba,0,1,3,Studio,https://www.rent.com.au/property/lakemba/studio-3,rent.com.au
"Guide $1,128,994",1128994.0,"303 Park Ave, Lakemba NSW 2307",Lakemba,4,1,1,House,https://www.realestateview.com.au/property/lakemba/house-4,realestateview.com.au
"$2,181,593",2181593.0,"647 Military Rd, Lakemba NSW 2985",Lakemba,0,1,1,Studio,https://www.rent.com.au/property/lakemba/studio-5,rent.com.au
"$2,284,083 - $2,500,083",2284083.0,"2 Elizabeth St, Lakemba NSW 2069",Lakemba,3,4,0,Townhouse,https://www.rent.com.au/property/lakemba/townhouse-6,rent.com.au
"From $1,963,794",1963794.0,"208 High St, Lakemba NSW 2482",Lakemba,0,1,0,Studio,https://www.domain.com.au/property/lakemba/studio-7,domain.com.au
"From $1,319,565",1319565.0,"908 Victoria St, Lakemba NSW 2517",Lakemba,6,4,0,Penthouse,https://www.realestateview.com.au/property/lakemba/penthouse-8,realestateview.com.au
"$875,738 ONO",875738.0,"81 Beach Rd, Lakemba NSW 2886",Lakemba,1,1,0,House,https://www.realestate.com.au/property/lakemba/house-9,realestate.com.au
"$2,159,156 - $2,324,328",2159156.0,"253 Princes Highway, Lakemba NSW 2023",Lakemba,3,1,0,Townhouse,https://www.realestateview.com.au/property/lakemba/townhouse-10,realestateview.com.au
"Guide $1,849,091",1849091.0,"481 Princes Highway, Lakemba NSW 2127",Lakemba,3,2,1,Villa,https://www.realestate.com.au/property/lakemba/villa-11,realestate.com.au
"$2,311,835",2311835.0,"195 George St, Lakemba NSW 2367",Lakemba,0,1,2,Studio,https://www.realestate.com.au/property/lakemba/studio-12,realestate.com.au
"$893,823 ONO",893823.0,"621 Railway St, Lakemba NSW 2190",Lakemba,5,2,0,Townhouse,https://www.rent.com.au/property/lakemba/townhouse-13,rent.com.au
"$2,213,321",2213321.0,"771 Church St, Lakemba NSW 2572",Lakemba,4,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/lakemba/apartment--unit--flat-14,rent.com.au
"$1,664,369",1664369.0,"986 Main St, Lakemba NSW 2920",Lakemba,4,2,4,House,https://www.realestateview.com.au/property/lakemba/house-15,realestateview.com.au
"From $789,725",789725.0,"789 Princes Highway, Lakemba NSW 2417",Lakemba,1,1,1,Townhouse,https://www.rent.com.au/property/lakemba/townhouse-16,rent.com.au
"Guide $1,009,229",1009229.0,"757 Queen St, Lakemba NSW 2345",Lakemba,3,3,4,Penthouse,https://www.realestateview.com.au/property/lakemba/penthouse-17,realestateview.com.au
"Guide $1,657,275",1657275.0,"435 Pacific Highway, Lakemba NSW 2368",Lakemba,1,2,2,Villa,https://www.domain.com.au/property/lakemba/villa-18,domain.com.au
"$746,265",746265.0,"117 Church St, Lakemba NSW 2278",Lakemba,0,1,2,Studio,https://www.domain.com.au/property/lakemba/studio-21,domain.com.au
"Guide $2,133,246",2133246.0,"562 Pacific Highway, Lakemba NSW 2189",Lakemba,1,1,0,House,https://www.domain.com.au/property/lakemba/house-22,domain.com.au
"Guide $1,657,747",1657747.0,"433 George St, Lakemba NSW 2936",Lakemba,0,1,2,Studio,https://www.domain.com.au/property/lakemba/studio-23,domain.com.au
"$548,716 - $757,751",548716.0,"603 Princes Highway, Lakemba NSW 2462",Lakemba,0,1,2,Studio,https://www.rent.com.au/property/lakemba/studio-24,rent.com.au
