price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,461,377",2461377.0,"330 Victoria St, Lane Cove NSW 2432",Lane Cove,3,4,0,House,https://www.rent.com.au/property/lane-cove/house-0,rent.com.au
"Guide $887,832",887832.0,"552 High St, Lane Cove NSW 2303",Lane Cove,2,1,0,Townhouse,https://www.realestate.com.au/property/lane-cove/townhouse-1,realestate.com.au
"$915,187",915187.0,"911 Princes Highway, Lane Cove NSW 2073",Lane Cove,3,1,3,Townhouse,https://www.realestate.com.au/property/lane-cove/townhouse-2,realestate.com.au
"$954,553 ONO",954553.0,"305 King St, Lane Cove NSW 2636",Lane Cove,0,1,2,Studio,https://www.rent.com.au/property/lane-cove/studio-3,rent.com.au
"From $1,837,538",1837538.0,"236 Edward St, Lane Cove NSW 2511",Lane Cove,4,1,2,Townhouse,https://www.realestateview.com.au/property/lane-cove/townhouse-4,realestateview.com.au
"From $1,851,056",1851056.0,"489 Park Ave, Lane Cove NSW 2161",Lane Cove,4,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/lane-cove/apartment--unit--flat-5,realestate.com.au
"From $892,311",892311.0,"56 King St, Lane Cove NSW 2083",Lane Cove,0,1,0,Studio,https://www.domain.com.au/property/lane-cove/studio-6,domain.com.au
"$2,207,222 - $2,492,286",2207222.0,"81 Albert St, Lane Cove NSW 2860",Lane Cove,2,2,1,House,https://www.realestateview.com.au/property/lane-cove/house-7,realestateview.com.au
"Guide $558,525",558525.0,"107 Pacific Highway, Lane Cove NSW 2152",Lane Cove,3,3,0,Townhouse,https://www.domain.com.au/property/lane-cove/townhouse-8,domain.com.au
"Guide $1,181,358",1181358.0,"37 Elizabeth St, Lane Cove NSW 2129",Lane Cove,5,2,1,Penthouse,https://www.realestateview.com.au/property/lane-cove/penthouse-9,realestateview.com.au
"$1,873,584",1873584.0,"655 William St, Lane Cove NSW 2523",Lane Cove,0,1,1,Studio,https://www.rent.com.au/property/lane-cove/studio-10,rent.com.au
"Guide $882,022",882022.0,"191 Pacific Highway, Lane Cove NSW 2129",Lane Cove,3,4,0,Townhouse,https://www.realestate.com.au/property/lane-cove/townhouse-11,realestate.com.au
"From $1,743,057",1743057.0,"396 Park Ave, Lane Cove NSW 2966",Lane Cove,3,1,0,Villa,https://www.domain.com.au/property/lane-cove/villa-12,domain.com.au
"$986,093",986093.0,"703 Victoria St, Lane Cove NSW 2385",Lane Cove,4,4,3,Penthouse,https://www.domain.com.au/property/lane-cove/penthouse-13,domain.com.au
"$2,273,501 ONO",2273501.0,"167 Beach Rd, Lane Cove NSW 2711",Lane Cove,3,4,3,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove/apartment--unit--flat-14,rent.com.au
"$1,668,554 - $1,771,312",1668554.0,"475 High St, Lane Cove NSW 2220",Lane Cove,3,4,1,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove/apartment--unit--flat-15,rent.com.au
"$1,731,555 ONO",1731555.0,"486 Church St, Lane Cove NSW 2780",Lane Cove,3,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove/apartment--unit--flat-16,rent.com.au
"$1,825,429 - $2,000,905",1825429.0,"434 Elizabeth St, Lane Cove NSW 2257",Lane Cove,6,3,3,Penthouse,https://www.realestate.com.au/property/lane-cove/penthouse-17,realestate.com.au
"From $550,541",550541.0,"162 Edward St, Lane Cove NSW 2899",Lane Cove,5,2,0,House,https://www.realestate.com.au/property/lane-cove/house-18,realestate.com.au
"$1,605,632 ONO",1605632.0,"963 Military Rd, Lane Cove NSW 2229",Lane Cove,0,1,4,Studio,https://www.rent.com.au/property/lane-cove/studio-19,rent.com.au
"Guide $1,936,197",1936197.0,"186 The Boulevarde, Lane Cove NSW 2053",Lane Cove,0,1,0,Studio,https://www.rent.com.au/property/lane-cove/studio-20,rent.com.au
"Guide $1,374,632",1374632.0,"13 William St, Lane Cove NSW 2876",Lane Cove,1,1,3,Townhouse,https://www.realestate.com.au/property/lane-cove/townhouse-21,realestate.com.au
"$635,425 ONO",635425.0,"570 Pacific Highway, Lane Cove NSW 2902",Lane Cove,2,3,3,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove/apartment--unit--flat-22,rent.com.au
"$1,656,735 - $1,832,237",1656735.0,"435 High St, Lane Cove NSW 2433",Lane Cove,4,3,0,Villa,https://www.domain.com.au/property/lane-cove/villa-23,domain.com.au
"From $1,662,340",1662340.0,"366 James St, Lane Cove NSW 2309",Lane Cove,6,4,2,Penthouse,https://www.realestate.com.au/property/lane-cove/penthouse-24,realestate.com.au
