price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,496,301",1496301.0,"776 Queen St, Lane Cove North NSW 2468",Lane Cove North,4,2,0,Townhouse,https://www.realestateview.com.au/property/lane-cove-north/townhouse-0,realestateview.com.au
"$548,260",548260.0,"863 High St, Lane Cove North NSW 2485",Lane Cove North,4,3,1,Villa,https://www.realestateview.com.au/property/lane-cove-north/villa-1,realestateview.com.au
"$1,620,994 ONO",1620994.0,"420 Market St, Lane Cove North NSW 2858",Lane Cove North,6,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/lane-cove-north/apartment--unit--flat-2,realestate.com.au
"$1,234,425 ONO",1234425.0,"929 Beach Rd, Lane Cove North NSW 2787",Lane Cove North,0,1,3,Studio,https://www.realestateview.com.au/property/lane-cove-north/studio-3,realestateview.com.au
"$614,987 - $736,139",614987.0,"426 Edward St, Lane Cove North NSW 2040",Lane Cove North,4,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/lane-cove-north/apartment--unit--flat-5,domain.com.au
"From $632,711",632711.0,"561 King St, Lane Cove North NSW 2701",Lane Cove North,4,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove-north/apartment--unit--flat-7,rent.com.au
"Guide $2,362,276",2362276.0,"78 Elizabeth St, Lane Cove North NSW 2359",Lane Cove North,0,1,0,Studio,https://www.realestate.com.au/property/lane-cove-north/studio-9,realestate.com.au
"$599,959 - $731,978",599959.0,"363 Victoria St, Lane Cove North NSW 2260",Lane Cove North,2,1,0,Villa,https://www.realestateview.com.au/property/lane-cove-north/villa-11,realestateview.com.au
"Guide $1,920,206",1920206.0,"910 Albert St, Lane Cove North NSW 2285",Lane Cove North,2,2,0,House,https://www.realestateview.com.au/property/lane-cove-north/house-12,realestateview.com.au
"Guide $1,357,133",1357133.0,"536 Albert St, Lane Cove North NSW 2004",Lane Cove North,3,2,2,House,https://www.rent.com.au/property/lane-cove-north/house-13,rent.com.au
"$2,316,289 - $2,603,106",2316289.0,"884 The Boulevarde, Lane Cove North NSW 2788",Lane Cove North,0,1,1,Studio,https://www.domain.com.au/property/lane-cove-north/studio-14,domain.com.au
"Guide $1,265,329",1265329.0,"974 Albert St, Lane Cove North NSW 2077",Lane Cove North,0,1,0,Studio,https://www.realestate.com.au/property/lane-cove-north/studio-15,realestate.com.au
"Guide $2,466,230",2466230.0,"325 Market St, Lane Cove North NSW 2411",Lane Cove North,6,2,0,Penthouse,https://www.realestate.com.au/property/lane-cove-north/penthouse-16,realestate.com.au
"$2,307,899",2307899.0,"881 Princes Highway, Lane Cove North NSW 2308",Lane Cove North,1,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/lane-cove-north/apartment--unit--flat-17,realestate.com.au
"$1,414,967",1414967.0,"330 Beach Rd, Lane Cove North NSW 2282",Lane Cove North,2,3,1,House,https://www.rent.com.au/property/lane-cove-north/house-18,rent.com.au
"From $2,362,859",2362859.0,"944 Market St, Lane Cove North NSW 2441",Lane Cove North,3,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove-north/apartment--unit--flat-19,rent.com.au
"Guide $1,564,338",1564338.0,"403 Pacific Highway, Lane Cove North NSW 2887",Lane Cove North,5,1,0,House,https://www.realestateview.com.au/property/lane-cove-north/house-20,realestateview.com.au
"$2,042,258",2042258.0,"384 Victoria St, Lane Cove North NSW 2301",Lane Cove North,5,3,1,Villa,https://www.domain.com.au/property/lane-cove-north/villa-22,domain.com.au
"$1,324,039 ONO",1324039.0,"644 Elizabeth St, Lane Cove North NSW 2639",Lane Cove North,2,2,0,House,https://www.rent.com.au/property/lane-cove-north/house-23,rent.com.au
"Guide $701,158",701158.0,"26 Albert St, Lane Cove North NSW 2081",Lane Cove North,4,3,0,Villa,https://www.realestate.com.au/property/lane-cove-north/villa-24,realestate.com.au
