price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $918,369",918369.0,"460 Edward St, Lane Cove West NSW 2346",Lane Cove West,4,2,0,Villa,https://www.rent.com.au/property/lane-cove-west/villa-0,rent.com.au
"Guide $526,299",526299.0,"427 Railway St, Lane Cove West NSW 2430",Lane Cove West,3,1,0,Townhouse,https://www.domain.com.au/property/lane-cove-west/townhouse-1,domain.com.au
"$1,913,685",1913685.0,"716 Park Ave, Lane Cove West NSW 2885",Lane Cove West,2,2,0,Townhouse,https://www.realestate.com.au/property/lane-cove-west/townhouse-2,realestate.com.au
"$2,173,587 ONO",2173587.0,"177 Military Rd, Lane Cove West NSW 2611",Lane Cove West,2,2,2,Villa,https://www.realestateview.com.au/property/lane-cove-west/villa-3,realestateview.com.au
"From $1,262,629",1262629.0,"674 Pacific Highway, Lane Cove West NSW 2299",Lane Cove West,5,4,1,Villa,https://www.domain.com.au/property/lane-cove-west/villa-4,domain.com.au
"Guide $798,306",798306.0,"523 Main St, Lane Cove West NSW 2203",Lane Cove West,3,3,1,Villa,https://www.realestate.com.au/property/lane-cove-west/villa-5,realestate.com.au
"Guide $527,185",527185.0,"334 High St, Lane Cove West NSW 2367",Lane Cove West,0,1,4,Studio,https://www.realestate.com.au/property/lane-cove-west/studio-6,realestate.com.au
"From $1,826,984",1826984.0,"507 Main St, Lane Cove West NSW 2400",Lane Cove West,0,1,0,Studio,https://www.realestate.com.au/property/lane-cove-west/studio-7,realestate.com.au
"Guide $1,967,159",1967159.0,"442 King St, Lane Cove West NSW 2473",Lane Cove West,1,1,3,House,https://www.realestate.com.au/property/lane-cove-west/house-8,realestate.com.au
"Guide $2,477,095",2477095.0,"439 Elizabeth St, Lane Cove West NSW 2311",Lane Cove West,0,1,0,Studio,https://www.realestateview.com.au/property/lane-cove-west/studio-9,realestateview.com.au
"From $1,194,739",1194739.0,"606 Victoria St, Lane Cove West NSW 2095",Lane Cove West,5,2,1,Penthouse,https://www.realestateview.com.au/property/lane-cove-west/penthouse-10,realestateview.com.au
"$1,314,358",1314358.0,"851 Ocean Rd, Lane Cove West NSW 2674",Lane Cove West,1,1,2,House,https://www.domain.com.au/property/lane-cove-west/house-11,domain.com.au
"Guide $2,431,891",2431891.0,"734 Military Rd, Lane Cove West NSW 2299",Lane Cove West,1,1,1,Townhouse,https://www.realestateview.com.au/property/lane-cove-west/townhouse-12,realestateview.com.au
"$681,426",681426.0,"729 King St, Lane Cove West NSW 2115",Lane Cove West,1,1,4,Townhouse,https://www.rent.com.au/property/lane-cove-west/townhouse-13,rent.com.au
"$742,796",742796.0,"607 Victoria St, Lane Cove West NSW 2614",Lane Cove West,3,4,0,Townhouse,https://www.realestateview.com.au/property/lane-cove-west/townhouse-14,realestateview.com.au
"$2,281,259",2281259.0,"670 The Boulevarde, Lane Cove West NSW 2245",Lane Cove West,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/lane-cove-west/apartment--unit--flat-15,domain.com.au
"From $1,533,755",1533755.0,"829 Albert St, Lane Cove West NSW 2376",Lane Cove West,3,4,1,House,https://www.realestateview.com.au/property/lane-cove-west/house-16,realestateview.com.au
"From $1,926,189",1926189.0,"519 William St, Lane Cove West NSW 2536",Lane Cove West,2,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove-west/apartment--unit--flat-17,rent.com.au
"Guide $601,019",601019.0,"961 High St, Lane Cove West NSW 2947",Lane Cove West,4,2,1,Townhouse,https://www.realestateview.com.au/property/lane-cove-west/townhouse-18,realestateview.com.au
"$1,846,429",1846429.0,"277 Military Rd, Lane Cove West NSW 2629",Lane Cove West,2,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lane-cove-west/apartment--unit--flat-19,realestateview.com.au
"$1,130,303 ONO",1130303.0,"803 Beach Rd, Lane Cove West NSW 2474",Lane Cove West,4,1,2,House,https://www.domain.com.au/property/lane-cove-west/house-20,domain.com.au
"$1,299,585 ONO",1299585.0,"832 Church St, Lane Cove West NSW 2463",Lane Cove West,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/lane-cove-west/apartment--unit--flat-21,rent.com.au
"$1,520,852 - $1,733,270",1520852.0,"387 King St, Lane Cove West NSW 2063",Lane Cove West,2,1,0,House,https://www.rent.com.au/property/lane-cove-west/house-24,rent.com.au
