price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,978,087 - $2,248,067",1978087.0,"333 Elizabeth St, Lansdowne NSW 2644",Lansdowne,3,4,1,Penthouse,https://www.realestateview.com.au/property/lansdowne/penthouse-0,realestateview.com.au
"$1,228,388 - $1,416,913",1228388.0,"595 Victoria St, Lansdowne NSW 2500",Lansdowne,3,3,0,House,https://www.realestateview.com.au/property/lansdowne/house-1,realestateview.com.au
"$1,782,414 - $1,902,184",1782414.0,"814 Princes Highway, Lansdowne NSW 2353",Lansdowne,1,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/lansdowne/apartment--unit--flat-2,rent.com.au
"$613,329 ONO",613329.0,"191 Market St, Lansdowne NSW 2951",Lansdowne,4,1,3,Villa,https://www.realestateview.com.au/property/lansdowne/villa-3,realestateview.com.au
"$2,495,418 ONO",2495418.0,"838 Church St, Lansdowne NSW 2863",Lansdowne,6,3,2,Penthouse,https://www.realestate.com.au/property/lansdowne/penthouse-4,realestate.com.au
"$771,988",771988.0,"409 The Boulevarde, Lansdowne NSW 2944",Lansdowne,1,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/lansdowne/apartment--unit--flat-5,domain.com.au
"$1,163,015",1163015.0,"405 Princes Highway, Lansdowne NSW 2112",Lansdowne,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/lansdowne/apartment--unit--flat-6,rent.com.au
"$2,017,091 ONO",2017091.0,"421 Edward St, Lansdowne NSW 2144",Lansdowne,3,3,0,Penthouse,https://www.domain.com.au/property/lansdowne/penthouse-9,domain.com.au
"Guide $2,297,940",2297940.0,"834 Ocean Rd, Lansdowne NSW 2361",Lansdowne,0,1,2,Studio,https://www.domain.com.au/property/lansdowne/studio-10,domain.com.au
"$871,697 - $1,065,979",871697.0,"764 Albert St, Lansdowne NSW 2853",Lansdowne,3,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/lansdowne/apartment--unit--flat-11,realestate.com.au
"Guide $2,191,982",2191982.0,"307 The Boulevarde, Lansdowne NSW 2765",Lansdowne,4,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/lansdowne/apartment--unit--flat-12,domain.com.au
"$2,368,410 - $2,537,340",2368410.0,"162 Military Rd, Lansdowne NSW 2854",Lansdowne,5,4,2,Penthouse,https://www.realestateview.com.au/property/lansdowne/penthouse-13,realestateview.com.au
"$1,429,237",1429237.0,"978 Elizabeth St, Lansdowne NSW 2695",Lansdowne,2,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/lansdowne/apartment--unit--flat-14,domain.com.au
"$2,344,053",2344053.0,"227 Elizabeth St, Lansdowne NSW 2988",Lansdowne,3,4,3,Townhouse,https://www.realestate.com.au/property/lansdowne/townhouse-15,realestate.com.au
"Guide $876,898",876898.0,"331 Market St, Lansdowne NSW 2417",Lansdowne,3,2,1,Villa,https://www.domain.com.au/property/lansdowne/villa-16,domain.com.au
"Guide $2,209,741",2209741.0,"660 Park Ave, Lansdowne NSW 2362",Lansdowne,3,3,0,Villa,https://www.realestateview.com.au/property/lansdowne/villa-17,realestateview.com.au
"From $2,073,365",2073365.0,"607 Railway St, Lansdowne NSW 2225",Lansdowne,6,2,2,Penthouse,https://www.rent.com.au/property/lansdowne/penthouse-18,rent.com.au
"From $811,399",811399.0,"390 Park Ave, Lansdowne NSW 2260",Lansdowne,1,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/lansdowne/apartment--unit--flat-19,realestate.com.au
"From $1,615,486",1615486.0,"460 Military Rd, Lansdowne NSW 2703",Lansdowne,2,1,2,House,https://www.rent.com.au/property/lansdowne/house-20,rent.com.au
"$2,392,661 - $2,502,664",2392661.0,"709 Queen St, Lansdowne NSW 2164",Lansdowne,2,1,0,Villa,https://www.rent.com.au/property/lansdowne/villa-21,rent.com.au
"From $2,193,831",2193831.0,"84 Beach Rd, Lansdowne NSW 2742",Lansdowne,3,2,0,Villa,https://www.rent.com.au/property/lansdowne/villa-22,rent.com.au
"Guide $1,908,299",1908299.0,"544 Market St, Lansdowne NSW 2104",Lansdowne,0,1,1,Studio,https://www.rent.com.au/property/lansdowne/studio-24,rent.com.au
