price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,009,059 - $2,225,655",2009059.0,"243 Military Rd, Leichhardt NSW 2155",Leichhardt,3,4,0,Penthouse,https://www.realestateview.com.au/property/leichhardt/penthouse-0,realestateview.com.au
"$1,391,307 ONO",1391307.0,"701 High St, Leichhardt NSW 2080",Leichhardt,5,2,4,Apartment / Unit / Flat,https://www.rent.com.au/property/leichhardt/apartment--unit--flat-1,rent.com.au
"From $2,030,312",2030312.0,"574 Ocean Rd, Leichhardt NSW 2711",Leichhardt,3,3,3,House,https://www.rent.com.au/property/leichhardt/house-2,rent.com.au
"$1,335,958",1335958.0,"85 Market St, Leichhardt NSW 2189",Leichhardt,2,3,0,Townhouse,https://www.realestateview.com.au/property/leichhardt/townhouse-4,realestateview.com.au
"$765,123 ONO",765123.0,"954 George St, Leichhardt NSW 2659",Leichhardt,4,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/leichhardt/apartment--unit--flat-5,domain.com.au
"$2,290,106 - $2,553,963",2290106.0,"832 Military Rd, Leichhardt NSW 2754",Leichhardt,1,2,2,Townhouse,https://www.domain.com.au/property/leichhardt/townhouse-6,domain.com.au
"$2,297,570",2297570.0,"403 Victoria St, Leichhardt NSW 2123",Leichhardt,4,3,1,Penthouse,https://www.realestate.com.au/property/leichhardt/penthouse-7,realestate.com.au
"Guide $629,541",629541.0,"358 Beach Rd, Leichhardt NSW 2954",Leichhardt,0,1,0,Studio,https://www.realestateview.com.au/property/leichhardt/studio-8,realestateview.com.au
"$2,420,407",2420407.0,"940 Park Ave, Leichhardt NSW 2273",Leichhardt,4,1,1,House,https://www.realestateview.com.au/property/leichhardt/house-9,realestateview.com.au
"$1,310,383",1310383.0,"167 Edward St, Leichhardt NSW 2679",Leichhardt,3,3,1,Penthouse,https://www.rent.com.au/property/leichhardt/penthouse-10,rent.com.au
"$1,346,193 ONO",1346193.0,"481 Ocean Rd, Leichhardt NSW 2446",Leichhardt,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/leichhardt/apartment--unit--flat-11,domain.com.au
"$776,110",776110.0,"243 George St, Leichhardt NSW 2442",Leichhardt,3,3,3,Penthouse,https://www.domain.com.au/property/leichhardt/penthouse-12,domain.com.au
"$998,782",998782.0,"150 Princes Highway, Leichhardt NSW 2202",Leichhardt,2,1,0,Villa,https://www.rent.com.au/property/leichhardt/villa-13,rent.com.au
"$755,072 ONO",755072.0,"820 Albert St, Leichhardt NSW 2340",Leichhardt,3,2,1,Villa,https://www.realestate.com.au/property/leichhardt/villa-14,realestate.com.au
"From $855,741",855741.0,"467 Pacific Highway, Leichhardt NSW 2449",Leichhardt,0,1,1,Studio,https://www.rent.com.au/property/leichhardt/studio-16,rent.com.au
"$1,129,042 ONO",1129042.0,"376 King St, Leichhardt NSW 2587",Leichhardt,3,3,3,Penthouse,https://www.realestateview.com.au/property/leichhardt/penthouse-17,realestateview.com.au
"Guide $1,710,902",1710902.0,"706 George St, Leichhardt NSW 2302",Leichhardt,3,3,1,Penthouse,https://www.rent.com.au/property/leichhardt/penthouse-18,rent.com.au
"$1,485,212 ONO",1485212.0,"561 Edward St, Leichhardt NSW 2230",Leichhardt,3,1,0,Townhouse,https://www.domain.com.au/property/leichhardt/townhouse-19,domain.com.au
"Guide $1,198,448",1198448.0,"260 Church St, Leichhardt NSW 2435",Leichhardt,1,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/leichhardt/apartment--unit--flat-20,realestate.com.au
"$2,316,290 - $2,472,984",2316290.0,"164 Military Rd, Leichhardt NSW 2375",Leichhardt,3,1,1,Villa,https://www.realestate.com.au/property/leichhardt/villa-21,realestate.com.au
"From $580,053",580053.0,"941 The Boulevarde, Leichhardt NSW 2502",Leichhardt,0,1,2,Studio,https://www.realestateview.com.au/property/leichhardt/studio-22,realestateview.com.au
"$1,725,821 ONO",1725821.0,"594 High St, Leichhardt NSW 2230",Leichhardt,2,2,1,Villa,https://www.realestateview.com.au/property/leichhardt/villa-23,realestateview.com.au
"From $694,610",694610.0,"669 King St, Leichhardt NSW 2463",Leichhardt,0,1,0,Studio,https://www.realestateview.com.au/property/leichhardt/studio-24,realestateview.com.au
