price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,828,834 ONO",1828834.0,"78 Edward St, Lewisham NSW 2526",Lewisham,4,4,0,Penthouse,https://www.realestateview.com.au/property/lewisham/penthouse-1,realestateview.com.au
"$698,179 ONO",698179.0,"754 George St, Lewisham NSW 2044",Lewisham,0,1,1,Studio,https://www.rent.com.au/property/lewisham/studio-2,rent.com.au
"From $2,190,033",2190033.0,"729 Military Rd, Lewisham NSW 2932",Lewisham,2,3,0,Townhouse,https://www.domain.com.au/property/lewisham/townhouse-3,domain.com.au
"$855,984 ONO",855984.0,"23 Victoria St, Lewisham NSW 2415",Lewisham,1,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/lewisham/apartment--unit--flat-4,realestate.com.au
"$1,424,989 ONO",1424989.0,"956 Albert St, Lewisham NSW 2567",Lewisham,4,4,1,Villa,https://www.realestate.com.au/property/lewisham/villa-5,realestate.com.au
"Guide $980,525",980525.0,"313 Church St, Lewisham NSW 2065",Lewisham,2,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/lewisham/apartment--unit--flat-6,rent.com.au
"Guide $1,230,604",1230604.0,"953 Elizabeth St, Lewisham NSW 2152",Lewisham,4,2,2,House,https://www.rent.com.au/property/lewisham/house-7,rent.com.au
"$2,202,453 - $2,434,620",2202453.0,"650 High St, Lewisham NSW 2078",Lewisham,2,3,1,House,https://www.realestate.com.au/property/lewisham/house-8,realestate.com.au
"$621,822",621822.0,"933 Park Ave, Lewisham NSW 2934",Lewisham,1,1,0,Townhouse,https://www.rent.com.au/property/lewisham/townhouse-9,rent.com.au
"From $2,453,613",2453613.0,"938 Church St, Lewisham NSW 2957",Lewisham,3,4,0,House,https://www.realestateview.com.au/property/lewisham/house-10,realestateview.com.au
"Guide $700,554",700554.0,"963 Church St, Lewisham NSW 2735",Lewisham,4,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/lewisham/apartment--unit--flat-11,realestate.com.au
"From $2,011,237",2011237.0,"682 High St, Lewisham NSW 2663",Lewisham,3,3,2,Penthouse,https://www.realestateview.com.au/property/lewisham/penthouse-13,realestateview.com.au
"$2,290,981 - $2,566,483",2290981.0,"381 Elizabeth St, Lewisham NSW 2295",Lewisham,3,3,2,Townhouse,https://www.realestate.com.au/property/lewisham/townhouse-14,realestate.com.au
"$2,358,039 - $2,600,200",2358039.0,"739 William St, Lewisham NSW 2183",Lewisham,3,2,4,Apartment / Unit / Flat,https://www.rent.com.au/property/lewisham/apartment--unit--flat-15,rent.com.au
"$851,080 - $1,047,103",851080.0,"160 Park Ave, Lewisham NSW 2989",Lewisham,6,2,4,Penthouse,https://www.domain.com.au/property/lewisham/penthouse-16,domain.com.au
"From $1,521,434",1521434.0,"38 Beach Rd, Lewisham NSW 2633",Lewisham,0,1,0,Studio,https://www.realestate.com.au/property/lewisham/studio-17,realestate.com.au
"Guide $1,606,042",1606042.0,"246 Military Rd, Lewisham NSW 2341",Lewisham,0,1,2,Studio,https://www.domain.com.au/property/lewisham/studio-19,domain.com.au
"Guide $1,720,893",1720893.0,"392 George St, Lewisham NSW 2432",Lewisham,0,1,0,Studio,https://www.rent.com.au/property/lewisham/studio-20,rent.com.au
"$652,909 ONO",652909.0,"515 William St, Lewisham NSW 2314",Lewisham,0,1,0,Studio,https://www.domain.com.au/property/lewisham/studio-21,domain.com.au
"$1,081,172",1081172.0,"419 Church St, Lewisham NSW 2535",Lewisham,1,2,3,Townhouse,https://www.rent.com.au/property/lewisham/townhouse-22,rent.com.au
"$685,147 - $965,374",685147.0,"857 Victoria St, Lewisham NSW 2949",Lewisham,4,4,0,Penthouse,https://www.realestate.com.au/property/lewisham/penthouse-23,realestate.com.au
"$1,442,333 ONO",1442333.0,"406 Albert St, Lewisham NSW 2697",Lewisham,1,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/lewisham/apartment--unit--flat-24,rent.com.au
