price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,035,637 ONO",1035637.0,"528 Albert St, Liberty Grove NSW 2461",Liberty Grove,0,1,2,Studio,https://www.realestateview.com.au/property/liberty-grove/studio-0,realestateview.com.au
"Guide $1,880,351",1880351.0,"594 Main St, Liberty Grove NSW 2058",Liberty Grove,2,2,1,Townhouse,https://www.realestateview.com.au/property/liberty-grove/townhouse-1,realestateview.com.au
"$1,256,172",1256172.0,"544 Princes Highway, Liberty Grove NSW 2772",Liberty Grove,0,1,0,Studio,https://www.domain.com.au/property/liberty-grove/studio-2,domain.com.au
"From $653,680",653680.0,"372 Edward St, Liberty Grove NSW 2838",Liberty Grove,0,1,1,Studio,https://www.realestateview.com.au/property/liberty-grove/studio-3,realestateview.com.au
"$1,397,864",1397864.0,"936 George St, Liberty Grove NSW 2877",Liberty Grove,3,2,0,House,https://www.domain.com.au/property/liberty-grove/house-4,domain.com.au
"$1,389,974 - $1,661,210",1389974.0,"165 Ocean Rd, Liberty Grove NSW 2425",Liberty Grove,0,1,2,Studio,https://www.realestateview.com.au/property/liberty-grove/studio-5,realestateview.com.au
"$2,064,858 - $2,143,658",2064858.0,"396 Albert St, Liberty Grove NSW 2894",Liberty Grove,5,4,3,Townhouse,https://www.domain.com.au/property/liberty-grove/townhouse-6,domain.com.au
"$1,733,472 ONO",1733472.0,"300 Elizabeth St, Liberty Grove NSW 2530",Liberty Grove,3,2,2,Townhouse,https://www.rent.com.au/property/liberty-grove/townhouse-8,rent.com.au
"$1,729,608 ONO",1729608.0,"866 Queen St, Liberty Grove NSW 2604",Liberty Grove,5,3,0,Penthouse,https://www.realestateview.com.au/property/liberty-grove/penthouse-9,realestateview.com.au
"$1,271,191 - $1,539,372",1271191.0,"912 High St, Liberty Grove NSW 2963",Liberty Grove,0,1,3,Studio,https://www.realestate.com.au/property/liberty-grove/studio-10,realestate.com.au
"From $1,299,105",1299105.0,"200 Pacific Highway, Liberty Grove NSW 2377",Liberty Grove,4,4,2,Penthouse,https://www.rent.com.au/property/liberty-grove/penthouse-11,rent.com.au
"$1,512,610",1512610.0,"134 Victoria St, Liberty Grove NSW 2336",Liberty Grove,0,1,3,Studio,https://www.rent.com.au/property/liberty-grove/studio-12,rent.com.au
"Guide $2,318,349",2318349.0,"548 Victoria St, Liberty Grove NSW 2274",Liberty Grove,2,2,3,Townhouse,https://www.realestateview.com.au/property/liberty-grove/townhouse-13,realestateview.com.au
"From $724,939",724939.0,"882 The Boulevarde, Liberty Grove NSW 2539",Liberty Grove,0,1,1,Studio,https://www.domain.com.au/property/liberty-grove/studio-14,domain.com.au
"$549,761 - $756,507",549761.0,"282 King St, Liberty Grove NSW 2870",Liberty Grove,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/liberty-grove/apartment--unit--flat-15,domain.com.au
"$1,266,656 ONO",1266656.0,"823 Military Rd, Liberty Grove NSW 2985",Liberty Grove,5,2,2,Penthouse,https://www.domain.com.au/property/liberty-grove/penthouse-16,domain.com.au
"$1,918,875 - $2,137,954",1918875.0,"166 King St, Liberty Grove NSW 2800",Liberty Grove,3,4,1,Villa,https://www.realestate.com.au/property/liberty-grove/villa-17,realestate.com.au
"From $2,183,053",2183053.0,"357 James St, Liberty Grove NSW 2178",Liberty Grove,0,1,3,Studio,https://www.realestateview.com.au/property/liberty-grove/studio-18,realestateview.com.au
"$744,270 ONO",744270.0,"294 Park Ave, Liberty Grove NSW 2305",Liberty Grove,4,3,2,House,https://www.rent.com.au/property/liberty-grove/house-19,rent.com.au
"$1,968,629",1968629.0,"980 Church St, Liberty Grove NSW 2689",Liberty Grove,3,1,1,Townhouse,https://www.rent.com.au/property/liberty-grove/townhouse-20,rent.com.au
"From $686,735",686735.0,"46 Princes Highway, Liberty Grove NSW 2672",Liberty Grove,3,1,2,Townhouse,https://www.domain.com.au/property/liberty-grove/townhouse-21,domain.com.au
"$1,425,439 - $1,642,810",1425439.0,"282 The Boulevarde, Liberty Grove NSW 2741",Liberty Grove,5,2,3,Penthouse,https://www.realestateview.com.au/property/liberty-grove/penthouse-22,realestateview.com.au
"Guide $2,312,290",2312290.0,"105 Pacific Highway, Liberty Grove NSW 2379",Liberty Grove,3,3,0,House,https://www.realestate.com.au/property/liberty-grove/house-23,realestate.com.au
"$725,790",725790.0,"865 Beach Rd, Liberty Grove NSW 2738",Liberty Grove,2,3,2,House,https://www.realestate.com.au/property/liberty-grove/house-24,realestate.com.au
