price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$669,768",669768.0,"385 Ocean Rd, Lilli Pilli NSW 2959",Lilli Pilli,2,3,2,Townhouse,https://www.rent.com.au/property/lilli-pilli/townhouse-0,rent.com.au
"$2,329,217 ONO",2329217.0,"148 Edward St, Lilli Pilli NSW 2175",Lilli Pilli,3,2,2,Villa,https://www.domain.com.au/property/lilli-pilli/villa-1,domain.com.au
"$2,222,750 - $2,297,199",2222750.0,"165 James St, Lilli Pilli NSW 2888",Lilli Pilli,3,3,2,Villa,https://www.realestate.com.au/property/lilli-pilli/villa-2,realestate.com.au
"$2,337,363",2337363.0,"472 King St, Lilli Pilli NSW 2539",Lilli Pilli,3,3,3,House,https://www.realestateview.com.au/property/lilli-pilli/house-3,realestateview.com.au
"Guide $1,949,972",1949972.0,"18 Railway St, Lilli Pilli NSW 2211",Lilli Pilli,4,4,1,Villa,https://www.rent.com.au/property/lilli-pilli/villa-4,rent.com.au
"$781,800",781800.0,"332 Beach Rd, Lilli Pilli NSW 2497",Lilli Pilli,4,1,1,House,https://www.domain.com.au/property/lilli-pilli/house-5,domain.com.au
"$1,832,244",1832244.0,"701 Edward St, Lilli Pilli NSW 2017",Lilli Pilli,0,1,2,Studio,https://www.domain.com.au/property/lilli-pilli/studio-6,domain.com.au
"$1,630,932",1630932.0,"788 The Boulevarde, Lilli Pilli NSW 2311",Lilli Pilli,0,1,0,Studio,https://www.rent.com.au/property/lilli-pilli/studio-8,rent.com.au
"$680,349",680349.0,"924 Church St, Lilli Pilli NSW 2406",Lilli Pilli,3,2,3,Villa,https://www.domain.com.au/property/lilli-pilli/villa-9,domain.com.au
"$2,403,471 - $2,467,869",2403471.0,"447 William St, Lilli Pilli NSW 2249",Lilli Pilli,2,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/lilli-pilli/apartment--unit--flat-10,rent.com.au
"From $2,499,405",2499405.0,"140 George St, Lilli Pilli NSW 2427",Lilli Pilli,3,3,0,House,https://www.realestate.com.au/property/lilli-pilli/house-11,realestate.com.au
"$2,382,099",2382099.0,"2 Victoria St, Lilli Pilli NSW 2822",Lilli Pilli,2,2,0,Townhouse,https://www.realestateview.com.au/property/lilli-pilli/townhouse-12,realestateview.com.au
"$926,069",926069.0,"130 Market St, Lilli Pilli NSW 2838",Lilli Pilli,2,2,0,Villa,https://www.rent.com.au/property/lilli-pilli/villa-13,rent.com.au
"From $1,697,292",1697292.0,"540 King St, Lilli Pilli NSW 2466",Lilli Pilli,3,2,4,Townhouse,https://www.realestateview.com.au/property/lilli-pilli/townhouse-14,realestateview.com.au
"$1,369,279",1369279.0,"923 Princes Highway, Lilli Pilli NSW 2879",Lilli Pilli,3,4,0,Penthouse,https://www.domain.com.au/property/lilli-pilli/penthouse-15,domain.com.au
"Guide $569,576",569576.0,"763 Albert St, Lilli Pilli NSW 2163",Lilli Pilli,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/lilli-pilli/apartment--unit--flat-16,realestate.com.au
"From $1,264,402",1264402.0,"505 Pacific Highway, Lilli Pilli NSW 2717",Lilli Pilli,2,3,1,Townhouse,https://www.domain.com.au/property/lilli-pilli/townhouse-17,domain.com.au
"$2,231,820",2231820.0,"556 William St, Lilli Pilli NSW 2722",Lilli Pilli,4,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/lilli-pilli/apartment--unit--flat-18,domain.com.au
"$2,223,934 - $2,334,964",2223934.0,"39 Victoria St, Lilli Pilli NSW 2940",Lilli Pilli,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lilli-pilli/apartment--unit--flat-19,realestateview.com.au
"$2,452,745 ONO",2452745.0,"873 The Boulevarde, Lilli Pilli NSW 2177",Lilli Pilli,3,3,2,House,https://www.domain.com.au/property/lilli-pilli/house-20,domain.com.au
"From $1,257,583",1257583.0,"330 Beach Rd, Lilli Pilli NSW 2853",Lilli Pilli,2,3,2,House,https://www.realestate.com.au/property/lilli-pilli/house-21,realestate.com.au
"$2,036,797 ONO",2036797.0,"928 William St, Lilli Pilli NSW 2841",Lilli Pilli,2,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/lilli-pilli/apartment--unit--flat-22,realestate.com.au
"Guide $844,923",844923.0,"657 Railway St, Lilli Pilli NSW 2232",Lilli Pilli,4,4,0,Villa,https://www.rent.com.au/property/lilli-pilli/villa-23,rent.com.au
"$596,534 - $869,106",596534.0,"501 George St, Lilli Pilli NSW 2560",Lilli Pilli,0,1,0,Studio,https://www.realestateview.com.au/property/lilli-pilli/studio-24,realestateview.com.au
