price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,834,074 ONO",1834074.0,"207 Victoria St, Lilyfield NSW 2413",Lilyfield,4,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/lilyfield/apartment--unit--flat-0,realestate.com.au
"$1,304,536",1304536.0,"172 Market St, Lilyfield NSW 2225",Lilyfield,3,2,2,Townhouse,https://www.realestateview.com.au/property/lilyfield/townhouse-1,realestateview.com.au
"From $1,160,837",1160837.0,"21 George St, Lilyfield NSW 2751",Lilyfield,3,2,0,Villa,https://www.rent.com.au/property/lilyfield/villa-2,rent.com.au
"$1,322,046 - $1,397,092",1322046.0,"358 George St, Lilyfield NSW 2653",Lilyfield,0,1,1,Studio,https://www.realestateview.com.au/property/lilyfield/studio-3,realestateview.com.au
"Guide $1,645,995",1645995.0,"188 Elizabeth St, Lilyfield NSW 2174",Lilyfield,0,1,3,Studio,https://www.realestateview.com.au/property/lilyfield/studio-4,realestateview.com.au
"From $2,255,152",2255152.0,"268 Beach Rd, Lilyfield NSW 2328",Lilyfield,2,1,1,House,https://www.realestateview.com.au/property/lilyfield/house-5,realestateview.com.au
"$2,140,112 ONO",2140112.0,"281 Ocean Rd, Lilyfield NSW 2518",Lilyfield,3,2,1,Penthouse,https://www.realestate.com.au/property/lilyfield/penthouse-6,realestate.com.au
"From $1,488,370",1488370.0,"418 Pacific Highway, Lilyfield NSW 2393",Lilyfield,3,3,0,Townhouse,https://www.realestateview.com.au/property/lilyfield/townhouse-7,realestateview.com.au
"$2,110,247 - $2,269,909",2110247.0,"176 Queen St, Lilyfield NSW 2549",Lilyfield,5,2,0,Penthouse,https://www.rent.com.au/property/lilyfield/penthouse-8,rent.com.au
"$959,907 - $1,170,823",959907.0,"100 Ocean Rd, Lilyfield NSW 2012",Lilyfield,4,3,1,Penthouse,https://www.rent.com.au/property/lilyfield/penthouse-9,rent.com.au
"$1,417,666 ONO",1417666.0,"217 The Boulevarde, Lilyfield NSW 2048",Lilyfield,2,2,3,House,https://www.realestateview.com.au/property/lilyfield/house-10,realestateview.com.au
"$1,118,526 - $1,277,432",1118526.0,"182 Market St, Lilyfield NSW 2136",Lilyfield,3,4,0,Villa,https://www.realestate.com.au/property/lilyfield/villa-11,realestate.com.au
"$1,556,405 - $1,706,102",1556405.0,"665 James St, Lilyfield NSW 2819",Lilyfield,2,3,3,Townhouse,https://www.realestateview.com.au/property/lilyfield/townhouse-12,realestateview.com.au
"$1,977,552",1977552.0,"76 King St, Lilyfield NSW 2731",Lilyfield,1,1,1,Townhouse,https://www.rent.com.au/property/lilyfield/townhouse-13,rent.com.au
"Guide $2,441,277",2441277.0,"256 Beach Rd, Lilyfield NSW 2879",Lilyfield,4,2,2,House,https://www.domain.com.au/property/lilyfield/house-15,domain.com.au
"From $1,465,404",1465404.0,"108 Edward St, Lilyfield NSW 2842",Lilyfield,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lilyfield/apartment--unit--flat-16,realestateview.com.au
"From $1,460,714",1460714.0,"314 Military Rd, Lilyfield NSW 2896",Lilyfield,1,1,0,Townhouse,https://www.realestateview.com.au/property/lilyfield/townhouse-17,realestateview.com.au
"$1,748,852 - $1,890,003",1748852.0,"764 High St, Lilyfield NSW 2329",Lilyfield,4,3,3,Villa,https://www.realestateview.com.au/property/lilyfield/villa-19,realestateview.com.au
"From $857,745",857745.0,"259 High St, Lilyfield NSW 2997",Lilyfield,4,4,2,House,https://www.rent.com.au/property/lilyfield/house-20,rent.com.au
"From $1,885,764",1885764.0,"389 Victoria St, Lilyfield NSW 2834",Lilyfield,5,4,1,Penthouse,https://www.realestateview.com.au/property/lilyfield/penthouse-21,realestateview.com.au
"$1,135,779 - $1,405,012",1135779.0,"209 Ocean Rd, Lilyfield NSW 2061",Lilyfield,2,3,0,Townhouse,https://www.realestate.com.au/property/lilyfield/townhouse-22,realestate.com.au
"From $610,027",610027.0,"19 Main St, Lilyfield NSW 2645",Lilyfield,4,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/lilyfield/apartment--unit--flat-23,realestate.com.au
"$2,429,715 ONO",2429715.0,"190 Edward St, Lilyfield NSW 2837",Lilyfield,3,1,0,House,https://www.realestateview.com.au/property/lilyfield/house-24,realestateview.com.au
