price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$532,654 - $809,081",532654.0,"896 Princes Highway, Lindfield NSW 2249",Lindfield,3,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/lindfield/apartment--unit--flat-1,domain.com.au
"$1,271,322",1271322.0,"99 Elizabeth St, Lindfield NSW 2441",Lindfield,0,1,0,Studio,https://www.domain.com.au/property/lindfield/studio-2,domain.com.au
"$650,784 - $806,029",650784.0,"681 Edward St, Lindfield NSW 2927",Lindfield,6,3,1,Penthouse,https://www.domain.com.au/property/lindfield/penthouse-3,domain.com.au
"From $723,430",723430.0,"967 Military Rd, Lindfield NSW 2983",Lindfield,3,4,2,Penthouse,https://www.realestateview.com.au/property/lindfield/penthouse-5,realestateview.com.au
"$1,700,505",1700505.0,"763 Beach Rd, Lindfield NSW 2737",Lindfield,3,1,0,Villa,https://www.realestate.com.au/property/lindfield/villa-6,realestate.com.au
"$741,769",741769.0,"241 Church St, Lindfield NSW 2912",Lindfield,0,1,3,Studio,https://www.domain.com.au/property/lindfield/studio-8,domain.com.au
"Guide $1,163,867",1163867.0,"892 Edward St, Lindfield NSW 2699",Lindfield,1,1,0,Townhouse,https://www.rent.com.au/property/lindfield/townhouse-9,rent.com.au
"From $1,374,413",1374413.0,"56 Pacific Highway, Lindfield NSW 2194",Lindfield,3,1,1,Villa,https://www.realestateview.com.au/property/lindfield/villa-10,realestateview.com.au
"From $1,140,856",1140856.0,"227 Military Rd, Lindfield NSW 2029",Lindfield,2,2,0,House,https://www.realestateview.com.au/property/lindfield/house-11,realestateview.com.au
"$757,453",757453.0,"699 Elizabeth St, Lindfield NSW 2480",Lindfield,2,2,3,Townhouse,https://www.domain.com.au/property/lindfield/townhouse-12,domain.com.au
"Guide $2,468,308",2468308.0,"384 The Boulevarde, Lindfield NSW 2772",Lindfield,3,1,0,Villa,https://www.realestate.com.au/property/lindfield/villa-13,realestate.com.au
"$1,228,551 - $1,286,044",1228551.0,"250 William St, Lindfield NSW 2085",Lindfield,0,1,1,Studio,https://www.realestateview.com.au/property/lindfield/studio-14,realestateview.com.au
"$976,404 ONO",976404.0,"699 James St, Lindfield NSW 2996",Lindfield,4,2,1,Villa,https://www.realestateview.com.au/property/lindfield/villa-15,realestateview.com.au
"$600,871 - $660,777",600871.0,"826 Princes Highway, Lindfield NSW 2187",Lindfield,2,1,0,Villa,https://www.domain.com.au/property/lindfield/villa-16,domain.com.au
"$1,484,067 ONO",1484067.0,"561 Park Ave, Lindfield NSW 2525",Lindfield,5,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/lindfield/apartment--unit--flat-17,realestate.com.au
"Guide $2,139,310",2139310.0,"1 Church St, Lindfield NSW 2879",Lindfield,6,3,3,Penthouse,https://www.realestate.com.au/property/lindfield/penthouse-19,realestate.com.au
"Guide $1,745,014",1745014.0,"882 James St, Lindfield NSW 2930",Lindfield,0,1,0,Studio,https://www.realestateview.com.au/property/lindfield/studio-20,realestateview.com.au
"Guide $875,255",875255.0,"276 William St, Lindfield NSW 2869",Lindfield,2,2,2,Townhouse,https://www.realestateview.com.au/property/lindfield/townhouse-21,realestateview.com.au
"From $1,536,690",1536690.0,"907 King St, Lindfield NSW 2460",Lindfield,3,3,2,Penthouse,https://www.domain.com.au/property/lindfield/penthouse-24,domain.com.au
