price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,124,506",2124506.0,"693 Main St, Little Bay NSW 2383",Little Bay,3,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/little-bay/apartment--unit--flat-0,rent.com.au
"From $912,012",912012.0,"574 High St, Little Bay NSW 2650",Little Bay,3,2,3,Townhouse,https://www.realestateview.com.au/property/little-bay/townhouse-1,realestateview.com.au
"Guide $1,449,984",1449984.0,"674 King St, Little Bay NSW 2381",Little Bay,5,2,1,Penthouse,https://www.realestateview.com.au/property/little-bay/penthouse-3,realestateview.com.au
"Guide $1,296,560",1296560.0,"527 Park Ave, Little Bay NSW 2236",Little Bay,3,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/little-bay/apartment--unit--flat-4,rent.com.au
"Guide $766,203",766203.0,"842 Pacific Highway, Little Bay NSW 2144",Little Bay,2,1,0,Villa,https://www.domain.com.au/property/little-bay/villa-5,domain.com.au
"Guide $2,135,389",2135389.0,"190 James St, Little Bay NSW 2022",Little Bay,2,2,1,Townhouse,https://www.realestateview.com.au/property/little-bay/townhouse-6,realestateview.com.au
"$931,853 - $1,038,064",931853.0,"614 The Boulevarde, Little Bay NSW 2142",Little Bay,4,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/little-bay/apartment--unit--flat-7,rent.com.au
"From $723,465",723465.0,"173 Market St, Little Bay NSW 2027",Little Bay,4,3,1,Townhouse,https://www.rent.com.au/property/little-bay/townhouse-8,rent.com.au
"$586,612",586612.0,"2 Ocean Rd, Little Bay NSW 2686",Little Bay,0,1,0,Studio,https://www.rent.com.au/property/little-bay/studio-9,rent.com.au
"$680,157",680157.0,"978 Pacific Highway, Little Bay NSW 2038",Little Bay,2,3,2,Townhouse,https://www.domain.com.au/property/little-bay/townhouse-10,domain.com.au
"$1,326,658 - $1,437,122",1326658.0,"589 William St, Little Bay NSW 2287",Little Bay,3,3,0,House,https://www.rent.com.au/property/little-bay/house-11,rent.com.au
"$1,252,372 - $1,305,235",1252372.0,"73 Queen St, Little Bay NSW 2443",Little Bay,5,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/little-bay/apartment--unit--flat-12,realestateview.com.au
"$931,573 ONO",931573.0,"461 Main St, Little Bay NSW 2102",Little Bay,0,1,3,Studio,https://www.realestateview.com.au/property/little-bay/studio-13,realestateview.com.au
"From $1,519,258",1519258.0,"924 Main St, Little Bay NSW 2134",Little Bay,2,1,2,Townhouse,https://www.realestateview.com.au/property/little-bay/townhouse-14,realestateview.com.au
"$1,980,081 - $2,185,416",1980081.0,"860 Ocean Rd, Little Bay NSW 2192",Little Bay,1,2,4,Townhouse,https://www.domain.com.au/property/little-bay/townhouse-16,domain.com.au
"Guide $1,363,941",1363941.0,"513 Park Ave, Little Bay NSW 2276",Little Bay,0,1,2,Studio,https://www.domain.com.au/property/little-bay/studio-17,domain.com.au
"From $2,232,870",2232870.0,"573 William St, Little Bay NSW 2735",Little Bay,5,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/little-bay/apartment--unit--flat-18,realestate.com.au
"Guide $873,790",873790.0,"557 Albert St, Little Bay NSW 2300",Little Bay,4,1,2,House,https://www.rent.com.au/property/little-bay/house-19,rent.com.au
"$1,757,384",1757384.0,"590 Church St, Little Bay NSW 2146",Little Bay,0,1,3,Studio,https://www.realestateview.com.au/property/little-bay/studio-20,realestateview.com.au
"$841,777 ONO",841777.0,"293 Military Rd, Little Bay NSW 2755",Little Bay,2,3,1,Villa,https://www.realestateview.com.au/property/little-bay/villa-21,realestateview.com.au
"From $2,131,499",2131499.0,"742 Military Rd, Little Bay NSW 2547",Little Bay,2,1,0,House,https://www.rent.com.au/property/little-bay/house-22,rent.com.au
"$2,030,866",2030866.0,"427 Pacific Highway, Little Bay NSW 2499",Little Bay,3,2,1,Townhouse,https://www.realestateview.com.au/property/little-bay/townhouse-23,realestateview.com.au
"Guide $2,053,703",2053703.0,"92 Military Rd, Little Bay NSW 2944",Little Bay,3,3,1,House,https://www.realestate.com.au/property/little-bay/house-24,realestate.com.au
