price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,448,684 ONO",1448684.0,"422 High St, Longueville NSW 2349",Longueville,0,1,2,Studio,https://www.realestateview.com.au/property/longueville/studio-0,realestateview.com.au
"Guide $2,480,452",2480452.0,"429 Princes Highway, Longueville NSW 2951",Longueville,5,3,0,Penthouse,https://www.realestate.com.au/property/longueville/penthouse-1,realestate.com.au
"$847,781",847781.0,"873 Railway St, Longueville NSW 2331",Longueville,6,3,1,Penthouse,https://www.realestate.com.au/property/longueville/penthouse-3,realestate.com.au
"Guide $1,433,153",1433153.0,"121 The Boulevarde, Longueville NSW 2533",Longueville,0,1,0,Studio,https://www.rent.com.au/property/longueville/studio-4,rent.com.au
"$1,326,024 ONO",1326024.0,"565 Ocean Rd, Longueville NSW 2621",Longueville,5,3,0,Townhouse,https://www.rent.com.au/property/longueville/townhouse-5,rent.com.au
"From $1,009,085",1009085.0,"469 Railway St, Longueville NSW 2330",Longueville,2,3,0,Townhouse,https://www.domain.com.au/property/longueville/townhouse-6,domain.com.au
"$1,193,798 ONO",1193798.0,"985 James St, Longueville NSW 2886",Longueville,1,2,0,Villa,https://www.rent.com.au/property/longueville/villa-8,rent.com.au
"Guide $2,287,960",2287960.0,"607 Military Rd, Longueville NSW 2001",Longueville,3,2,2,House,https://www.realestate.com.au/property/longueville/house-9,realestate.com.au
"$845,970",845970.0,"255 Elizabeth St, Longueville NSW 2393",Longueville,0,1,2,Studio,https://www.domain.com.au/property/longueville/studio-10,domain.com.au
"$588,807",588807.0,"431 High St, Longueville NSW 2088",Longueville,3,3,1,Villa,https://www.realestate.com.au/property/longueville/villa-11,realestate.com.au
"$1,056,920",1056920.0,"729 Market St, Longueville NSW 2870",Longueville,0,1,1,Studio,https://www.realestateview.com.au/property/longueville/studio-12,realestateview.com.au
"From $2,146,916",2146916.0,"185 Victoria St, Longueville NSW 2711",Longueville,2,2,1,Townhouse,https://www.domain.com.au/property/longueville/townhouse-13,domain.com.au
"$1,602,848 ONO",1602848.0,"172 Market St, Longueville NSW 2167",Longueville,0,1,0,Studio,https://www.realestateview.com.au/property/longueville/studio-14,realestateview.com.au
"$1,805,702 ONO",1805702.0,"525 James St, Longueville NSW 2968",Longueville,6,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/longueville/apartment--unit--flat-15,realestate.com.au
"From $885,664",885664.0,"210 Albert St, Longueville NSW 2014",Longueville,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/longueville/apartment--unit--flat-16,domain.com.au
"From $1,827,656",1827656.0,"352 Elizabeth St, Longueville NSW 2153",Longueville,5,4,3,Penthouse,https://www.realestate.com.au/property/longueville/penthouse-17,realestate.com.au
"$2,271,940 ONO",2271940.0,"364 Edward St, Longueville NSW 2329",Longueville,4,2,0,House,https://www.domain.com.au/property/longueville/house-18,domain.com.au
"$1,920,365 ONO",1920365.0,"949 Church St, Longueville NSW 2703",Longueville,3,1,0,House,https://www.realestate.com.au/property/longueville/house-19,realestate.com.au
"$1,822,065 ONO",1822065.0,"822 King St, Longueville NSW 2360",Longueville,0,1,0,Studio,https://www.domain.com.au/property/longueville/studio-20,domain.com.au
"$1,038,308 - $1,208,458",1038308.0,"790 The Boulevarde, Longueville NSW 2136",Longueville,4,2,1,Villa,https://www.rent.com.au/property/longueville/villa-21,rent.com.au
"$985,687 - $1,079,302",985687.0,"4 Elizabeth St, Longueville NSW 2420",Longueville,2,3,3,Villa,https://www.realestate.com.au/property/longueville/villa-22,realestate.com.au
"Guide $2,433,883",2433883.0,"39 Pacific Highway, Longueville NSW 2830",Longueville,0,1,2,Studio,https://www.realestateview.com.au/property/longueville/studio-23,realestateview.com.au
"Guide $594,871",594871.0,"451 Victoria St, Longueville NSW 2055",Longueville,2,1,2,Townhouse,https://www.domain.com.au/property/longueville/townhouse-24,domain.com.au
