price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,258,169 - $1,446,415",1258169.0,"814 Albert St, Lucas Heights NSW 2608",Lucas Heights,5,2,2,Penthouse,https://www.domain.com.au/property/lucas-heights/penthouse-2,domain.com.au
"Guide $908,162",908162.0,"730 Pacific Highway, Lucas Heights NSW 2966",Lucas Heights,0,1,4,Studio,https://www.realestate.com.au/property/lucas-heights/studio-3,realestate.com.au
"$1,597,967 ONO",1597967.0,"195 Market St, Lucas Heights NSW 2917",Lucas Heights,4,2,0,Penthouse,https://www.rent.com.au/property/lucas-heights/penthouse-5,rent.com.au
"$2,046,337 - $2,225,273",2046337.0,"643 Pacific Highway, Lucas Heights NSW 2060",Lucas Heights,4,2,1,Penthouse,https://www.realestate.com.au/property/lucas-heights/penthouse-6,realestate.com.au
"From $977,858",977858.0,"656 Pacific Highway, Lucas Heights NSW 2930",Lucas Heights,3,2,0,Penthouse,https://www.rent.com.au/property/lucas-heights/penthouse-8,rent.com.au
"From $1,333,148",1333148.0,"169 Railway St, Lucas Heights NSW 2859",Lucas Heights,0,1,2,Studio,https://www.domain.com.au/property/lucas-heights/studio-9,domain.com.au
"$1,758,604 - $1,992,178",1758604.0,"429 James St, Lucas Heights NSW 2506",Lucas Heights,3,3,0,Apartment / Unit / Flat,https://www.rent.com.au/property/lucas-heights/apartment--unit--flat-10,rent.com.au
"From $1,416,825",1416825.0,"179 Church St, Lucas Heights NSW 2242",Lucas Heights,2,2,1,Villa,https://www.realestate.com.au/property/lucas-heights/villa-11,realestate.com.au
"From $1,917,907",1917907.0,"662 Princes Highway, Lucas Heights NSW 2209",Lucas Heights,0,1,0,Studio,https://www.realestateview.com.au/property/lucas-heights/studio-12,realestateview.com.au
"Guide $1,484,712",1484712.0,"63 Albert St, Lucas Heights NSW 2030",Lucas Heights,0,1,0,Studio,https://www.realestateview.com.au/property/lucas-heights/studio-13,realestateview.com.au
"Guide $1,067,398",1067398.0,"760 Princes Highway, Lucas Heights NSW 2447",Lucas Heights,3,2,0,Townhouse,https://www.realestate.com.au/property/lucas-heights/townhouse-14,realestate.com.au
"Guide $1,944,398",1944398.0,"980 Market St, Lucas Heights NSW 2537",Lucas Heights,4,1,2,House,https://www.realestateview.com.au/property/lucas-heights/house-15,realestateview.com.au
"$1,729,241 ONO",1729241.0,"437 Queen St, Lucas Heights NSW 2711",Lucas Heights,4,4,0,Penthouse,https://www.rent.com.au/property/lucas-heights/penthouse-17,rent.com.au
"$1,574,581",1574581.0,"738 Ocean Rd, Lucas Heights NSW 2475",Lucas Heights,5,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/lucas-heights/apartment--unit--flat-18,domain.com.au
"Guide $2,185,672",2185672.0,"242 William St, Lucas Heights NSW 2484",Lucas Heights,1,1,3,Villa,https://www.realestateview.com.au/property/lucas-heights/villa-19,realestateview.com.au
"From $1,433,128",1433128.0,"771 Victoria St, Lucas Heights NSW 2177",Lucas Heights,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lucas-heights/apartment--unit--flat-20,realestateview.com.au
"$1,985,288 ONO",1985288.0,"465 Military Rd, Lucas Heights NSW 2723",Lucas Heights,3,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/lucas-heights/apartment--unit--flat-21,realestate.com.au
"$2,272,499 - $2,439,305",2272499.0,"597 George St, Lucas Heights NSW 2986",Lucas Heights,3,2,0,Penthouse,https://www.rent.com.au/property/lucas-heights/penthouse-22,rent.com.au
"$2,475,469",2475469.0,"440 George St, Lucas Heights NSW 2244",Lucas Heights,1,1,1,House,https://www.realestate.com.au/property/lucas-heights/house-23,realestate.com.au
"$1,454,230 ONO",1454230.0,"948 Church St, Lucas Heights NSW 2564",Lucas Heights,0,1,1,Studio,https://www.realestate.com.au/property/lucas-heights/studio-24,realestate.com.au
