price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,420,023",2420023.0,"329 Railway St, Lugarno NSW 2735",Lugarno,4,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lugarno/apartment--unit--flat-1,realestateview.com.au
"Guide $849,693",849693.0,"319 George St, Lugarno NSW 2420",Lugarno,0,1,0,Studio,https://www.realestateview.com.au/property/lugarno/studio-2,realestateview.com.au
"Guide $1,679,997",1679997.0,"146 Park Ave, Lugarno NSW 2639",Lugarno,2,1,1,House,https://www.realestate.com.au/property/lugarno/house-3,realestate.com.au
"$632,473 - $732,569",632473.0,"504 High St, Lugarno NSW 2274",Lugarno,0,1,1,Studio,https://www.realestateview.com.au/property/lugarno/studio-4,realestateview.com.au
"$1,113,742",1113742.0,"605 Queen St, Lugarno NSW 2121",Lugarno,6,1,1,Villa,https://www.realestateview.com.au/property/lugarno/villa-5,realestateview.com.au
"From $1,708,524",1708524.0,"585 The Boulevarde, Lugarno NSW 2300",Lugarno,0,1,2,Studio,https://www.realestateview.com.au/property/lugarno/studio-6,realestateview.com.au
"Guide $1,728,417",1728417.0,"973 Church St, Lugarno NSW 2570",Lugarno,3,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/lugarno/apartment--unit--flat-8,rent.com.au
"$964,074",964074.0,"925 Victoria St, Lugarno NSW 2253",Lugarno,4,4,4,Penthouse,https://www.realestate.com.au/property/lugarno/penthouse-9,realestate.com.au
"$1,932,391 ONO",1932391.0,"421 The Boulevarde, Lugarno NSW 2610",Lugarno,3,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/lugarno/apartment--unit--flat-10,realestate.com.au
"$1,520,913 ONO",1520913.0,"28 High St, Lugarno NSW 2844",Lugarno,2,1,0,Townhouse,https://www.realestateview.com.au/property/lugarno/townhouse-11,realestateview.com.au
"$2,383,836",2383836.0,"735 Albert St, Lugarno NSW 2217",Lugarno,2,3,0,Villa,https://www.domain.com.au/property/lugarno/villa-12,domain.com.au
"Guide $1,089,877",1089877.0,"14 Princes Highway, Lugarno NSW 2188",Lugarno,1,1,2,Townhouse,https://www.domain.com.au/property/lugarno/townhouse-13,domain.com.au
"From $2,319,914",2319914.0,"658 Church St, Lugarno NSW 2539",Lugarno,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/lugarno/apartment--unit--flat-14,realestate.com.au
"Guide $2,419,145",2419145.0,"226 Market St, Lugarno NSW 2918",Lugarno,6,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lugarno/apartment--unit--flat-15,realestateview.com.au
"$659,418",659418.0,"933 Pacific Highway, Lugarno NSW 2260",Lugarno,3,4,3,Penthouse,https://www.rent.com.au/property/lugarno/penthouse-16,rent.com.au
"$1,337,095",1337095.0,"946 Church St, Lugarno NSW 2863",Lugarno,3,2,0,Townhouse,https://www.rent.com.au/property/lugarno/townhouse-17,rent.com.au
"$2,471,181 - $2,752,346",2471181.0,"942 William St, Lugarno NSW 2431",Lugarno,5,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/lugarno/apartment--unit--flat-18,domain.com.au
"$1,053,759 - $1,204,973",1053759.0,"242 High St, Lugarno NSW 2630",Lugarno,2,1,2,Villa,https://www.realestateview.com.au/property/lugarno/villa-21,realestateview.com.au
"$1,466,219",1466219.0,"64 Victoria St, Lugarno NSW 2253",Lugarno,6,3,0,Penthouse,https://www.realestate.com.au/property/lugarno/penthouse-22,realestate.com.au
"$936,975 ONO",936975.0,"851 Military Rd, Lugarno NSW 2723",Lugarno,1,2,2,Villa,https://www.rent.com.au/property/lugarno/villa-23,rent.com.au
"$804,171 - $1,001,502",804171.0,"213 Edward St, Lugarno NSW 2214",Lugarno,3,4,1,Villa,https://www.domain.com.au/property/lugarno/villa-24,domain.com.au
