price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,272,515 - $1,469,371",1272515.0,"29 Queen St, Lurnea NSW 2439",Lurnea,0,1,3,Studio,https://www.realestateview.com.au/property/lurnea/studio-0,realestateview.com.au
"$595,553",595553.0,"664 William St, Lurnea NSW 2004",Lurnea,3,3,0,Townhouse,https://www.domain.com.au/property/lurnea/townhouse-1,domain.com.au
"$931,148 ONO",931148.0,"592 Edward St, Lurnea NSW 2239",Lurnea,3,2,0,House,https://www.realestateview.com.au/property/lurnea/house-2,realestateview.com.au
"$1,094,215 - $1,193,970",1094215.0,"600 Victoria St, Lurnea NSW 2399",Lurnea,5,2,0,House,https://www.realestateview.com.au/property/lurnea/house-3,realestateview.com.au
"$2,237,043",2237043.0,"324 William St, Lurnea NSW 2243",Lurnea,4,4,1,Townhouse,https://www.domain.com.au/property/lurnea/townhouse-4,domain.com.au
"$2,347,676 ONO",2347676.0,"301 Market St, Lurnea NSW 2668",Lurnea,0,1,1,Studio,https://www.realestate.com.au/property/lurnea/studio-5,realestate.com.au
"From $1,267,692",1267692.0,"655 Ocean Rd, Lurnea NSW 2510",Lurnea,3,1,2,Villa,https://www.realestateview.com.au/property/lurnea/villa-6,realestateview.com.au
"$2,245,522",2245522.0,"539 Railway St, Lurnea NSW 2278",Lurnea,3,2,2,Villa,https://www.realestate.com.au/property/lurnea/villa-7,realestate.com.au
"$1,398,985 - $1,672,563",1398985.0,"642 Main St, Lurnea NSW 2227",Lurnea,2,1,2,Townhouse,https://www.realestate.com.au/property/lurnea/townhouse-8,realestate.com.au
"Guide $1,911,068",1911068.0,"53 Ocean Rd, Lurnea NSW 2809",Lurnea,4,1,0,Townhouse,https://www.rent.com.au/property/lurnea/townhouse-9,rent.com.au
"$974,925 - $1,044,038",974925.0,"877 Military Rd, Lurnea NSW 2231",Lurnea,3,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/lurnea/apartment--unit--flat-10,rent.com.au
"$2,040,661 ONO",2040661.0,"549 Pacific Highway, Lurnea NSW 2577",Lurnea,2,3,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/lurnea/apartment--unit--flat-11,realestateview.com.au
"$2,115,715 ONO",2115715.0,"296 Elizabeth St, Lurnea NSW 2453",Lurnea,1,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/lurnea/apartment--unit--flat-12,rent.com.au
"From $533,243",533243.0,"654 Main St, Lurnea NSW 2832",Lurnea,0,1,1,Studio,https://www.realestate.com.au/property/lurnea/studio-13,realestate.com.au
"From $1,348,577",1348577.0,"14 Park Ave, Lurnea NSW 2433",Lurnea,1,2,3,Villa,https://www.rent.com.au/property/lurnea/villa-14,rent.com.au
"$2,377,902",2377902.0,"43 Edward St, Lurnea NSW 2275",Lurnea,5,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/lurnea/apartment--unit--flat-15,domain.com.au
"Guide $2,181,348",2181348.0,"493 Market St, Lurnea NSW 2196",Lurnea,6,3,2,Penthouse,https://www.realestate.com.au/property/lurnea/penthouse-16,realestate.com.au
"$654,952 ONO",654952.0,"940 Railway St, Lurnea NSW 2143",Lurnea,4,3,0,House,https://www.domain.com.au/property/lurnea/house-17,domain.com.au
"$2,259,287 - $2,421,334",2259287.0,"14 King St, Lurnea NSW 2319",Lurnea,2,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/lurnea/apartment--unit--flat-19,domain.com.au
"$1,712,288 ONO",1712288.0,"307 Church St, Lurnea NSW 2590",Lurnea,0,1,0,Studio,https://www.realestateview.com.au/property/lurnea/studio-20,realestateview.com.au
"Guide $1,645,199",1645199.0,"200 James St, Lurnea NSW 2973",Lurnea,2,3,1,House,https://www.domain.com.au/property/lurnea/house-21,domain.com.au
"From $829,934",829934.0,"592 The Boulevarde, Lurnea NSW 2324",Lurnea,0,1,0,Studio,https://www.domain.com.au/property/lurnea/studio-22,domain.com.au
"$555,493",555493.0,"746 Military Rd, Lurnea NSW 2286",Lurnea,0,1,0,Studio,https://www.realestate.com.au/property/lurnea/studio-23,realestate.com.au
"From $1,284,836",1284836.0,"647 Main St, Lurnea NSW 2957",Lurnea,5,2,3,Penthouse,https://www.rent.com.au/property/lurnea/penthouse-24,rent.com.au
