price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,235,821",1235821.0,"104 Market St, Malabar NSW 2509",Malabar,3,3,1,House,https://www.realestate.com.au/property/malabar/house-0,realestate.com.au
"$2,064,410 ONO",2064410.0,"767 James St, Malabar NSW 2026",Malabar,1,2,0,Townhouse,https://www.realestate.com.au/property/malabar/townhouse-1,realestate.com.au
"$2,325,512 - $2,420,227",2325512.0,"996 George St, Malabar NSW 2780",Malabar,2,2,2,Villa,https://www.rent.com.au/property/malabar/villa-2,rent.com.au
"$647,629 ONO",647629.0,"557 Main St, Malabar NSW 2128",Malabar,3,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/malabar/apartment--unit--flat-3,realestate.com.au
"Guide $1,499,199",1499199.0,"324 Beach Rd, Malabar NSW 2831",Malabar,5,3,1,Penthouse,https://www.realestateview.com.au/property/malabar/penthouse-4,realestateview.com.au
"From $791,175",791175.0,"171 Queen St, Malabar NSW 2567",Malabar,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/malabar/apartment--unit--flat-5,realestateview.com.au
"Guide $1,176,970",1176970.0,"796 Railway St, Malabar NSW 2819",Malabar,3,4,1,Penthouse,https://www.domain.com.au/property/malabar/penthouse-6,domain.com.au
"$527,843 ONO",527843.0,"820 Ocean Rd, Malabar NSW 2679",Malabar,3,4,2,Villa,https://www.domain.com.au/property/malabar/villa-7,domain.com.au
"$2,404,336",2404336.0,"372 James St, Malabar NSW 2352",Malabar,3,2,1,Townhouse,https://www.rent.com.au/property/malabar/townhouse-8,rent.com.au
"Guide $1,917,048",1917048.0,"910 Market St, Malabar NSW 2731",Malabar,4,3,1,Townhouse,https://www.realestateview.com.au/property/malabar/townhouse-9,realestateview.com.au
"$2,426,146 - $2,669,353",2426146.0,"831 Church St, Malabar NSW 2536",Malabar,0,1,0,Studio,https://www.domain.com.au/property/malabar/studio-10,domain.com.au
"From $674,477",674477.0,"428 Queen St, Malabar NSW 2113",Malabar,5,2,1,Penthouse,https://www.domain.com.au/property/malabar/penthouse-11,domain.com.au
"$1,184,504",1184504.0,"947 The Boulevarde, Malabar NSW 2602",Malabar,2,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/malabar/apartment--unit--flat-12,realestate.com.au
"$764,543 ONO",764543.0,"268 Beach Rd, Malabar NSW 2628",Malabar,3,3,0,House,https://www.realestate.com.au/property/malabar/house-13,realestate.com.au
"$940,898",940898.0,"872 Market St, Malabar NSW 2803",Malabar,3,3,0,Townhouse,https://www.rent.com.au/property/malabar/townhouse-14,rent.com.au
"$1,986,865",1986865.0,"646 The Boulevarde, Malabar NSW 2681",Malabar,4,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/malabar/apartment--unit--flat-15,realestateview.com.au
"$1,351,855 - $1,644,720",1351855.0,"732 Victoria St, Malabar NSW 2903",Malabar,3,1,0,Villa,https://www.rent.com.au/property/malabar/villa-16,rent.com.au
"Guide $1,727,897",1727897.0,"258 Military Rd, Malabar NSW 2275",Malabar,3,4,2,Townhouse,https://www.realestate.com.au/property/malabar/townhouse-17,realestate.com.au
"$590,977 ONO",590977.0,"103 Elizabeth St, Malabar NSW 2226",Malabar,2,1,2,Townhouse,https://www.rent.com.au/property/malabar/townhouse-18,rent.com.au
"Guide $2,000,633",2000633.0,"271 Albert St, Malabar NSW 2248",Malabar,0,1,2,Studio,https://www.realestate.com.au/property/malabar/studio-19,realestate.com.au
"$1,085,962 ONO",1085962.0,"421 Queen St, Malabar NSW 2818",Malabar,5,4,0,Villa,https://www.realestateview.com.au/property/malabar/villa-20,realestateview.com.au
"$701,694",701694.0,"239 High St, Malabar NSW 2019",Malabar,0,1,0,Studio,https://www.realestateview.com.au/property/malabar/studio-21,realestateview.com.au
"$636,933",636933.0,"223 Main St, Malabar NSW 2743",Malabar,3,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/malabar/apartment--unit--flat-22,domain.com.au
"From $624,994",624994.0,"347 Military Rd, Malabar NSW 2080",Malabar,0,1,1,Studio,https://www.realestateview.com.au/property/malabar/studio-23,realestateview.com.au
"$1,223,267",1223267.0,"18 Elizabeth St, Malabar NSW 2257",Malabar,2,1,1,House,https://www.domain.com.au/property/malabar/house-24,domain.com.au
