price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,839,431 ONO",1839431.0,"737 William St, Manly NSW 2463",Manly,0,1,1,Studio,https://www.domain.com.au/property/manly/studio-0,domain.com.au
"$2,119,287 - $2,401,518",2119287.0,"679 Pacific Highway, Manly NSW 2603",Manly,4,1,0,House,https://www.rent.com.au/property/manly/house-1,rent.com.au
"From $1,883,759",1883759.0,"999 Market St, Manly NSW 2583",Manly,0,1,1,Studio,https://www.domain.com.au/property/manly/studio-2,domain.com.au
"$831,146",831146.0,"11 Albert St, Manly NSW 2415",Manly,6,2,1,Penthouse,https://www.realestateview.com.au/property/manly/penthouse-3,realestateview.com.au
"$3,333,183",3333183.0,"355 King St, Manly NSW 2529",Manly,5,3,0,Penthouse,https://www.realestate.com.au/property/manly/penthouse-4,realestate.com.au
"From $3,089,251",3089251.0,"759 Military Rd, Manly NSW 2573",Manly,0,1,2,Studio,https://www.realestateview.com.au/property/manly/studio-5,realestateview.com.au
"$2,118,610 ONO",2118610.0,"798 Edward St, Manly NSW 2304",Manly,0,1,2,Studio,https://www.realestate.com.au/property/manly/studio-6,realestate.com.au
"$1,529,815",1529815.0,"79 Military Rd, Manly NSW 2374",Manly,2,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/manly/apartment--unit--flat-7,domain.com.au
"$906,121 ONO",906121.0,"30 Park Ave, Manly NSW 2963",Manly,6,4,3,Penthouse,https://www.domain.com.au/property/manly/penthouse-8,domain.com.au
"From $3,202,453",3202453.0,"52 King St, Manly NSW 2935",Manly,2,1,2,Villa,https://www.realestate.com.au/property/manly/villa-9,realestate.com.au
"$1,236,575 - $1,508,702",1236575.0,"377 Park Ave, Manly NSW 2951",Manly,2,3,1,House,https://www.realestateview.com.au/property/manly/house-10,realestateview.com.au
"$2,034,233 - $2,113,491",2034233.0,"755 The Boulevarde, Manly NSW 2713",Manly,6,3,3,Penthouse,https://www.realestate.com.au/property/manly/penthouse-11,realestate.com.au
"$3,302,101 ONO",3302101.0,"452 Military Rd, Manly NSW 2645",Manly,3,3,1,Villa,https://www.domain.com.au/property/manly/villa-12,domain.com.au
"$3,777,377",3777377.0,"747 James St, Manly NSW 2050",Manly,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/manly/apartment--unit--flat-13,realestate.com.au
"$2,207,530 ONO",2207530.0,"555 Queen St, Manly NSW 2967",Manly,6,4,1,Penthouse,https://www.rent.com.au/property/manly/penthouse-14,rent.com.au
"$3,602,338",3602338.0,"322 Victoria St, Manly NSW 2356",Manly,2,2,0,Villa,https://www.rent.com.au/property/manly/villa-15,rent.com.au
"$3,375,095 ONO",3375095.0,"499 King St, Manly NSW 2830",Manly,5,4,1,Villa,https://www.realestate.com.au/property/manly/villa-16,realestate.com.au
"Guide $2,120,756",2120756.0,"906 King St, Manly NSW 2308",Manly,2,3,1,House,https://www.rent.com.au/property/manly/house-18,rent.com.au
"$3,398,970 - $3,698,764",3398970.0,"386 Edward St, Manly NSW 2145",Manly,0,1,1,Studio,https://www.domain.com.au/property/manly/studio-19,domain.com.au
"$1,640,708 - $1,885,072",1640708.0,"286 Edward St, Manly NSW 2420",Manly,2,1,1,House,https://www.realestate.com.au/property/manly/house-20,realestate.com.au
"Guide $2,385,919",2385919.0,"658 Princes Highway, Manly NSW 2513",Manly,6,3,3,Penthouse,https://www.domain.com.au/property/manly/penthouse-21,domain.com.au
"Guide $2,607,849",2607849.0,"830 Victoria St, Manly NSW 2305",Manly,3,3,0,Villa,https://www.realestateview.com.au/property/manly/villa-22,realestateview.com.au
"$3,374,278 - $3,523,917",3374278.0,"282 Church St, Manly NSW 2679",Manly,2,1,0,Villa,https://www.realestateview.com.au/property/manly/villa-23,realestateview.com.au
"From $3,267,889",3267889.0,"295 The Boulevarde, Manly NSW 2706",Manly,6,2,2,Penthouse,https://www.realestateview.com.au/property/manly/penthouse-24,realestateview.com.au
