price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,382,080 - $1,594,912",1382080.0,"165 High St, Manly Vale NSW 2354",Manly Vale,6,3,2,Penthouse,https://www.domain.com.au/property/manly-vale/penthouse-0,domain.com.au
"$1,631,521 ONO",1631521.0,"862 Market St, Manly Vale NSW 2920",Manly Vale,0,1,0,Studio,https://www.realestate.com.au/property/manly-vale/studio-1,realestate.com.au
"From $1,489,923",1489923.0,"504 Market St, Manly Vale NSW 2627",Manly Vale,0,1,2,Studio,https://www.realestateview.com.au/property/manly-vale/studio-2,realestateview.com.au
"$1,411,679 - $1,506,762",1411679.0,"864 Railway St, Manly Vale NSW 2660",Manly Vale,0,1,2,Studio,https://www.rent.com.au/property/manly-vale/studio-3,rent.com.au
"$1,948,645 ONO",1948645.0,"802 George St, Manly Vale NSW 2869",Manly Vale,2,1,0,House,https://www.rent.com.au/property/manly-vale/house-4,rent.com.au
"$1,433,798",1433798.0,"593 The Boulevarde, Manly Vale NSW 2192",Manly Vale,4,2,2,Townhouse,https://www.domain.com.au/property/manly-vale/townhouse-6,domain.com.au
"$1,133,369 - $1,266,967",1133369.0,"19 Market St, Manly Vale NSW 2803",Manly Vale,5,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/manly-vale/apartment--unit--flat-7,rent.com.au
"Guide $681,794",681794.0,"102 Edward St, Manly Vale NSW 2238",Manly Vale,4,3,1,Penthouse,https://www.realestate.com.au/property/manly-vale/penthouse-8,realestate.com.au
"Guide $2,110,561",2110561.0,"364 The Boulevarde, Manly Vale NSW 2740",Manly Vale,0,1,1,Studio,https://www.domain.com.au/property/manly-vale/studio-9,domain.com.au
"$768,324 ONO",768324.0,"560 Park Ave, Manly Vale NSW 2459",Manly Vale,0,1,2,Studio,https://www.rent.com.au/property/manly-vale/studio-10,rent.com.au
"$1,134,318 - $1,264,535",1134318.0,"90 Ocean Rd, Manly Vale NSW 2341",Manly Vale,6,4,1,Penthouse,https://www.rent.com.au/property/manly-vale/penthouse-11,rent.com.au
"$882,193 - $1,146,882",882193.0,"871 Railway St, Manly Vale NSW 2080",Manly Vale,2,2,0,House,https://www.rent.com.au/property/manly-vale/house-12,rent.com.au
"Guide $2,211,602",2211602.0,"18 Market St, Manly Vale NSW 2981",Manly Vale,4,2,4,House,https://www.domain.com.au/property/manly-vale/house-13,domain.com.au
"$1,644,423 ONO",1644423.0,"396 Victoria St, Manly Vale NSW 2761",Manly Vale,0,1,0,Studio,https://www.realestate.com.au/property/manly-vale/studio-14,realestate.com.au
"From $2,247,898",2247898.0,"538 James St, Manly Vale NSW 2433",Manly Vale,3,2,1,Penthouse,https://www.realestate.com.au/property/manly-vale/penthouse-15,realestate.com.au
"$1,567,827 ONO",1567827.0,"293 William St, Manly Vale NSW 2109",Manly Vale,0,1,1,Studio,https://www.realestate.com.au/property/manly-vale/studio-16,realestate.com.au
"Guide $767,780",767780.0,"644 Railway St, Manly Vale NSW 2263",Manly Vale,3,4,0,Villa,https://www.realestate.com.au/property/manly-vale/villa-17,realestate.com.au
"$1,840,803",1840803.0,"354 Beach Rd, Manly Vale NSW 2938",Manly Vale,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/manly-vale/apartment--unit--flat-18,domain.com.au
"From $2,376,421",2376421.0,"925 Victoria St, Manly Vale NSW 2994",Manly Vale,3,1,2,Townhouse,https://www.realestate.com.au/property/manly-vale/townhouse-19,realestate.com.au
"Guide $1,149,369",1149369.0,"11 Princes Highway, Manly Vale NSW 2355",Manly Vale,4,3,0,Penthouse,https://www.realestate.com.au/property/manly-vale/penthouse-20,realestate.com.au
"$1,498,327 ONO",1498327.0,"213 Queen St, Manly Vale NSW 2528",Manly Vale,2,2,2,Villa,https://www.realestateview.com.au/property/manly-vale/villa-21,realestateview.com.au
"$2,211,593",2211593.0,"420 William St, Manly Vale NSW 2327",Manly Vale,3,4,1,Penthouse,https://www.realestate.com.au/property/manly-vale/penthouse-23,realestate.com.au
