price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,517,994",1517994.0,"732 Park Ave, Marayong NSW 2826",Marayong,5,1,0,Townhouse,https://www.realestate.com.au/property/marayong/townhouse-1,realestate.com.au
"$774,265",774265.0,"728 Church St, Marayong NSW 2951",Marayong,5,4,1,Townhouse,https://www.domain.com.au/property/marayong/townhouse-2,domain.com.au
"From $1,594,255",1594255.0,"727 Railway St, Marayong NSW 2575",Marayong,0,1,3,Studio,https://www.realestateview.com.au/property/marayong/studio-3,realestateview.com.au
"From $2,041,876",2041876.0,"171 William St, Marayong NSW 2415",Marayong,3,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/marayong/apartment--unit--flat-5,realestate.com.au
"$1,678,974 - $1,805,009",1678974.0,"582 Beach Rd, Marayong NSW 2239",Marayong,3,1,1,Townhouse,https://www.rent.com.au/property/marayong/townhouse-6,rent.com.au
"$887,011",887011.0,"410 Military Rd, Marayong NSW 2217",Marayong,6,4,0,House,https://www.realestateview.com.au/property/marayong/house-7,realestateview.com.au
"Guide $1,942,243",1942243.0,"73 Park Ave, Marayong NSW 2544",Marayong,0,1,0,Studio,https://www.rent.com.au/property/marayong/studio-8,rent.com.au
"Guide $2,489,183",2489183.0,"568 The Boulevarde, Marayong NSW 2770",Marayong,0,1,2,Studio,https://www.realestateview.com.au/property/marayong/studio-10,realestateview.com.au
"$1,492,461 ONO",1492461.0,"117 Railway St, Marayong NSW 2392",Marayong,6,4,0,Penthouse,https://www.domain.com.au/property/marayong/penthouse-11,domain.com.au
"$1,396,794 - $1,542,625",1396794.0,"448 Beach Rd, Marayong NSW 2393",Marayong,4,4,2,Townhouse,https://www.domain.com.au/property/marayong/townhouse-12,domain.com.au
"$1,405,320 - $1,486,758",1405320.0,"26 Edward St, Marayong NSW 2479",Marayong,5,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/marayong/apartment--unit--flat-13,realestate.com.au
"$1,330,232 - $1,410,943",1330232.0,"826 Beach Rd, Marayong NSW 2940",Marayong,2,2,2,Villa,https://www.domain.com.au/property/marayong/villa-14,domain.com.au
"$598,120 - $774,374",598120.0,"884 Edward St, Marayong NSW 2469",Marayong,4,4,3,Villa,https://www.realestateview.com.au/property/marayong/villa-15,realestateview.com.au
"$1,971,802 - $2,059,588",1971802.0,"431 King St, Marayong NSW 2917",Marayong,4,3,1,Penthouse,https://www.rent.com.au/property/marayong/penthouse-16,rent.com.au
"$1,058,108",1058108.0,"545 Market St, Marayong NSW 2838",Marayong,3,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/marayong/apartment--unit--flat-17,realestate.com.au
"$1,945,542 - $2,128,038",1945542.0,"637 Princes Highway, Marayong NSW 2499",Marayong,2,3,2,Villa,https://www.realestate.com.au/property/marayong/villa-18,realestate.com.au
"Guide $1,424,010",1424010.0,"293 King St, Marayong NSW 2524",Marayong,4,2,2,House,https://www.realestateview.com.au/property/marayong/house-19,realestateview.com.au
"Guide $1,288,894",1288894.0,"338 The Boulevarde, Marayong NSW 2624",Marayong,2,2,1,Apartment / Unit / Flat,https://www.domain.com.au/property/marayong/apartment--unit--flat-20,domain.com.au
"$1,713,992 - $1,781,768",1713992.0,"989 King St, Marayong NSW 2715",Marayong,5,1,1,House,https://www.domain.com.au/property/marayong/house-21,domain.com.au
"From $989,716",989716.0,"447 George St, Marayong NSW 2333",Marayong,0,1,0,Studio,https://www.rent.com.au/property/marayong/studio-22,rent.com.au
"$1,480,515",1480515.0,"745 Church St, Marayong NSW 2020",Marayong,1,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/marayong/apartment--unit--flat-24,rent.com.au
