price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,865,589",1865589.0,"174 Railway St, Maroubra NSW 2293",Maroubra,3,4,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/maroubra/apartment--unit--flat-0,realestate.com.au
"From $2,180,840",2180840.0,"925 Main St, Maroubra NSW 2918",Maroubra,3,4,0,Penthouse,https://www.realestate.com.au/property/maroubra/penthouse-1,realestate.com.au
"From $1,747,267",1747267.0,"548 Queen St, Maroubra NSW 2371",Maroubra,4,3,0,Villa,https://www.rent.com.au/property/maroubra/villa-2,rent.com.au
"$526,220",526220.0,"628 Elizabeth St, Maroubra NSW 2569",Maroubra,0,1,1,Studio,https://www.realestate.com.au/property/maroubra/studio-4,realestate.com.au
"$914,406",914406.0,"713 High St, Maroubra NSW 2618",Maroubra,4,3,2,Villa,https://www.realestate.com.au/property/maroubra/villa-6,realestate.com.au
"From $1,723,116",1723116.0,"861 Pacific Highway, Maroubra NSW 2246",Maroubra,3,2,2,House,https://www.realestate.com.au/property/maroubra/house-7,realestate.com.au
"$872,710 - $1,171,056",872710.0,"887 Military Rd, Maroubra NSW 2982",Maroubra,3,4,0,Villa,https://www.realestateview.com.au/property/maroubra/villa-8,realestateview.com.au
"$1,531,618 ONO",1531618.0,"189 William St, Maroubra NSW 2798",Maroubra,0,1,3,Studio,https://www.rent.com.au/property/maroubra/studio-9,rent.com.au
"Guide $1,102,847",1102847.0,"62 Park Ave, Maroubra NSW 2219",Maroubra,5,3,1,Villa,https://www.realestateview.com.au/property/maroubra/villa-10,realestateview.com.au
"$2,021,043",2021043.0,"35 Market St, Maroubra NSW 2042",Maroubra,4,2,0,Penthouse,https://www.realestateview.com.au/property/maroubra/penthouse-11,realestateview.com.au
"$2,398,747 - $2,526,127",2398747.0,"577 Pacific Highway, Maroubra NSW 2585",Maroubra,2,1,4,Apartment / Unit / Flat,https://www.realestateview.com.au/property/maroubra/apartment--unit--flat-12,realestateview.com.au
"$2,390,023 - $2,474,197",2390023.0,"385 Albert St, Maroubra NSW 2160",Maroubra,3,1,2,House,https://www.domain.com.au/property/maroubra/house-13,domain.com.au
"$1,651,646 - $1,761,220",1651646.0,"166 Edward St, Maroubra NSW 2326",Maroubra,6,3,1,Penthouse,https://www.domain.com.au/property/maroubra/penthouse-14,domain.com.au
"From $1,274,399",1274399.0,"612 Main St, Maroubra NSW 2888",Maroubra,3,1,2,House,https://www.realestate.com.au/property/maroubra/house-15,realestate.com.au
"From $570,582",570582.0,"912 George St, Maroubra NSW 2060",Maroubra,4,2,0,Townhouse,https://www.domain.com.au/property/maroubra/townhouse-16,domain.com.au
"$1,815,389",1815389.0,"445 Church St, Maroubra NSW 2127",Maroubra,2,2,0,Townhouse,https://www.rent.com.au/property/maroubra/townhouse-17,rent.com.au
"From $1,029,590",1029590.0,"362 Queen St, Maroubra NSW 2663",Maroubra,4,4,0,Townhouse,https://www.realestate.com.au/property/maroubra/townhouse-18,realestate.com.au
"From $2,451,294",2451294.0,"762 Pacific Highway, Maroubra NSW 2184",Maroubra,3,3,1,Penthouse,https://www.rent.com.au/property/maroubra/penthouse-19,rent.com.au
"From $1,677,856",1677856.0,"789 James St, Maroubra NSW 2013",Maroubra,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/maroubra/apartment--unit--flat-20,realestate.com.au
"From $1,767,870",1767870.0,"716 Market St, Maroubra NSW 2164",Maroubra,0,1,1,Studio,https://www.realestateview.com.au/property/maroubra/studio-22,realestateview.com.au
"$2,212,854 ONO",2212854.0,"250 Elizabeth St, Maroubra NSW 2044",Maroubra,2,2,0,Villa,https://www.domain.com.au/property/maroubra/villa-23,domain.com.au
"$1,219,164 ONO",1219164.0,"337 High St, Maroubra NSW 2252",Maroubra,1,1,2,House,https://www.realestateview.com.au/property/maroubra/house-24,realestateview.com.au
