price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $2,028,905",2028905.0,"238 Edward St, Mascot NSW 2741",Mascot,2,2,3,Townhouse,https://www.rent.com.au/property/mascot/townhouse-0,rent.com.au
"$1,078,774",1078774.0,"602 James St, Mascot NSW 2203",Mascot,1,1,2,House,https://www.realestateview.com.au/property/mascot/house-1,realestateview.com.au
"Guide $1,396,873",1396873.0,"625 Market St, Mascot NSW 2890",Mascot,1,2,1,House,https://www.realestate.com.au/property/mascot/house-2,realestate.com.au
"$1,824,889 ONO",1824889.0,"246 William St, Mascot NSW 2833",Mascot,1,2,1,Villa,https://www.domain.com.au/property/mascot/villa-4,domain.com.au
"$1,171,449 ONO",1171449.0,"358 Elizabeth St, Mascot NSW 2383",Mascot,2,1,3,House,https://www.domain.com.au/property/mascot/house-5,domain.com.au
"$2,132,835 ONO",2132835.0,"956 Ocean Rd, Mascot NSW 2249",Mascot,0,1,3,Studio,https://www.domain.com.au/property/mascot/studio-6,domain.com.au
"$2,495,256 ONO",2495256.0,"527 Albert St, Mascot NSW 2987",Mascot,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/mascot/apartment--unit--flat-7,realestate.com.au
"Guide $1,811,922",1811922.0,"614 Elizabeth St, Mascot NSW 2655",Mascot,4,3,1,Penthouse,https://www.rent.com.au/property/mascot/penthouse-8,rent.com.au
"From $1,952,580",1952580.0,"488 King St, Mascot NSW 2424",Mascot,5,3,2,Penthouse,https://www.domain.com.au/property/mascot/penthouse-9,domain.com.au
"$2,490,839 - $2,738,714",2490839.0,"769 Queen St, Mascot NSW 2280",Mascot,3,2,1,Townhouse,https://www.domain.com.au/property/mascot/townhouse-10,domain.com.au
"$2,341,729 ONO",2341729.0,"899 The Boulevarde, Mascot NSW 2272",Mascot,4,3,1,House,https://www.rent.com.au/property/mascot/house-11,rent.com.au
"From $760,520",760520.0,"855 Market St, Mascot NSW 2173",Mascot,4,1,2,Townhouse,https://www.realestate.com.au/property/mascot/townhouse-12,realestate.com.au
"Guide $825,817",825817.0,"687 Park Ave, Mascot NSW 2956",Mascot,2,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/mascot/apartment--unit--flat-14,realestate.com.au
"Guide $947,948",947948.0,"127 Railway St, Mascot NSW 2451",Mascot,2,2,2,Villa,https://www.rent.com.au/property/mascot/villa-15,rent.com.au
"$994,667 ONO",994667.0,"394 Railway St, Mascot NSW 2021",Mascot,0,1,1,Studio,https://www.realestate.com.au/property/mascot/studio-16,realestate.com.au
"From $1,648,753",1648753.0,"117 High St, Mascot NSW 2538",Mascot,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/mascot/apartment--unit--flat-17,realestate.com.au
"$1,570,407 ONO",1570407.0,"750 Main St, Mascot NSW 2034",Mascot,3,4,2,House,https://www.realestateview.com.au/property/mascot/house-18,realestateview.com.au
"$1,892,720",1892720.0,"65 Park Ave, Mascot NSW 2813",Mascot,5,2,2,Penthouse,https://www.domain.com.au/property/mascot/penthouse-20,domain.com.au
"$2,218,757 ONO",2218757.0,"888 Market St, Mascot NSW 2679",Mascot,4,2,0,Penthouse,https://www.domain.com.au/property/mascot/penthouse-21,domain.com.au
"From $1,586,415",1586415.0,"245 James St, Mascot NSW 2486",Mascot,0,1,3,Studio,https://www.rent.com.au/property/mascot/studio-24,rent.com.au
