price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,806,600",1806600.0,"176 Elizabeth St, Meadowbank NSW 2821",Meadowbank,4,3,4,House,https://www.realestateview.com.au/property/meadowbank/house-0,realestateview.com.au
"Guide $1,946,524",1946524.0,"338 Market St, Meadowbank NSW 2814",Meadowbank,0,1,1,Studio,https://www.realestateview.com.au/property/meadowbank/studio-1,realestateview.com.au
"$2,335,210 - $2,542,644",2335210.0,"880 Princes Highway, Meadowbank NSW 2577",Meadowbank,4,3,2,Townhouse,https://www.realestate.com.au/property/meadowbank/townhouse-2,realestate.com.au
"$2,103,275 ONO",2103275.0,"813 Elizabeth St, Meadowbank NSW 2218",Meadowbank,2,2,1,Townhouse,https://www.rent.com.au/property/meadowbank/townhouse-4,rent.com.au
"$1,445,971 ONO",1445971.0,"386 Market St, Meadowbank NSW 2458",Meadowbank,3,3,3,Villa,https://www.domain.com.au/property/meadowbank/villa-5,domain.com.au
"$1,974,186",1974186.0,"285 Albert St, Meadowbank NSW 2865",Meadowbank,0,1,0,Studio,https://www.domain.com.au/property/meadowbank/studio-6,domain.com.au
"$1,201,349",1201349.0,"53 Victoria St, Meadowbank NSW 2832",Meadowbank,3,2,3,House,https://www.realestate.com.au/property/meadowbank/house-7,realestate.com.au
"Guide $692,835",692835.0,"149 Edward St, Meadowbank NSW 2157",Meadowbank,4,4,2,Townhouse,https://www.rent.com.au/property/meadowbank/townhouse-8,rent.com.au
"$957,811 - $1,135,303",957811.0,"647 Beach Rd, Meadowbank NSW 2978",Meadowbank,5,4,3,Penthouse,https://www.realestateview.com.au/property/meadowbank/penthouse-9,realestateview.com.au
"$787,014",787014.0,"246 Albert St, Meadowbank NSW 2448",Meadowbank,0,1,2,Studio,https://www.realestateview.com.au/property/meadowbank/studio-10,realestateview.com.au
"$2,189,639 ONO",2189639.0,"641 High St, Meadowbank NSW 2133",Meadowbank,3,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/meadowbank/apartment--unit--flat-11,realestate.com.au
"$1,492,985 - $1,684,987",1492985.0,"514 Ocean Rd, Meadowbank NSW 2710",Meadowbank,3,3,0,Penthouse,https://www.realestateview.com.au/property/meadowbank/penthouse-12,realestateview.com.au
"From $1,854,533",1854533.0,"580 The Boulevarde, Meadowbank NSW 2571",Meadowbank,0,1,1,Studio,https://www.rent.com.au/property/meadowbank/studio-13,rent.com.au
"$1,432,415",1432415.0,"162 Elizabeth St, Meadowbank NSW 2483",Meadowbank,1,2,3,House,https://www.realestate.com.au/property/meadowbank/house-14,realestate.com.au
"$1,667,740 ONO",1667740.0,"881 The Boulevarde, Meadowbank NSW 2146",Meadowbank,1,2,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/meadowbank/apartment--unit--flat-15,realestate.com.au
"$1,902,063 ONO",1902063.0,"425 Ocean Rd, Meadowbank NSW 2510",Meadowbank,5,1,1,Villa,https://www.realestateview.com.au/property/meadowbank/villa-16,realestateview.com.au
"From $1,369,763",1369763.0,"8 Military Rd, Meadowbank NSW 2288",Meadowbank,2,2,2,Villa,https://www.domain.com.au/property/meadowbank/villa-17,domain.com.au
"$2,315,713",2315713.0,"647 Queen St, Meadowbank NSW 2089",Meadowbank,3,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/meadowbank/apartment--unit--flat-18,domain.com.au
"$789,359 - $913,098",789359.0,"768 Queen St, Meadowbank NSW 2643",Meadowbank,3,3,1,Apartment / Unit / Flat,https://www.rent.com.au/property/meadowbank/apartment--unit--flat-19,rent.com.au
"$1,033,925 ONO",1033925.0,"432 Market St, Meadowbank NSW 2490",Meadowbank,0,1,1,Studio,https://www.domain.com.au/property/meadowbank/studio-21,domain.com.au
"$1,192,792",1192792.0,"96 Railway St, Meadowbank NSW 2099",Meadowbank,0,1,1,Studio,https://www.realestate.com.au/property/meadowbank/studio-22,realestate.com.au
"Guide $2,322,944",2322944.0,"754 Market St, Meadowbank NSW 2360",Meadowbank,0,1,1,Studio,https://www.domain.com.au/property/meadowbank/studio-23,domain.com.au
"$2,293,838",2293838.0,"534 James St, Meadowbank NSW 2114",Meadowbank,3,3,1,Penthouse,https://www.rent.com.au/property/meadowbank/penthouse-24,rent.com.au
