price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,576,661",1576661.0,"869 Queen St, Middle Cove NSW 2550",Middle Cove,4,4,0,Penthouse,https://www.rent.com.au/property/middle-cove/penthouse-0,rent.com.au
"$1,975,325",1975325.0,"661 Military Rd, Middle Cove NSW 2815",Middle Cove,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/middle-cove/apartment--unit--flat-2,realestateview.com.au
"Guide $1,828,277",1828277.0,"56 Pacific Highway, Middle Cove NSW 2126",Middle Cove,2,1,0,House,https://www.rent.com.au/property/middle-cove/house-4,rent.com.au
"From $1,010,234",1010234.0,"910 Edward St, Middle Cove NSW 2574",Middle Cove,4,1,0,Townhouse,https://www.realestate.com.au/property/middle-cove/townhouse-5,realestate.com.au
"Guide $2,035,421",2035421.0,"397 Church St, Middle Cove NSW 2551",Middle Cove,3,4,4,Villa,https://www.realestateview.com.au/property/middle-cove/villa-6,realestateview.com.au
"$2,047,626",2047626.0,"853 Main St, Middle Cove NSW 2977",Middle Cove,2,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/middle-cove/apartment--unit--flat-7,rent.com.au
"$1,600,009",1600009.0,"864 Elizabeth St, Middle Cove NSW 2140",Middle Cove,2,1,1,Villa,https://www.rent.com.au/property/middle-cove/villa-8,rent.com.au
"$2,395,230 ONO",2395230.0,"777 Edward St, Middle Cove NSW 2257",Middle Cove,2,3,0,House,https://www.rent.com.au/property/middle-cove/house-10,rent.com.au
"Guide $980,847",980847.0,"479 Princes Highway, Middle Cove NSW 2755",Middle Cove,2,2,1,House,https://www.realestate.com.au/property/middle-cove/house-11,realestate.com.au
"From $1,563,136",1563136.0,"926 Pacific Highway, Middle Cove NSW 2019",Middle Cove,2,3,3,House,https://www.rent.com.au/property/middle-cove/house-12,rent.com.au
"$1,449,731",1449731.0,"941 James St, Middle Cove NSW 2263",Middle Cove,4,2,3,Villa,https://www.realestateview.com.au/property/middle-cove/villa-13,realestateview.com.au
"Guide $654,042",654042.0,"499 Queen St, Middle Cove NSW 2531",Middle Cove,3,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/middle-cove/apartment--unit--flat-15,realestate.com.au
"$1,517,244 ONO",1517244.0,"380 High St, Middle Cove NSW 2987",Middle Cove,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/middle-cove/apartment--unit--flat-16,realestateview.com.au
"From $1,528,593",1528593.0,"786 Princes Highway, Middle Cove NSW 2374",Middle Cove,0,1,1,Studio,https://www.domain.com.au/property/middle-cove/studio-17,domain.com.au
"From $1,610,562",1610562.0,"723 King St, Middle Cove NSW 2236",Middle Cove,5,2,1,Penthouse,https://www.realestateview.com.au/property/middle-cove/penthouse-18,realestateview.com.au
"Guide $2,253,000",2253000.0,"154 Princes Highway, Middle Cove NSW 2772",Middle Cove,6,2,0,Penthouse,https://www.rent.com.au/property/middle-cove/penthouse-19,rent.com.au
"$2,049,645 - $2,127,625",2049645.0,"115 Church St, Middle Cove NSW 2056",Middle Cove,3,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/middle-cove/apartment--unit--flat-20,domain.com.au
"From $2,480,954",2480954.0,"38 High St, Middle Cove NSW 2945",Middle Cove,1,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/middle-cove/apartment--unit--flat-21,realestateview.com.au
"$814,942 - $1,035,098",814942.0,"981 George St, Middle Cove NSW 2352",Middle Cove,1,1,1,Villa,https://www.realestateview.com.au/property/middle-cove/villa-22,realestateview.com.au
"$2,132,052 - $2,232,992",2132052.0,"311 Church St, Middle Cove NSW 2559",Middle Cove,3,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/middle-cove/apartment--unit--flat-23,rent.com.au
"$1,458,293",1458293.0,"226 George St, Middle Cove NSW 2711",Middle Cove,3,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/middle-cove/apartment--unit--flat-24,realestate.com.au
