price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,251,452 - $1,411,031",1251452.0,"697 Princes Highway, Millers Point NSW 2142",Millers Point,1,1,3,Villa,https://www.realestateview.com.au/property/millers-point/villa-0,realestateview.com.au
"From $558,188",558188.0,"553 Albert St, Millers Point NSW 2187",Millers Point,0,1,2,Studio,https://www.realestate.com.au/property/millers-point/studio-1,realestate.com.au
"From $2,120,872",2120872.0,"979 Market St, Millers Point NSW 2916",Millers Point,4,2,0,Penthouse,https://www.domain.com.au/property/millers-point/penthouse-2,domain.com.au
"$2,151,075",2151075.0,"284 King St, Millers Point NSW 2355",Millers Point,5,2,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/millers-point/apartment--unit--flat-3,realestateview.com.au
"$2,230,254",2230254.0,"761 King St, Millers Point NSW 2177",Millers Point,5,4,0,Penthouse,https://www.realestateview.com.au/property/millers-point/penthouse-4,realestateview.com.au
"Guide $1,603,656",1603656.0,"951 Railway St, Millers Point NSW 2337",Millers Point,4,2,1,Townhouse,https://www.realestate.com.au/property/millers-point/townhouse-5,realestate.com.au
"$1,281,279 - $1,478,675",1281279.0,"216 James St, Millers Point NSW 2002",Millers Point,0,1,2,Studio,https://www.domain.com.au/property/millers-point/studio-6,domain.com.au
"$1,929,360 - $2,217,730",1929360.0,"419 Albert St, Millers Point NSW 2637",Millers Point,2,1,0,House,https://www.rent.com.au/property/millers-point/house-7,rent.com.au
"From $2,286,153",2286153.0,"139 The Boulevarde, Millers Point NSW 2947",Millers Point,5,3,2,House,https://www.rent.com.au/property/millers-point/house-8,rent.com.au
"$1,966,347 - $2,026,967",1966347.0,"108 High St, Millers Point NSW 2137",Millers Point,4,4,3,Townhouse,https://www.realestate.com.au/property/millers-point/townhouse-9,realestate.com.au
"$861,630 ONO",861630.0,"796 Ocean Rd, Millers Point NSW 2681",Millers Point,1,2,0,Villa,https://www.realestate.com.au/property/millers-point/villa-10,realestate.com.au
"From $914,345",914345.0,"821 Military Rd, Millers Point NSW 2571",Millers Point,4,3,0,Villa,https://www.rent.com.au/property/millers-point/villa-11,rent.com.au
"Guide $978,831",978831.0,"563 Military Rd, Millers Point NSW 2949",Millers Point,4,3,0,Townhouse,https://www.rent.com.au/property/millers-point/townhouse-13,rent.com.au
"$2,012,836 ONO",2012836.0,"872 Princes Highway, Millers Point NSW 2628",Millers Point,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/millers-point/apartment--unit--flat-15,domain.com.au
"$1,028,011",1028011.0,"562 The Boulevarde, Millers Point NSW 2786",Millers Point,3,1,2,House,https://www.realestateview.com.au/property/millers-point/house-16,realestateview.com.au
"$1,156,106 ONO",1156106.0,"811 Market St, Millers Point NSW 2170",Millers Point,2,1,2,House,https://www.domain.com.au/property/millers-point/house-17,domain.com.au
"$553,736 - $615,828",553736.0,"932 Military Rd, Millers Point NSW 2266",Millers Point,2,3,3,House,https://www.domain.com.au/property/millers-point/house-18,domain.com.au
"$1,618,745 - $1,781,979",1618745.0,"31 Pacific Highway, Millers Point NSW 2120",Millers Point,1,1,1,Villa,https://www.realestateview.com.au/property/millers-point/villa-19,realestateview.com.au
"From $2,039,919",2039919.0,"444 Elizabeth St, Millers Point NSW 2700",Millers Point,4,4,3,House,https://www.rent.com.au/property/millers-point/house-20,rent.com.au
"$1,298,731 - $1,448,263",1298731.0,"522 Church St, Millers Point NSW 2888",Millers Point,0,1,2,Studio,https://www.realestateview.com.au/property/millers-point/studio-21,realestateview.com.au
"$1,431,842 - $1,495,302",1431842.0,"854 Main St, Millers Point NSW 2041",Millers Point,3,2,0,Townhouse,https://www.rent.com.au/property/millers-point/townhouse-22,rent.com.au
"$554,986 ONO",554986.0,"100 William St, Millers Point NSW 2760",Millers Point,6,4,2,Penthouse,https://www.rent.com.au/property/millers-point/penthouse-23,rent.com.au
"Guide $1,508,147",1508147.0,"407 Main St, Millers Point NSW 2441",Millers Point,2,2,2,House,https://www.domain.com.au/property/millers-point/house-24,domain.com.au
