price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,094,474",1094474.0,"116 High St, Milperra NSW 2596",Milperra,4,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/milperra/apartment--unit--flat-0,realestate.com.au
"$1,498,665 - $1,616,202",1498665.0,"299 High St, Milperra NSW 2853",Milperra,3,2,1,Penthouse,https://www.rent.com.au/property/milperra/penthouse-1,rent.com.au
"$1,027,548 - $1,280,621",1027548.0,"364 Railway St, Milperra NSW 2049",Milperra,0,1,0,Studio,https://www.realestate.com.au/property/milperra/studio-2,realestate.com.au
"$1,953,982",1953982.0,"954 Edward St, Milperra NSW 2744",Milperra,1,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/milperra/apartment--unit--flat-3,realestateview.com.au
"$1,116,438 - $1,274,735",1116438.0,"982 Edward St, Milperra NSW 2870",Milperra,5,2,0,House,https://www.domain.com.au/property/milperra/house-4,domain.com.au
"From $914,304",914304.0,"283 Beach Rd, Milperra NSW 2676",Milperra,1,2,1,House,https://www.rent.com.au/property/milperra/house-5,rent.com.au
"$2,365,922",2365922.0,"490 Church St, Milperra NSW 2813",Milperra,0,1,1,Studio,https://www.realestateview.com.au/property/milperra/studio-7,realestateview.com.au
"$1,284,096 ONO",1284096.0,"647 Park Ave, Milperra NSW 2065",Milperra,4,2,2,Penthouse,https://www.realestate.com.au/property/milperra/penthouse-9,realestate.com.au
"$1,869,197 ONO",1869197.0,"143 Railway St, Milperra NSW 2415",Milperra,3,3,1,Townhouse,https://www.rent.com.au/property/milperra/townhouse-10,rent.com.au
"$1,315,263",1315263.0,"467 Albert St, Milperra NSW 2720",Milperra,4,3,0,Townhouse,https://www.realestateview.com.au/property/milperra/townhouse-11,realestateview.com.au
"$1,371,058",1371058.0,"531 Church St, Milperra NSW 2409",Milperra,2,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/milperra/apartment--unit--flat-13,realestate.com.au
"$891,486 - $1,053,635",891486.0,"88 Albert St, Milperra NSW 2241",Milperra,0,1,2,Studio,https://www.rent.com.au/property/milperra/studio-14,rent.com.au
"From $1,035,546",1035546.0,"95 Main St, Milperra NSW 2023",Milperra,3,3,2,Penthouse,https://www.realestate.com.au/property/milperra/penthouse-15,realestate.com.au
"Guide $2,066,719",2066719.0,"450 Military Rd, Milperra NSW 2280",Milperra,0,1,0,Studio,https://www.realestateview.com.au/property/milperra/studio-16,realestateview.com.au
"$1,255,042",1255042.0,"710 Victoria St, Milperra NSW 2097",Milperra,6,2,2,Penthouse,https://www.rent.com.au/property/milperra/penthouse-17,rent.com.au
"Guide $776,546",776546.0,"938 Main St, Milperra NSW 2811",Milperra,4,3,3,Penthouse,https://www.domain.com.au/property/milperra/penthouse-18,domain.com.au
"From $1,441,362",1441362.0,"947 Main St, Milperra NSW 2274",Milperra,5,2,1,Penthouse,https://www.realestate.com.au/property/milperra/penthouse-19,realestate.com.au
"$687,996 - $922,807",687996.0,"918 The Boulevarde, Milperra NSW 2953",Milperra,4,2,0,Penthouse,https://www.realestate.com.au/property/milperra/penthouse-20,realestate.com.au
"$684,982",684982.0,"315 The Boulevarde, Milperra NSW 2978",Milperra,0,1,1,Studio,https://www.realestate.com.au/property/milperra/studio-21,realestate.com.au
"Guide $977,180",977180.0,"692 James St, Milperra NSW 2395",Milperra,4,1,3,Villa,https://www.rent.com.au/property/milperra/villa-22,rent.com.au
"$869,146 ONO",869146.0,"763 Church St, Milperra NSW 2532",Milperra,2,2,0,Townhouse,https://www.realestateview.com.au/property/milperra/townhouse-23,realestateview.com.au
