price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $897,003",897003.0,"660 Church St, Milsons Point NSW 2258",Milsons Point,0,1,0,Studio,https://www.realestateview.com.au/property/milsons-point/studio-1,realestateview.com.au
"$906,614",906614.0,"980 Ocean Rd, Milsons Point NSW 2476",Milsons Point,1,2,0,House,https://www.realestateview.com.au/property/milsons-point/house-3,realestateview.com.au
"From $863,185",863185.0,"31 Pacific Highway, Milsons Point NSW 2377",Milsons Point,2,2,1,Townhouse,https://www.realestateview.com.au/property/milsons-point/townhouse-4,realestateview.com.au
"$1,374,939 ONO",1374939.0,"208 Park Ave, Milsons Point NSW 2229",Milsons Point,3,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/milsons-point/apartment--unit--flat-5,domain.com.au
"$1,272,580",1272580.0,"198 High St, Milsons Point NSW 2131",Milsons Point,3,2,3,Penthouse,https://www.realestateview.com.au/property/milsons-point/penthouse-6,realestateview.com.au
"Guide $1,295,839",1295839.0,"183 William St, Milsons Point NSW 2274",Milsons Point,4,2,1,Penthouse,https://www.rent.com.au/property/milsons-point/penthouse-7,rent.com.au
"$949,356",949356.0,"654 Princes Highway, Milsons Point NSW 2574",Milsons Point,4,4,2,House,https://www.rent.com.au/property/milsons-point/house-8,rent.com.au
"Guide $2,050,091",2050091.0,"190 The Boulevarde, Milsons Point NSW 2165",Milsons Point,1,2,0,House,https://www.realestate.com.au/property/milsons-point/house-9,realestate.com.au
"$1,441,794 - $1,497,125",1441794.0,"544 Market St, Milsons Point NSW 2806",Milsons Point,4,3,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/milsons-point/apartment--unit--flat-10,realestateview.com.au
"$679,100 - $968,950",679100.0,"994 Beach Rd, Milsons Point NSW 2591",Milsons Point,6,3,0,Penthouse,https://www.realestate.com.au/property/milsons-point/penthouse-12,realestate.com.au
"Guide $1,274,482",1274482.0,"111 Military Rd, Milsons Point NSW 2957",Milsons Point,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/milsons-point/apartment--unit--flat-14,realestateview.com.au
"$2,487,847 ONO",2487847.0,"65 Victoria St, Milsons Point NSW 2384",Milsons Point,0,1,3,Studio,https://www.domain.com.au/property/milsons-point/studio-15,domain.com.au
"Guide $1,613,061",1613061.0,"536 High St, Milsons Point NSW 2007",Milsons Point,2,2,0,House,https://www.rent.com.au/property/milsons-point/house-16,rent.com.au
"$1,293,551 - $1,476,933",1293551.0,"28 Park Ave, Milsons Point NSW 2971",Milsons Point,3,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/milsons-point/apartment--unit--flat-17,rent.com.au
"Guide $2,449,516",2449516.0,"680 Park Ave, Milsons Point NSW 2071",Milsons Point,5,2,2,Penthouse,https://www.rent.com.au/property/milsons-point/penthouse-18,rent.com.au
"$1,139,906",1139906.0,"507 Victoria St, Milsons Point NSW 2366",Milsons Point,3,3,1,Penthouse,https://www.rent.com.au/property/milsons-point/penthouse-20,rent.com.au
"$1,284,547",1284547.0,"652 Elizabeth St, Milsons Point NSW 2714",Milsons Point,4,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/milsons-point/apartment--unit--flat-21,domain.com.au
"From $1,424,996",1424996.0,"150 Church St, Milsons Point NSW 2172",Milsons Point,0,1,0,Studio,https://www.rent.com.au/property/milsons-point/studio-22,rent.com.au
"$1,569,844",1569844.0,"185 Edward St, Milsons Point NSW 2962",Milsons Point,0,1,0,Studio,https://www.domain.com.au/property/milsons-point/studio-23,domain.com.au
"$1,974,718",1974718.0,"619 High St, Milsons Point NSW 2358",Milsons Point,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/milsons-point/apartment--unit--flat-24,domain.com.au
