price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,456,456 - $1,532,704",1456456.0,"131 High St, Minchinbury NSW 2008",Minchinbury,2,1,3,House,https://www.realestateview.com.au/property/minchinbury/house-0,realestateview.com.au
"$2,227,754 - $2,453,638",2227754.0,"166 Edward St, Minchinbury NSW 2643",Minchinbury,0,1,2,Studio,https://www.domain.com.au/property/minchinbury/studio-1,domain.com.au
"$1,876,663 ONO",1876663.0,"189 Victoria St, Minchinbury NSW 2205",Minchinbury,0,1,0,Studio,https://www.domain.com.au/property/minchinbury/studio-2,domain.com.au
"From $1,610,629",1610629.0,"107 High St, Minchinbury NSW 2424",Minchinbury,1,2,0,Villa,https://www.domain.com.au/property/minchinbury/villa-3,domain.com.au
"$1,109,302",1109302.0,"118 William St, Minchinbury NSW 2404",Minchinbury,4,1,0,Villa,https://www.domain.com.au/property/minchinbury/villa-4,domain.com.au
"$2,428,655",2428655.0,"684 Edward St, Minchinbury NSW 2078",Minchinbury,3,4,1,House,https://www.realestateview.com.au/property/minchinbury/house-5,realestateview.com.au
"$2,046,413 ONO",2046413.0,"67 Beach Rd, Minchinbury NSW 2606",Minchinbury,6,4,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/minchinbury/apartment--unit--flat-7,realestateview.com.au
"$1,576,568 - $1,723,383",1576568.0,"536 Victoria St, Minchinbury NSW 2919",Minchinbury,2,1,2,Townhouse,https://www.realestateview.com.au/property/minchinbury/townhouse-8,realestateview.com.au
"From $1,485,518",1485518.0,"578 Ocean Rd, Minchinbury NSW 2450",Minchinbury,2,1,1,Townhouse,https://www.realestate.com.au/property/minchinbury/townhouse-9,realestate.com.au
"From $1,260,263",1260263.0,"595 Queen St, Minchinbury NSW 2472",Minchinbury,4,2,1,Penthouse,https://www.rent.com.au/property/minchinbury/penthouse-10,rent.com.au
"From $1,243,003",1243003.0,"42 Victoria St, Minchinbury NSW 2956",Minchinbury,4,3,4,Villa,https://www.domain.com.au/property/minchinbury/villa-11,domain.com.au
"$920,924",920924.0,"774 Main St, Minchinbury NSW 2238",Minchinbury,3,4,3,Penthouse,https://www.domain.com.au/property/minchinbury/penthouse-12,domain.com.au
"$1,739,225",1739225.0,"945 King St, Minchinbury NSW 2401",Minchinbury,4,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/minchinbury/apartment--unit--flat-13,domain.com.au
"Guide $993,856",993856.0,"569 George St, Minchinbury NSW 2909",Minchinbury,3,2,2,Townhouse,https://www.realestateview.com.au/property/minchinbury/townhouse-14,realestateview.com.au
"Guide $1,669,544",1669544.0,"952 Church St, Minchinbury NSW 2183",Minchinbury,5,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/minchinbury/apartment--unit--flat-15,realestate.com.au
"$854,046 - $1,105,795",854046.0,"501 King St, Minchinbury NSW 2141",Minchinbury,3,3,2,Penthouse,https://www.realestate.com.au/property/minchinbury/penthouse-16,realestate.com.au
"$2,259,488 ONO",2259488.0,"159 Edward St, Minchinbury NSW 2368",Minchinbury,2,1,2,Villa,https://www.realestate.com.au/property/minchinbury/villa-17,realestate.com.au
"Guide $1,854,648",1854648.0,"867 George St, Minchinbury NSW 2520",Minchinbury,4,3,3,Townhouse,https://www.realestateview.com.au/property/minchinbury/townhouse-18,realestateview.com.au
"Guide $981,959",981959.0,"999 James St, Minchinbury NSW 2184",Minchinbury,6,3,1,Penthouse,https://www.domain.com.au/property/minchinbury/penthouse-20,domain.com.au
"From $2,076,596",2076596.0,"819 Main St, Minchinbury NSW 2948",Minchinbury,4,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/minchinbury/apartment--unit--flat-21,rent.com.au
"From $863,912",863912.0,"773 Elizabeth St, Minchinbury NSW 2255",Minchinbury,0,1,3,Studio,https://www.realestate.com.au/property/minchinbury/studio-23,realestate.com.au
