price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,052,281",1052281.0,"211 George St, Miranda NSW 2207",Miranda,0,1,0,Studio,https://www.rent.com.au/property/miranda/studio-0,rent.com.au
"$1,743,494 - $1,961,631",1743494.0,"731 Ocean Rd, Miranda NSW 2653",Miranda,4,4,0,Penthouse,https://www.realestate.com.au/property/miranda/penthouse-1,realestate.com.au
"$2,307,970 ONO",2307970.0,"798 Queen St, Miranda NSW 2975",Miranda,2,3,3,House,https://www.rent.com.au/property/miranda/house-2,rent.com.au
"$1,738,510",1738510.0,"371 Main St, Miranda NSW 2328",Miranda,4,4,0,Apartment / Unit / Flat,https://www.domain.com.au/property/miranda/apartment--unit--flat-3,domain.com.au
"$1,560,231 - $1,618,035",1560231.0,"196 King St, Miranda NSW 2181",Miranda,3,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/miranda/apartment--unit--flat-4,realestate.com.au
"$2,428,434",2428434.0,"382 Princes Highway, Miranda NSW 2699",Miranda,3,4,1,Townhouse,https://www.realestateview.com.au/property/miranda/townhouse-6,realestateview.com.au
"From $528,395",528395.0,"708 Ocean Rd, Miranda NSW 2685",Miranda,0,1,2,Studio,https://www.domain.com.au/property/miranda/studio-7,domain.com.au
"$1,753,568 ONO",1753568.0,"540 Railway St, Miranda NSW 2233",Miranda,3,2,2,Townhouse,https://www.domain.com.au/property/miranda/townhouse-8,domain.com.au
"$558,373",558373.0,"153 Princes Highway, Miranda NSW 2126",Miranda,2,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/miranda/apartment--unit--flat-9,domain.com.au
"Guide $851,695",851695.0,"14 Railway St, Miranda NSW 2316",Miranda,1,2,2,Apartment / Unit / Flat,https://www.domain.com.au/property/miranda/apartment--unit--flat-10,domain.com.au
"$906,129",906129.0,"695 King St, Miranda NSW 2465",Miranda,3,2,0,Apartment / Unit / Flat,https://www.domain.com.au/property/miranda/apartment--unit--flat-12,domain.com.au
"$887,351",887351.0,"991 Main St, Miranda NSW 2171",Miranda,4,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/miranda/apartment--unit--flat-13,rent.com.au
"$779,907",779907.0,"857 Market St, Miranda NSW 2126",Miranda,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/miranda/apartment--unit--flat-14,domain.com.au
"Guide $583,343",583343.0,"228 Victoria St, Miranda NSW 2913",Miranda,5,4,2,Villa,https://www.domain.com.au/property/miranda/villa-15,domain.com.au
"$2,204,500 - $2,432,742",2204500.0,"803 The Boulevarde, Miranda NSW 2240",Miranda,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/miranda/apartment--unit--flat-16,realestate.com.au
"$1,865,425 ONO",1865425.0,"490 Railway St, Miranda NSW 2635",Miranda,5,4,3,Penthouse,https://www.rent.com.au/property/miranda/penthouse-17,rent.com.au
"$739,250 ONO",739250.0,"903 High St, Miranda NSW 2600",Miranda,2,3,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/miranda/apartment--unit--flat-18,realestate.com.au
"From $685,607",685607.0,"10 James St, Miranda NSW 2449",Miranda,2,1,2,Villa,https://www.domain.com.au/property/miranda/villa-19,domain.com.au
"From $1,929,208",1929208.0,"295 High St, Miranda NSW 2132",Miranda,0,1,4,Studio,https://www.rent.com.au/property/miranda/studio-20,rent.com.au
"$788,313 ONO",788313.0,"126 High St, Miranda NSW 2095",Miranda,4,4,0,Townhouse,https://www.domain.com.au/property/miranda/townhouse-21,domain.com.au
"From $2,464,359",2464359.0,"290 Elizabeth St, Miranda NSW 2729",Miranda,2,1,0,Townhouse,https://www.domain.com.au/property/miranda/townhouse-22,domain.com.au
"$931,111",931111.0,"318 Church St, Miranda NSW 2668",Miranda,4,1,2,Townhouse,https://www.realestateview.com.au/property/miranda/townhouse-24,realestateview.com.au
