price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$3,176,735 - $3,336,822",3176735.0,"434 Beach Rd, Mona Vale NSW 2738",Mona Vale,2,1,2,Villa,https://www.realestate.com.au/property/mona-vale/villa-0,realestate.com.au
"$3,440,640 ONO",3440640.0,"194 Beach Rd, Mona Vale NSW 2050",Mona Vale,5,2,2,House,https://www.realestate.com.au/property/mona-vale/house-2,realestate.com.au
"Guide $3,304,044",3304044.0,"369 Church St, Mona Vale NSW 2512",Mona Vale,5,4,1,Penthouse,https://www.domain.com.au/property/mona-vale/penthouse-3,domain.com.au
"$1,864,261 - $1,985,361",1864261.0,"951 High St, Mona Vale NSW 2112",Mona Vale,0,1,2,Studio,https://www.realestate.com.au/property/mona-vale/studio-4,realestate.com.au
"Guide $967,889",967889.0,"721 Military Rd, Mona Vale NSW 2560",Mona Vale,0,1,2,Studio,https://www.rent.com.au/property/mona-vale/studio-5,rent.com.au
"$2,585,136",2585136.0,"424 Beach Rd, Mona Vale NSW 2793",Mona Vale,5,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/mona-vale/apartment--unit--flat-6,realestateview.com.au
"From $2,193,494",2193494.0,"750 Queen St, Mona Vale NSW 2989",Mona Vale,4,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/mona-vale/apartment--unit--flat-7,realestate.com.au
"From $1,190,240",1190240.0,"573 Beach Rd, Mona Vale NSW 2298",Mona Vale,4,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/mona-vale/apartment--unit--flat-8,realestateview.com.au
"$2,438,491",2438491.0,"849 Pacific Highway, Mona Vale NSW 2879",Mona Vale,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/mona-vale/apartment--unit--flat-9,realestate.com.au
"From $889,174",889174.0,"333 Church St, Mona Vale NSW 2065",Mona Vale,3,2,2,Villa,https://www.rent.com.au/property/mona-vale/villa-10,rent.com.au
"Guide $1,759,806",1759806.0,"463 Beach Rd, Mona Vale NSW 2629",Mona Vale,1,2,4,House,https://www.domain.com.au/property/mona-vale/house-11,domain.com.au
"$2,104,459 - $2,349,972",2104459.0,"233 Pacific Highway, Mona Vale NSW 2341",Mona Vale,6,3,0,Penthouse,https://www.realestateview.com.au/property/mona-vale/penthouse-12,realestateview.com.au
"$2,179,820 - $2,404,956",2179820.0,"42 Pacific Highway, Mona Vale NSW 2970",Mona Vale,1,2,3,Villa,https://www.realestate.com.au/property/mona-vale/villa-13,realestate.com.au
"From $2,273,125",2273125.0,"258 Main St, Mona Vale NSW 2896",Mona Vale,3,4,1,House,https://www.rent.com.au/property/mona-vale/house-14,rent.com.au
"$1,798,116 - $2,037,049",1798116.0,"850 William St, Mona Vale NSW 2126",Mona Vale,4,4,3,Apartment / Unit / Flat,https://www.realestate.com.au/property/mona-vale/apartment--unit--flat-15,realestate.com.au
"$2,585,115",2585115.0,"806 William St, Mona Vale NSW 2264",Mona Vale,1,2,1,House,https://www.realestateview.com.au/property/mona-vale/house-16,realestateview.com.au
"From $3,103,220",3103220.0,"553 Ocean Rd, Mona Vale NSW 2093",Mona Vale,2,3,1,House,https://www.rent.com.au/property/mona-vale/house-17,rent.com.au
"From $2,250,740",2250740.0,"865 Church St, Mona Vale NSW 2821",Mona Vale,3,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/mona-vale/apartment--unit--flat-18,rent.com.au
"$2,422,869 - $2,575,978",2422869.0,"768 George St, Mona Vale NSW 2066",Mona Vale,5,2,2,Penthouse,https://www.domain.com.au/property/mona-vale/penthouse-19,domain.com.au
"$2,233,010",2233010.0,"526 Edward St, Mona Vale NSW 2577",Mona Vale,1,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/mona-vale/apartment--unit--flat-20,domain.com.au
"From $1,012,433",1012433.0,"528 Princes Highway, Mona Vale NSW 2987",Mona Vale,1,1,2,Apartment / Unit / Flat,https://www.rent.com.au/property/mona-vale/apartment--unit--flat-21,rent.com.au
"From $3,035,306",3035306.0,"394 Ocean Rd, Mona Vale NSW 2269",Mona Vale,0,1,2,Studio,https://www.realestate.com.au/property/mona-vale/studio-23,realestate.com.au
"$1,224,171 - $1,348,727",1224171.0,"378 Beach Rd, Mona Vale NSW 2092",Mona Vale,0,1,0,Studio,https://www.realestateview.com.au/property/mona-vale/studio-24,realestateview.com.au
