price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,833,328 ONO",1833328.0,"813 George St, Monterey NSW 2529",Monterey,1,1,1,Townhouse,https://www.domain.com.au/property/monterey/townhouse-1,domain.com.au
"From $1,782,579",1782579.0,"709 Princes Highway, Monterey NSW 2483",Monterey,4,3,2,Townhouse,https://www.realestateview.com.au/property/monterey/townhouse-2,realestateview.com.au
"$1,707,244",1707244.0,"507 Edward St, Monterey NSW 2319",Monterey,3,3,3,House,https://www.rent.com.au/property/monterey/house-4,rent.com.au
"Guide $881,889",881889.0,"556 Market St, Monterey NSW 2161",Monterey,3,4,0,House,https://www.domain.com.au/property/monterey/house-5,domain.com.au
"Guide $944,443",944443.0,"432 High St, Monterey NSW 2308",Monterey,5,3,2,Penthouse,https://www.rent.com.au/property/monterey/penthouse-6,rent.com.au
"$1,197,210",1197210.0,"418 Princes Highway, Monterey NSW 2390",Monterey,3,4,1,Penthouse,https://www.rent.com.au/property/monterey/penthouse-7,rent.com.au
"Guide $749,102",749102.0,"550 The Boulevarde, Monterey NSW 2956",Monterey,5,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/monterey/apartment--unit--flat-8,realestate.com.au
"$2,285,579",2285579.0,"48 Main St, Monterey NSW 2888",Monterey,4,2,2,House,https://www.realestateview.com.au/property/monterey/house-9,realestateview.com.au
"$604,300",604300.0,"234 Church St, Monterey NSW 2479",Monterey,4,3,0,House,https://www.rent.com.au/property/monterey/house-10,rent.com.au
"$921,845 - $1,204,601",921845.0,"278 Edward St, Monterey NSW 2987",Monterey,5,3,0,Penthouse,https://www.realestateview.com.au/property/monterey/penthouse-11,realestateview.com.au
"From $1,670,919",1670919.0,"947 Market St, Monterey NSW 2180",Monterey,1,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/monterey/apartment--unit--flat-12,realestateview.com.au
"From $1,702,962",1702962.0,"873 Church St, Monterey NSW 2975",Monterey,0,1,2,Studio,https://www.domain.com.au/property/monterey/studio-13,domain.com.au
"$1,156,174 - $1,396,265",1156174.0,"236 King St, Monterey NSW 2752",Monterey,5,4,1,Villa,https://www.rent.com.au/property/monterey/villa-14,rent.com.au
"$1,427,539",1427539.0,"408 Church St, Monterey NSW 2449",Monterey,4,1,3,Villa,https://www.realestateview.com.au/property/monterey/villa-15,realestateview.com.au
"$1,916,087",1916087.0,"624 Market St, Monterey NSW 2697",Monterey,3,1,0,Villa,https://www.domain.com.au/property/monterey/villa-16,domain.com.au
"$1,986,575",1986575.0,"439 George St, Monterey NSW 2891",Monterey,2,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/monterey/apartment--unit--flat-17,rent.com.au
"Guide $871,840",871840.0,"818 Military Rd, Monterey NSW 2499",Monterey,4,3,3,Villa,https://www.domain.com.au/property/monterey/villa-18,domain.com.au
"$2,310,219",2310219.0,"934 Beach Rd, Monterey NSW 2896",Monterey,3,2,1,House,https://www.realestateview.com.au/property/monterey/house-20,realestateview.com.au
"Guide $1,066,586",1066586.0,"887 Ocean Rd, Monterey NSW 2988",Monterey,3,4,1,House,https://www.realestate.com.au/property/monterey/house-21,realestate.com.au
"Guide $1,116,013",1116013.0,"201 Main St, Monterey NSW 2716",Monterey,3,3,2,House,https://www.realestateview.com.au/property/monterey/house-22,realestateview.com.au
"$707,230",707230.0,"241 William St, Monterey NSW 2112",Monterey,2,1,2,House,https://www.rent.com.au/property/monterey/house-23,rent.com.au
"From $2,465,596",2465596.0,"61 High St, Monterey NSW 2337",Monterey,3,2,0,Townhouse,https://www.domain.com.au/property/monterey/townhouse-24,domain.com.au
