price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,169,419",1169419.0,"114 Main St, Mortdale NSW 2369",Mortdale,4,4,1,Townhouse,https://www.realestateview.com.au/property/mortdale/townhouse-0,realestateview.com.au
"$1,680,312",1680312.0,"512 Pacific Highway, Mortdale NSW 2898",Mortdale,2,3,0,Villa,https://www.realestateview.com.au/property/mortdale/villa-1,realestateview.com.au
"$2,302,701",2302701.0,"787 King St, Mortdale NSW 2249",Mortdale,3,2,1,Townhouse,https://www.rent.com.au/property/mortdale/townhouse-2,rent.com.au
"$2,250,208 ONO",2250208.0,"413 Military Rd, Mortdale NSW 2708",Mortdale,3,2,2,Villa,https://www.domain.com.au/property/mortdale/villa-5,domain.com.au
"$643,928",643928.0,"574 Elizabeth St, Mortdale NSW 2070",Mortdale,0,1,3,Studio,https://www.realestate.com.au/property/mortdale/studio-8,realestate.com.au
"$2,432,748",2432748.0,"885 Church St, Mortdale NSW 2026",Mortdale,4,3,0,Penthouse,https://www.realestate.com.au/property/mortdale/penthouse-9,realestate.com.au
"$2,139,696",2139696.0,"854 Albert St, Mortdale NSW 2520",Mortdale,3,1,1,Townhouse,https://www.domain.com.au/property/mortdale/townhouse-10,domain.com.au
"From $919,904",919904.0,"751 Elizabeth St, Mortdale NSW 2231",Mortdale,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/mortdale/apartment--unit--flat-11,realestate.com.au
"Guide $1,712,332",1712332.0,"53 Elizabeth St, Mortdale NSW 2226",Mortdale,4,3,3,Townhouse,https://www.realestateview.com.au/property/mortdale/townhouse-12,realestateview.com.au
"Guide $2,099,324",2099324.0,"276 Queen St, Mortdale NSW 2369",Mortdale,3,3,1,House,https://www.realestate.com.au/property/mortdale/house-13,realestate.com.au
"$2,483,885 - $2,650,350",2483885.0,"990 Victoria St, Mortdale NSW 2991",Mortdale,0,1,3,Studio,https://www.rent.com.au/property/mortdale/studio-14,rent.com.au
"From $853,786",853786.0,"952 Military Rd, Mortdale NSW 2018",Mortdale,0,1,1,Studio,https://www.realestateview.com.au/property/mortdale/studio-15,realestateview.com.au
"$630,802 ONO",630802.0,"246 High St, Mortdale NSW 2897",Mortdale,4,2,0,Villa,https://www.realestateview.com.au/property/mortdale/villa-17,realestateview.com.au
"Guide $601,167",601167.0,"710 James St, Mortdale NSW 2882",Mortdale,1,1,3,Villa,https://www.realestate.com.au/property/mortdale/villa-18,realestate.com.au
"$1,623,182 ONO",1623182.0,"871 James St, Mortdale NSW 2890",Mortdale,2,3,2,House,https://www.realestateview.com.au/property/mortdale/house-19,realestateview.com.au
"$801,360 - $1,078,281",801360.0,"129 Park Ave, Mortdale NSW 2424",Mortdale,5,3,3,Townhouse,https://www.rent.com.au/property/mortdale/townhouse-20,rent.com.au
"Guide $1,466,813",1466813.0,"520 James St, Mortdale NSW 2093",Mortdale,6,2,1,Penthouse,https://www.domain.com.au/property/mortdale/penthouse-21,domain.com.au
"$2,029,028",2029028.0,"624 Queen St, Mortdale NSW 2838",Mortdale,6,2,1,Penthouse,https://www.realestateview.com.au/property/mortdale/penthouse-22,realestateview.com.au
"Guide $1,184,670",1184670.0,"718 Victoria St, Mortdale NSW 2725",Mortdale,1,1,1,House,https://www.rent.com.au/property/mortdale/house-23,rent.com.au
"$813,833 - $1,113,004",813833.0,"113 Queen St, Mortdale NSW 2445",Mortdale,5,2,1,Penthouse,https://www.realestateview.com.au/property/mortdale/penthouse-24,realestateview.com.au
