price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$560,762",560762.0,"686 Victoria St, Mortlake NSW 2325",Mortlake,4,4,1,Villa,https://www.realestateview.com.au/property/mortlake/villa-0,realestateview.com.au
"$1,536,733 - $1,680,777",1536733.0,"845 Park Ave, Mortlake NSW 2509",Mortlake,4,2,0,Penthouse,https://www.realestateview.com.au/property/mortlake/penthouse-1,realestateview.com.au
"$1,767,530 - $1,901,696",1767530.0,"45 Ocean Rd, Mortlake NSW 2605",Mortlake,0,1,0,Studio,https://www.realestate.com.au/property/mortlake/studio-2,realestate.com.au
"From $861,551",861551.0,"16 Main St, Mortlake NSW 2531",Mortlake,1,2,2,Townhouse,https://www.realestateview.com.au/property/mortlake/townhouse-3,realestateview.com.au
"Guide $1,382,894",1382894.0,"723 William St, Mortlake NSW 2684",Mortlake,2,2,2,Townhouse,https://www.rent.com.au/property/mortlake/townhouse-4,rent.com.au
"From $1,630,413",1630413.0,"61 Victoria St, Mortlake NSW 2092",Mortlake,2,3,1,Villa,https://www.domain.com.au/property/mortlake/villa-7,domain.com.au
"$2,126,828 - $2,303,601",2126828.0,"292 Park Ave, Mortlake NSW 2509",Mortlake,4,2,1,Penthouse,https://www.realestate.com.au/property/mortlake/penthouse-8,realestate.com.au
"$2,014,209 - $2,133,422",2014209.0,"232 Ocean Rd, Mortlake NSW 2173",Mortlake,6,4,0,Penthouse,https://www.domain.com.au/property/mortlake/penthouse-9,domain.com.au
"From $2,148,244",2148244.0,"478 William St, Mortlake NSW 2069",Mortlake,3,4,3,House,https://www.domain.com.au/property/mortlake/house-10,domain.com.au
"$2,157,998 ONO",2157998.0,"97 Military Rd, Mortlake NSW 2483",Mortlake,4,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/mortlake/apartment--unit--flat-11,realestate.com.au
"$1,548,495",1548495.0,"625 The Boulevarde, Mortlake NSW 2391",Mortlake,0,1,0,Studio,https://www.rent.com.au/property/mortlake/studio-12,rent.com.au
"$704,572 ONO",704572.0,"576 Main St, Mortlake NSW 2142",Mortlake,0,1,4,Studio,https://www.realestateview.com.au/property/mortlake/studio-13,realestateview.com.au
"$1,130,445",1130445.0,"708 Railway St, Mortlake NSW 2894",Mortlake,1,1,3,Townhouse,https://www.realestate.com.au/property/mortlake/townhouse-14,realestate.com.au
"$1,800,112",1800112.0,"44 Park Ave, Mortlake NSW 2794",Mortlake,5,3,2,Penthouse,https://www.realestate.com.au/property/mortlake/penthouse-15,realestate.com.au
"$1,676,743 - $1,947,717",1676743.0,"962 Railway St, Mortlake NSW 2730",Mortlake,3,4,1,Penthouse,https://www.rent.com.au/property/mortlake/penthouse-16,rent.com.au
"$748,496 - $888,785",748496.0,"221 George St, Mortlake NSW 2992",Mortlake,6,3,1,Penthouse,https://www.realestateview.com.au/property/mortlake/penthouse-17,realestateview.com.au
"$1,900,764 ONO",1900764.0,"845 Queen St, Mortlake NSW 2099",Mortlake,2,3,2,Villa,https://www.realestate.com.au/property/mortlake/villa-18,realestate.com.au
"$1,254,023 ONO",1254023.0,"302 Railway St, Mortlake NSW 2608",Mortlake,4,3,2,Townhouse,https://www.realestateview.com.au/property/mortlake/townhouse-19,realestateview.com.au
"$959,417 ONO",959417.0,"595 Main St, Mortlake NSW 2905",Mortlake,6,3,2,Penthouse,https://www.realestateview.com.au/property/mortlake/penthouse-20,realestateview.com.au
"From $1,734,914",1734914.0,"497 Albert St, Mortlake NSW 2862",Mortlake,2,1,0,Townhouse,https://www.rent.com.au/property/mortlake/townhouse-21,rent.com.au
"Guide $687,091",687091.0,"336 Albert St, Mortlake NSW 2328",Mortlake,4,4,0,Apartment / Unit / Flat,https://www.rent.com.au/property/mortlake/apartment--unit--flat-22,rent.com.au
"Guide $1,150,994",1150994.0,"46 Queen St, Mortlake NSW 2330",Mortlake,5,2,2,Townhouse,https://www.realestate.com.au/property/mortlake/townhouse-23,realestate.com.au
"Guide $2,150,739",2150739.0,"2 Church St, Mortlake NSW 2885",Mortlake,0,1,0,Studio,https://www.realestate.com.au/property/mortlake/studio-24,realestate.com.au
