price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$3,290,157",3290157.0,"170 Victoria St, Mosman NSW 2110",Mosman,2,3,1,House,https://www.realestate.com.au/property/mosman/house-0,realestate.com.au
"From $1,692,347",1692347.0,"718 Ocean Rd, Mosman NSW 2227",Mosman,3,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/mosman/apartment--unit--flat-2,domain.com.au
"$4,163,673 - $4,322,926",4163673.0,"991 William St, Mosman NSW 2475",Mosman,0,1,1,Studio,https://www.realestate.com.au/property/mosman/studio-4,realestate.com.au
"Guide $5,301,227",5301227.0,"950 The Boulevarde, Mosman NSW 2075",Mosman,2,1,3,House,https://www.rent.com.au/property/mosman/house-5,rent.com.au
"From $1,937,242",1937242.0,"732 Victoria St, Mosman NSW 2035",Mosman,2,1,0,Terrace,https://www.rent.com.au/property/mosman/terrace-6,rent.com.au
"Guide $3,314,818",3314818.0,"102 Edward St, Mosman NSW 2625",Mosman,0,1,1,Studio,https://www.domain.com.au/property/mosman/studio-7,domain.com.au
"$3,590,994 - $3,646,718",3590994.0,"949 Albert St, Mosman NSW 2591",Mosman,0,1,2,Studio,https://www.realestate.com.au/property/mosman/studio-9,realestate.com.au
"$1,636,411",1636411.0,"384 Beach Rd, Mosman NSW 2507",Mosman,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/mosman/apartment--unit--flat-10,realestate.com.au
"$2,061,848",2061848.0,"729 Elizabeth St, Mosman NSW 2117",Mosman,6,2,3,Penthouse,https://www.realestateview.com.au/property/mosman/penthouse-13,realestateview.com.au
"$2,146,623",2146623.0,"541 Ocean Rd, Mosman NSW 2919",Mosman,0,1,1,Studio,https://www.realestate.com.au/property/mosman/studio-16,realestate.com.au
"$2,994,258",2994258.0,"831 The Boulevarde, Mosman NSW 2102",Mosman,4,4,0,Terrace,https://www.realestateview.com.au/property/mosman/terrace-17,realestateview.com.au
"$3,803,172 ONO",3803172.0,"11 Pacific Highway, Mosman NSW 2502",Mosman,0,1,4,Studio,https://www.realestate.com.au/property/mosman/studio-18,realestate.com.au
"Guide $1,901,948",1901948.0,"665 Albert St, Mosman NSW 2961",Mosman,3,4,1,House,https://www.realestate.com.au/property/mosman/house-21,realestate.com.au
"From $1,843,516",1843516.0,"420 Main St, Mosman NSW 2548",Mosman,1,1,2,House,https://www.domain.com.au/property/mosman/house-22,domain.com.au
"$1,708,513 ONO",1708513.0,"551 Railway St, Mosman NSW 2375",Mosman,4,3,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/mosman/apartment--unit--flat-23,realestateview.com.au
