price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$624,399 - $753,137",624399.0,"173 King St, Mount Druitt NSW 2987",Mount Druitt,3,4,0,Villa,https://www.domain.com.au/property/mount-druitt/villa-0,domain.com.au
"From $894,232",894232.0,"736 Beach Rd, Mount Druitt NSW 2078",Mount Druitt,2,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/mount-druitt/apartment--unit--flat-1,realestateview.com.au
"From $898,406",898406.0,"473 Princes Highway, Mount Druitt NSW 2362",Mount Druitt,3,3,3,House,https://www.realestateview.com.au/property/mount-druitt/house-2,realestateview.com.au
"Guide $583,387",583387.0,"668 Park Ave, Mount Druitt NSW 2412",Mount Druitt,6,4,1,Penthouse,https://www.realestate.com.au/property/mount-druitt/penthouse-3,realestate.com.au
"From $873,484",873484.0,"290 Church St, Mount Druitt NSW 2315",Mount Druitt,0,1,0,Studio,https://www.rent.com.au/property/mount-druitt/studio-9,rent.com.au
"$632,934 ONO",632934.0,"970 George St, Mount Druitt NSW 2078",Mount Druitt,2,2,0,Villa,https://www.realestate.com.au/property/mount-druitt/villa-10,realestate.com.au
"Guide $927,299",927299.0,"615 Princes Highway, Mount Druitt NSW 2809",Mount Druitt,3,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/mount-druitt/apartment--unit--flat-11,realestateview.com.au
"$565,666",565666.0,"686 Princes Highway, Mount Druitt NSW 2480",Mount Druitt,2,2,0,Villa,https://www.realestateview.com.au/property/mount-druitt/villa-12,realestateview.com.au
"From $727,331",727331.0,"607 Elizabeth St, Mount Druitt NSW 2894",Mount Druitt,4,2,2,Penthouse,https://www.realestate.com.au/property/mount-druitt/penthouse-13,realestate.com.au
"$637,822 ONO",637822.0,"791 Church St, Mount Druitt NSW 2273",Mount Druitt,6,4,0,Penthouse,https://www.realestateview.com.au/property/mount-druitt/penthouse-14,realestateview.com.au
"$522,592 ONO",522592.0,"329 Princes Highway, Mount Druitt NSW 2974",Mount Druitt,3,2,0,Townhouse,https://www.rent.com.au/property/mount-druitt/townhouse-15,rent.com.au
"From $783,096",783096.0,"219 Church St, Mount Druitt NSW 2612",Mount Druitt,2,2,0,Villa,https://www.realestateview.com.au/property/mount-druitt/villa-16,realestateview.com.au
"Guide $1,041,594",1041594.0,"913 Princes Highway, Mount Druitt NSW 2333",Mount Druitt,1,2,1,Villa,https://www.realestateview.com.au/property/mount-druitt/villa-17,realestateview.com.au
"Guide $562,768",562768.0,"164 High St, Mount Druitt NSW 2914",Mount Druitt,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/mount-druitt/apartment--unit--flat-19,domain.com.au
"Guide $619,537",619537.0,"300 Princes Highway, Mount Druitt NSW 2535",Mount Druitt,3,1,2,Townhouse,https://www.rent.com.au/property/mount-druitt/townhouse-20,rent.com.au
"$1,144,921",1144921.0,"227 Ocean Rd, Mount Druitt NSW 2593",Mount Druitt,1,2,2,Villa,https://www.domain.com.au/property/mount-druitt/villa-22,domain.com.au
"From $1,149,442",1149442.0,"126 The Boulevarde, Mount Druitt NSW 2809",Mount Druitt,3,4,3,Penthouse,https://www.domain.com.au/property/mount-druitt/penthouse-24,domain.com.au
"$916,497 - $1,100,393",916497.0,"818 Church St, Mount Druitt NSW 2166",Mount Druitt,2,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/mount-druitt/apartment--unit--flat-0,realestateview.com.au
