price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,409,396 ONO",2409396.0,"220 Princes Highway, Mount Pritchard NSW 2940",Mount Pritchard,4,2,2,Penthouse,https://www.rent.com.au/property/mount-pritchard/penthouse-0,rent.com.au
"From $1,736,216",1736216.0,"672 William St, Mount Pritchard NSW 2156",Mount Pritchard,1,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/mount-pritchard/apartment--unit--flat-1,realestate.com.au
"$990,904 ONO",990904.0,"149 Victoria St, Mount Pritchard NSW 2461",Mount Pritchard,3,1,2,House,https://www.realestateview.com.au/property/mount-pritchard/house-2,realestateview.com.au
"$932,402 - $1,176,092",932402.0,"583 Beach Rd, Mount Pritchard NSW 2795",Mount Pritchard,0,1,0,Studio,https://www.realestate.com.au/property/mount-pritchard/studio-3,realestate.com.au
"$2,081,559",2081559.0,"142 Beach Rd, Mount Pritchard NSW 2449",Mount Pritchard,2,1,0,House,https://www.domain.com.au/property/mount-pritchard/house-4,domain.com.au
"$1,762,476 ONO",1762476.0,"452 Military Rd, Mount Pritchard NSW 2084",Mount Pritchard,0,1,1,Studio,https://www.rent.com.au/property/mount-pritchard/studio-5,rent.com.au
"$1,812,791 - $1,868,147",1812791.0,"309 Edward St, Mount Pritchard NSW 2055",Mount Pritchard,4,3,0,Penthouse,https://www.domain.com.au/property/mount-pritchard/penthouse-6,domain.com.au
"$1,194,834 ONO",1194834.0,"784 Park Ave, Mount Pritchard NSW 2551",Mount Pritchard,0,1,3,Studio,https://www.domain.com.au/property/mount-pritchard/studio-7,domain.com.au
"From $1,592,337",1592337.0,"689 The Boulevarde, Mount Pritchard NSW 2970",Mount Pritchard,3,4,0,House,https://www.domain.com.au/property/mount-pritchard/house-8,domain.com.au
"Guide $2,398,283",2398283.0,"289 King St, Mount Pritchard NSW 2704",Mount Pritchard,2,2,1,Townhouse,https://www.realestate.com.au/property/mount-pritchard/townhouse-9,realestate.com.au
"$963,480 - $1,020,467",963480.0,"843 Railway St, Mount Pritchard NSW 2041",Mount Pritchard,0,1,2,Studio,https://www.realestateview.com.au/property/mount-pritchard/studio-10,realestateview.com.au
"From $1,165,731",1165731.0,"451 Edward St, Mount Pritchard NSW 2006",Mount Pritchard,3,4,2,Apartment / Unit / Flat,https://www.domain.com.au/property/mount-pritchard/apartment--unit--flat-11,domain.com.au
"$1,317,911 ONO",1317911.0,"870 High St, Mount Pritchard NSW 2394",Mount Pritchard,0,1,1,Studio,https://www.realestate.com.au/property/mount-pritchard/studio-12,realestate.com.au
"$924,344",924344.0,"666 Edward St, Mount Pritchard NSW 2469",Mount Pritchard,3,3,2,Penthouse,https://www.domain.com.au/property/mount-pritchard/penthouse-13,domain.com.au
"$2,348,268",2348268.0,"917 Albert St, Mount Pritchard NSW 2205",Mount Pritchard,1,2,3,Townhouse,https://www.domain.com.au/property/mount-pritchard/townhouse-14,domain.com.au
"$1,983,560",1983560.0,"584 King St, Mount Pritchard NSW 2471",Mount Pritchard,3,3,2,Villa,https://www.rent.com.au/property/mount-pritchard/villa-15,rent.com.au
"$1,762,112 ONO",1762112.0,"582 James St, Mount Pritchard NSW 2267",Mount Pritchard,3,3,3,Townhouse,https://www.realestate.com.au/property/mount-pritchard/townhouse-16,realestate.com.au
"Guide $1,734,459",1734459.0,"75 Market St, Mount Pritchard NSW 2832",Mount Pritchard,3,3,2,Townhouse,https://www.realestateview.com.au/property/mount-pritchard/townhouse-17,realestateview.com.au
"$1,028,524",1028524.0,"193 Elizabeth St, Mount Pritchard NSW 2559",Mount Pritchard,0,1,3,Studio,https://www.rent.com.au/property/mount-pritchard/studio-18,rent.com.au
"$577,376 - $718,750",577376.0,"143 Pacific Highway, Mount Pritchard NSW 2835",Mount Pritchard,4,2,2,Penthouse,https://www.realestateview.com.au/property/mount-pritchard/penthouse-19,realestateview.com.au
"Guide $1,029,715",1029715.0,"44 Edward St, Mount Pritchard NSW 2574",Mount Pritchard,5,3,1,House,https://www.rent.com.au/property/mount-pritchard/house-20,rent.com.au
"$1,227,431 - $1,471,738",1227431.0,"376 Military Rd, Mount Pritchard NSW 2562",Mount Pritchard,5,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/mount-pritchard/apartment--unit--flat-21,rent.com.au
"$1,650,848 ONO",1650848.0,"519 Military Rd, Mount Pritchard NSW 2664",Mount Pritchard,5,2,1,Penthouse,https://www.domain.com.au/property/mount-pritchard/penthouse-22,domain.com.au
"$2,336,666 ONO",2336666.0,"906 Church St, Mount Pritchard NSW 2003",Mount Pritchard,3,2,2,Townhouse,https://www.rent.com.au/property/mount-pritchard/townhouse-24,rent.com.au
