price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$956,858",956858.0,"272 Victoria St, Narrabeen NSW 2425",Narrabeen,1,1,1,Townhouse,https://www.domain.com.au/property/narrabeen/townhouse-0,domain.com.au
"$1,386,253",1386253.0,"139 James St, Narrabeen NSW 2346",Narrabeen,0,1,2,Studio,https://www.realestate.com.au/property/narrabeen/studio-1,realestate.com.au
"$1,298,506 ONO",1298506.0,"502 Princes Highway, Narrabeen NSW 2735",Narrabeen,3,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/narrabeen/apartment--unit--flat-2,realestateview.com.au
"Guide $633,285",633285.0,"650 Albert St, Narrabeen NSW 2705",Narrabeen,2,3,0,Townhouse,https://www.domain.com.au/property/narrabeen/townhouse-3,domain.com.au
"$1,146,663",1146663.0,"882 Park Ave, Narrabeen NSW 2086",Narrabeen,4,3,0,Penthouse,https://www.rent.com.au/property/narrabeen/penthouse-4,rent.com.au
"$795,511",795511.0,"908 Beach Rd, Narrabeen NSW 2724",Narrabeen,0,1,0,Studio,https://www.domain.com.au/property/narrabeen/studio-5,domain.com.au
"$2,159,654 ONO",2159654.0,"140 Beach Rd, Narrabeen NSW 2609",Narrabeen,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/narrabeen/apartment--unit--flat-6,rent.com.au
"$1,425,974",1425974.0,"222 Railway St, Narrabeen NSW 2992",Narrabeen,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/narrabeen/apartment--unit--flat-7,domain.com.au
"$2,174,823",2174823.0,"205 Pacific Highway, Narrabeen NSW 2408",Narrabeen,3,3,0,Penthouse,https://www.domain.com.au/property/narrabeen/penthouse-10,domain.com.au
"$1,690,784 ONO",1690784.0,"327 William St, Narrabeen NSW 2366",Narrabeen,0,1,0,Studio,https://www.realestate.com.au/property/narrabeen/studio-11,realestate.com.au
"From $1,065,572",1065572.0,"736 Park Ave, Narrabeen NSW 2088",Narrabeen,0,1,1,Studio,https://www.realestate.com.au/property/narrabeen/studio-12,realestate.com.au
"$2,316,763 - $2,533,400",2316763.0,"562 Albert St, Narrabeen NSW 2173",Narrabeen,3,4,1,Townhouse,https://www.realestate.com.au/property/narrabeen/townhouse-16,realestate.com.au
"From $1,207,540",1207540.0,"543 Church St, Narrabeen NSW 2210",Narrabeen,4,2,0,Penthouse,https://www.realestate.com.au/property/narrabeen/penthouse-17,realestate.com.au
"Guide $863,539",863539.0,"804 Albert St, Narrabeen NSW 2882",Narrabeen,2,2,2,House,https://www.realestate.com.au/property/narrabeen/house-18,realestate.com.au
"Guide $2,277,958",2277958.0,"462 Pacific Highway, Narrabeen NSW 2464",Narrabeen,0,1,0,Studio,https://www.realestate.com.au/property/narrabeen/studio-19,realestate.com.au
"$2,386,528 - $2,530,575",2386528.0,"967 Edward St, Narrabeen NSW 2057",Narrabeen,1,1,0,Apartment / Unit / Flat,https://www.rent.com.au/property/narrabeen/apartment--unit--flat-20,rent.com.au
"$2,284,200 - $2,534,736",2284200.0,"253 King St, Narrabeen NSW 2620",Narrabeen,4,4,2,Penthouse,https://www.realestate.com.au/property/narrabeen/penthouse-21,realestate.com.au
"$608,401 ONO",608401.0,"244 Church St, Narrabeen NSW 2800",Narrabeen,2,2,1,Townhouse,https://www.realestate.com.au/property/narrabeen/townhouse-22,realestate.com.au
"$2,380,590",2380590.0,"173 James St, Narrabeen NSW 2077",Narrabeen,0,1,0,Studio,https://www.realestateview.com.au/property/narrabeen/studio-23,realestateview.com.au
"$2,161,247 - $2,244,626",2161247.0,"663 Church St, Narrabeen NSW 2662",Narrabeen,4,1,2,Townhouse,https://www.realestateview.com.au/property/narrabeen/townhouse-24,realestateview.com.au
