price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $3,269,725",3269725.0,"857 Military Rd, Newport NSW 2798",Newport,0,1,0,Studio,https://www.realestate.com.au/property/newport/studio-0,realestate.com.au
"$1,483,656 ONO",1483656.0,"509 Ocean Rd, Newport NSW 2839",Newport,2,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/newport/apartment--unit--flat-1,rent.com.au
"$1,587,663 - $1,753,211",1587663.0,"43 Albert St, Newport NSW 2156",Newport,2,1,0,Villa,https://www.rent.com.au/property/newport/villa-5,rent.com.au
"$1,515,479 - $1,641,153",1515479.0,"618 Princes Highway, Newport NSW 2318",Newport,0,1,2,Studio,https://www.domain.com.au/property/newport/studio-6,domain.com.au
"$3,611,704 ONO",3611704.0,"842 Victoria St, Newport NSW 2114",Newport,0,1,2,Studio,https://www.realestate.com.au/property/newport/studio-7,realestate.com.au
"From $819,607",819607.0,"68 The Boulevarde, Newport NSW 2625",Newport,5,2,0,Penthouse,https://www.realestate.com.au/property/newport/penthouse-8,realestate.com.au
"$3,982,189",3982189.0,"825 James St, Newport NSW 2834",Newport,0,1,2,Studio,https://www.realestate.com.au/property/newport/studio-9,realestate.com.au
"$1,483,969 ONO",1483969.0,"497 William St, Newport NSW 2201",Newport,0,1,1,Studio,https://www.domain.com.au/property/newport/studio-10,domain.com.au
"$3,876,676 ONO",3876676.0,"980 Edward St, Newport NSW 2944",Newport,5,4,1,Penthouse,https://www.rent.com.au/property/newport/penthouse-11,rent.com.au
"$1,071,971",1071971.0,"732 Ocean Rd, Newport NSW 2310",Newport,0,1,3,Studio,https://www.domain.com.au/property/newport/studio-12,domain.com.au
"$3,074,456",3074456.0,"877 James St, Newport NSW 2787",Newport,3,2,1,Apartment / Unit / Flat,https://www.rent.com.au/property/newport/apartment--unit--flat-13,rent.com.au
"Guide $3,724,158",3724158.0,"221 King St, Newport NSW 2242",Newport,3,4,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/newport/apartment--unit--flat-14,realestate.com.au
"$846,424",846424.0,"506 Edward St, Newport NSW 2889",Newport,2,2,1,Villa,https://www.realestate.com.au/property/newport/villa-15,realestate.com.au
"$2,272,795 - $2,442,728",2272795.0,"163 James St, Newport NSW 2463",Newport,4,2,2,Penthouse,https://www.realestate.com.au/property/newport/penthouse-17,realestate.com.au
"$2,463,562 - $2,703,647",2463562.0,"677 Main St, Newport NSW 2806",Newport,2,3,1,Villa,https://www.domain.com.au/property/newport/villa-18,domain.com.au
"$3,907,868 ONO",3907868.0,"230 Beach Rd, Newport NSW 2644",Newport,0,1,2,Studio,https://www.realestate.com.au/property/newport/studio-19,realestate.com.au
"$2,699,528",2699528.0,"596 Beach Rd, Newport NSW 2810",Newport,1,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/newport/apartment--unit--flat-21,domain.com.au
"$3,415,649 - $3,666,437",3415649.0,"377 George St, Newport NSW 2897",Newport,3,2,0,Villa,https://www.domain.com.au/property/newport/villa-22,domain.com.au
"$2,041,766",2041766.0,"31 Queen St, Newport NSW 2737",Newport,0,1,0,Studio,https://www.rent.com.au/property/newport/studio-23,rent.com.au
"$1,080,514 - $1,330,118",1080514.0,"389 Market St, Newport NSW 2184",Newport,1,1,3,Villa,https://www.rent.com.au/property/newport/villa-24,rent.com.au
