price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,958,000 - $2,202,626",1958000.0,"232 The Boulevarde, Normanhurst NSW 2330",Normanhurst,3,3,0,House,https://www.realestate.com.au/property/normanhurst/house-0,realestate.com.au
"From $1,176,555",1176555.0,"706 Military Rd, Normanhurst NSW 2003",Normanhurst,1,2,2,Villa,https://www.realestate.com.au/property/normanhurst/villa-1,realestate.com.au
"$915,197 - $1,027,314",915197.0,"897 Princes Highway, Normanhurst NSW 2693",Normanhurst,3,3,2,Penthouse,https://www.rent.com.au/property/normanhurst/penthouse-4,rent.com.au
"$1,934,926",1934926.0,"907 The Boulevarde, Normanhurst NSW 2046",Normanhurst,0,1,2,Studio,https://www.realestate.com.au/property/normanhurst/studio-5,realestate.com.au
"$866,697 - $1,010,289",866697.0,"631 Albert St, Normanhurst NSW 2869",Normanhurst,2,3,4,Townhouse,https://www.realestate.com.au/property/normanhurst/townhouse-7,realestate.com.au
"Guide $2,297,763",2297763.0,"304 Main St, Normanhurst NSW 2669",Normanhurst,5,4,2,Penthouse,https://www.domain.com.au/property/normanhurst/penthouse-8,domain.com.au
"$1,589,218 - $1,866,772",1589218.0,"388 Elizabeth St, Normanhurst NSW 2587",Normanhurst,3,1,2,Villa,https://www.rent.com.au/property/normanhurst/villa-9,rent.com.au
"$2,289,486 ONO",2289486.0,"891 Market St, Normanhurst NSW 2052",Normanhurst,1,2,0,Townhouse,https://www.realestate.com.au/property/normanhurst/townhouse-10,realestate.com.au
"$1,696,511 ONO",1696511.0,"894 Railway St, Normanhurst NSW 2196",Normanhurst,4,4,2,House,https://www.realestateview.com.au/property/normanhurst/house-11,realestateview.com.au
"From $915,835",915835.0,"109 Pacific Highway, Normanhurst NSW 2862",Normanhurst,3,4,1,Villa,https://www.realestateview.com.au/property/normanhurst/villa-12,realestateview.com.au
"$1,015,636 - $1,262,201",1015636.0,"804 William St, Normanhurst NSW 2166",Normanhurst,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/normanhurst/apartment--unit--flat-13,realestate.com.au
"$1,664,123 ONO",1664123.0,"555 Church St, Normanhurst NSW 2567",Normanhurst,5,2,1,Penthouse,https://www.realestate.com.au/property/normanhurst/penthouse-14,realestate.com.au
"From $2,372,844",2372844.0,"120 High St, Normanhurst NSW 2555",Normanhurst,1,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/normanhurst/apartment--unit--flat-15,realestateview.com.au
"Guide $1,165,280",1165280.0,"17 James St, Normanhurst NSW 2435",Normanhurst,3,2,1,Villa,https://www.realestateview.com.au/property/normanhurst/villa-16,realestateview.com.au
"$2,034,116 ONO",2034116.0,"221 Albert St, Normanhurst NSW 2898",Normanhurst,4,3,0,House,https://www.realestate.com.au/property/normanhurst/house-17,realestate.com.au
"Guide $2,386,146",2386146.0,"682 Market St, Normanhurst NSW 2017",Normanhurst,2,3,3,Villa,https://www.domain.com.au/property/normanhurst/villa-18,domain.com.au
"$1,964,272 ONO",1964272.0,"10 Main St, Normanhurst NSW 2371",Normanhurst,2,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/normanhurst/apartment--unit--flat-19,rent.com.au
"From $689,771",689771.0,"328 Ocean Rd, Normanhurst NSW 2927",Normanhurst,3,4,0,Villa,https://www.realestate.com.au/property/normanhurst/villa-20,realestate.com.au
"$1,076,788",1076788.0,"69 Princes Highway, Normanhurst NSW 2508",Normanhurst,2,3,3,House,https://www.realestateview.com.au/property/normanhurst/house-21,realestateview.com.au
"From $1,882,420",1882420.0,"894 Princes Highway, Normanhurst NSW 2295",Normanhurst,0,1,0,Studio,https://www.rent.com.au/property/normanhurst/studio-22,rent.com.au
"From $1,227,923",1227923.0,"145 High St, Normanhurst NSW 2778",Normanhurst,3,2,1,Villa,https://www.domain.com.au/property/normanhurst/villa-23,domain.com.au
"$1,081,998",1081998.0,"501 Beach Rd, Normanhurst NSW 2856",Normanhurst,2,3,2,Apartment / Unit / Flat,https://www.domain.com.au/property/normanhurst/apartment--unit--flat-24,domain.com.au
