price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$2,274,341 - $2,397,864",2274341.0,"605 William St, North Epping NSW 2804",North Epping,5,1,0,House,https://www.rent.com.au/property/north-epping/house-0,rent.com.au
"Guide $589,748",589748.0,"435 High St, North Epping NSW 2450",North Epping,0,1,2,Studio,https://www.domain.com.au/property/north-epping/studio-1,domain.com.au
"$2,325,533 ONO",2325533.0,"548 Pacific Highway, North Epping NSW 2339",North Epping,6,3,0,Penthouse,https://www.realestateview.com.au/property/north-epping/penthouse-2,realestateview.com.au
"$1,524,955",1524955.0,"554 Princes Highway, North Epping NSW 2229",North Epping,5,2,3,Penthouse,https://www.rent.com.au/property/north-epping/penthouse-3,rent.com.au
"Guide $1,914,799",1914799.0,"124 High St, North Epping NSW 2679",North Epping,3,3,3,Villa,https://www.rent.com.au/property/north-epping/villa-4,rent.com.au
"$1,785,788 ONO",1785788.0,"156 Ocean Rd, North Epping NSW 2255",North Epping,3,3,3,Penthouse,https://www.realestate.com.au/property/north-epping/penthouse-5,realestate.com.au
"Guide $2,102,994",2102994.0,"798 Church St, North Epping NSW 2243",North Epping,1,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/north-epping/apartment--unit--flat-6,realestateview.com.au
"$1,989,658",1989658.0,"766 William St, North Epping NSW 2983",North Epping,2,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-epping/apartment--unit--flat-7,realestate.com.au
"$1,563,390",1563390.0,"243 Elizabeth St, North Epping NSW 2802",North Epping,2,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/north-epping/apartment--unit--flat-8,rent.com.au
"Guide $2,140,094",2140094.0,"4 Edward St, North Epping NSW 2053",North Epping,3,3,4,Villa,https://www.rent.com.au/property/north-epping/villa-9,rent.com.au
"$1,247,565 ONO",1247565.0,"349 Elizabeth St, North Epping NSW 2374",North Epping,2,1,2,Villa,https://www.realestate.com.au/property/north-epping/villa-10,realestate.com.au
"$1,061,608 - $1,118,766",1061608.0,"373 Military Rd, North Epping NSW 2517",North Epping,1,2,3,House,https://www.realestate.com.au/property/north-epping/house-11,realestate.com.au
"$2,362,348",2362348.0,"501 The Boulevarde, North Epping NSW 2365",North Epping,3,4,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-epping/apartment--unit--flat-12,realestate.com.au
"From $1,109,193",1109193.0,"884 King St, North Epping NSW 2968",North Epping,0,1,2,Studio,https://www.realestate.com.au/property/north-epping/studio-13,realestate.com.au
"From $1,792,475",1792475.0,"365 Beach Rd, North Epping NSW 2145",North Epping,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-epping/apartment--unit--flat-14,realestate.com.au
"Guide $1,089,673",1089673.0,"765 James St, North Epping NSW 2529",North Epping,0,1,1,Studio,https://www.rent.com.au/property/north-epping/studio-15,rent.com.au
"$835,311 ONO",835311.0,"980 Victoria St, North Epping NSW 2476",North Epping,5,2,2,Penthouse,https://www.realestateview.com.au/property/north-epping/penthouse-16,realestateview.com.au
"$2,177,791",2177791.0,"866 Beach Rd, North Epping NSW 2749",North Epping,3,4,0,Penthouse,https://www.rent.com.au/property/north-epping/penthouse-17,rent.com.au
"Guide $1,370,694",1370694.0,"415 High St, North Epping NSW 2469",North Epping,0,1,0,Studio,https://www.rent.com.au/property/north-epping/studio-18,rent.com.au
"From $2,055,142",2055142.0,"157 The Boulevarde, North Epping NSW 2711",North Epping,0,1,1,Studio,https://www.realestateview.com.au/property/north-epping/studio-19,realestateview.com.au
"From $1,355,516",1355516.0,"887 Ocean Rd, North Epping NSW 2260",North Epping,2,3,0,Townhouse,https://www.realestateview.com.au/property/north-epping/townhouse-20,realestateview.com.au
"$1,057,602 ONO",1057602.0,"537 Albert St, North Epping NSW 2187",North Epping,5,1,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-epping/apartment--unit--flat-21,realestate.com.au
"From $846,841",846841.0,"796 The Boulevarde, North Epping NSW 2714",North Epping,3,3,2,Villa,https://www.realestate.com.au/property/north-epping/villa-22,realestate.com.au
"$888,801",888801.0,"977 William St, North Epping NSW 2365",North Epping,1,2,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-epping/apartment--unit--flat-23,realestate.com.au
"$1,577,593",1577593.0,"26 Main St, North Epping NSW 2447",North Epping,0,1,0,Studio,https://www.rent.com.au/property/north-epping/studio-24,rent.com.au
