price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,809,800",1809800.0,"494 The Boulevarde, North Narrabeen NSW 2028",North Narrabeen,2,3,2,Villa,https://www.rent.com.au/property/north-narrabeen/villa-0,rent.com.au
"From $977,191",977191.0,"765 Elizabeth St, North Narrabeen NSW 2746",North Narrabeen,2,3,1,House,https://www.realestateview.com.au/property/north-narrabeen/house-1,realestateview.com.au
"From $1,834,222",1834222.0,"605 Victoria St, North Narrabeen NSW 2492",North Narrabeen,2,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-narrabeen/apartment--unit--flat-2,realestate.com.au
"$880,885",880885.0,"188 Edward St, North Narrabeen NSW 2334",North Narrabeen,0,1,2,Studio,https://www.realestateview.com.au/property/north-narrabeen/studio-3,realestateview.com.au
"$763,978 - $1,034,458",763978.0,"613 Main St, North Narrabeen NSW 2158",North Narrabeen,2,2,0,Villa,https://www.realestateview.com.au/property/north-narrabeen/villa-4,realestateview.com.au
"Guide $992,081",992081.0,"203 High St, North Narrabeen NSW 2125",North Narrabeen,0,1,4,Studio,https://www.rent.com.au/property/north-narrabeen/studio-5,rent.com.au
"$1,864,659 - $2,031,016",1864659.0,"577 William St, North Narrabeen NSW 2342",North Narrabeen,4,4,2,Penthouse,https://www.realestateview.com.au/property/north-narrabeen/penthouse-6,realestateview.com.au
"$934,044",934044.0,"373 High St, North Narrabeen NSW 2622",North Narrabeen,2,1,0,Townhouse,https://www.domain.com.au/property/north-narrabeen/townhouse-7,domain.com.au
"$528,689",528689.0,"568 George St, North Narrabeen NSW 2207",North Narrabeen,1,1,1,Villa,https://www.realestateview.com.au/property/north-narrabeen/villa-8,realestateview.com.au
"$1,511,475 ONO",1511475.0,"511 Park Ave, North Narrabeen NSW 2161",North Narrabeen,2,2,0,Townhouse,https://www.realestateview.com.au/property/north-narrabeen/townhouse-9,realestateview.com.au
"From $1,556,996",1556996.0,"964 Queen St, North Narrabeen NSW 2726",North Narrabeen,0,1,0,Studio,https://www.rent.com.au/property/north-narrabeen/studio-10,rent.com.au
"Guide $1,031,760",1031760.0,"658 Edward St, North Narrabeen NSW 2697",North Narrabeen,5,2,0,House,https://www.domain.com.au/property/north-narrabeen/house-12,domain.com.au
"$598,726 - $808,783",598726.0,"947 Princes Highway, North Narrabeen NSW 2699",North Narrabeen,5,3,1,Penthouse,https://www.realestateview.com.au/property/north-narrabeen/penthouse-13,realestateview.com.au
"$1,554,800 ONO",1554800.0,"615 Victoria St, North Narrabeen NSW 2368",North Narrabeen,4,4,2,Villa,https://www.realestate.com.au/property/north-narrabeen/villa-14,realestate.com.au
"$2,371,903 ONO",2371903.0,"7 Beach Rd, North Narrabeen NSW 2117",North Narrabeen,5,3,2,Penthouse,https://www.domain.com.au/property/north-narrabeen/penthouse-15,domain.com.au
"Guide $1,958,948",1958948.0,"557 Princes Highway, North Narrabeen NSW 2623",North Narrabeen,6,4,0,Penthouse,https://www.domain.com.au/property/north-narrabeen/penthouse-16,domain.com.au
"Guide $1,410,821",1410821.0,"808 Edward St, North Narrabeen NSW 2792",North Narrabeen,2,3,1,Townhouse,https://www.rent.com.au/property/north-narrabeen/townhouse-17,rent.com.au
"$1,988,377 - $2,288,060",1988377.0,"363 Queen St, North Narrabeen NSW 2271",North Narrabeen,5,4,2,Penthouse,https://www.rent.com.au/property/north-narrabeen/penthouse-18,rent.com.au
"$2,210,040 - $2,498,510",2210040.0,"970 Princes Highway, North Narrabeen NSW 2594",North Narrabeen,2,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-narrabeen/apartment--unit--flat-19,realestate.com.au
"From $2,073,982",2073982.0,"822 Albert St, North Narrabeen NSW 2755",North Narrabeen,4,4,1,Penthouse,https://www.domain.com.au/property/north-narrabeen/penthouse-21,domain.com.au
"$2,039,426 ONO",2039426.0,"193 Albert St, North Narrabeen NSW 2419",North Narrabeen,6,2,0,Penthouse,https://www.realestate.com.au/property/north-narrabeen/penthouse-22,realestate.com.au
"$1,994,254",1994254.0,"188 Church St, North Narrabeen NSW 2488",North Narrabeen,5,1,1,Villa,https://www.rent.com.au/property/north-narrabeen/villa-23,rent.com.au
"$1,492,747 - $1,782,358",1492747.0,"180 King St, North Narrabeen NSW 2709",North Narrabeen,0,1,0,Studio,https://www.realestateview.com.au/property/north-narrabeen/studio-24,realestateview.com.au
