price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $783,752",783752.0,"919 Elizabeth St, North Sydney NSW 2963",North Sydney,0,1,0,Studio,https://www.rent.com.au/property/north-sydney/studio-0,rent.com.au
"$571,234 - $752,833",571234.0,"713 Beach Rd, North Sydney NSW 2204",North Sydney,1,2,2,Villa,https://www.domain.com.au/property/north-sydney/villa-2,domain.com.au
"Guide $1,291,998",1291998.0,"346 Park Ave, North Sydney NSW 2372",North Sydney,6,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/north-sydney/apartment--unit--flat-4,realestateview.com.au
"$2,059,761 - $2,132,899",2059761.0,"693 Ocean Rd, North Sydney NSW 2038",North Sydney,3,3,1,Penthouse,https://www.realestate.com.au/property/north-sydney/penthouse-5,realestate.com.au
"$1,666,622 - $1,834,922",1666622.0,"419 Railway St, North Sydney NSW 2127",North Sydney,3,3,1,Villa,https://www.realestateview.com.au/property/north-sydney/villa-6,realestateview.com.au
"$1,803,715 ONO",1803715.0,"888 Albert St, North Sydney NSW 2270",North Sydney,5,2,2,Penthouse,https://www.rent.com.au/property/north-sydney/penthouse-7,rent.com.au
"$2,121,074 - $2,332,928",2121074.0,"282 High St, North Sydney NSW 2390",North Sydney,6,4,2,Penthouse,https://www.rent.com.au/property/north-sydney/penthouse-8,rent.com.au
"$522,267 - $674,626",522267.0,"39 Pacific Highway, North Sydney NSW 2313",North Sydney,6,4,0,Penthouse,https://www.realestateview.com.au/property/north-sydney/penthouse-9,realestateview.com.au
"$1,052,285 - $1,248,722",1052285.0,"644 Market St, North Sydney NSW 2860",North Sydney,1,2,1,House,https://www.realestateview.com.au/property/north-sydney/house-10,realestateview.com.au
"$1,119,642",1119642.0,"213 Edward St, North Sydney NSW 2462",North Sydney,0,1,3,Studio,https://www.realestate.com.au/property/north-sydney/studio-11,realestate.com.au
"$1,022,366",1022366.0,"32 Albert St, North Sydney NSW 2279",North Sydney,4,4,1,Villa,https://www.realestate.com.au/property/north-sydney/villa-13,realestate.com.au
"$1,147,360 ONO",1147360.0,"534 Beach Rd, North Sydney NSW 2008",North Sydney,5,4,2,Penthouse,https://www.domain.com.au/property/north-sydney/penthouse-14,domain.com.au
"$740,417",740417.0,"822 Market St, North Sydney NSW 2547",North Sydney,5,4,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/north-sydney/apartment--unit--flat-15,realestate.com.au
"$549,409 - $826,099",549409.0,"107 Main St, North Sydney NSW 2765",North Sydney,2,1,0,House,https://www.rent.com.au/property/north-sydney/house-16,rent.com.au
"$956,578 - $1,010,747",956578.0,"110 Edward St, North Sydney NSW 2257",North Sydney,3,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/north-sydney/apartment--unit--flat-17,realestateview.com.au
"From $2,337,184",2337184.0,"796 Park Ave, North Sydney NSW 2744",North Sydney,3,2,0,House,https://www.domain.com.au/property/north-sydney/house-18,domain.com.au
"$1,367,971 - $1,617,132",1367971.0,"670 William St, North Sydney NSW 2385",North Sydney,0,1,1,Studio,https://www.rent.com.au/property/north-sydney/studio-19,rent.com.au
"$976,263 ONO",976263.0,"994 The Boulevarde, North Sydney NSW 2186",North Sydney,0,1,0,Studio,https://www.rent.com.au/property/north-sydney/studio-21,rent.com.au
"$1,668,449 - $1,887,709",1668449.0,"54 Pacific Highway, North Sydney NSW 2470",North Sydney,2,3,2,Townhouse,https://www.rent.com.au/property/north-sydney/townhouse-22,rent.com.au
"Guide $802,690",802690.0,"758 William St, North Sydney NSW 2365",North Sydney,3,2,3,House,https://www.domain.com.au/property/north-sydney/house-24,domain.com.au
