price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $2,275,650",2275650.0,"196 Market St, Norwest NSW 2690",Norwest,2,3,3,Apartment / Unit / Flat,https://www.domain.com.au/property/norwest/apartment--unit--flat-0,domain.com.au
"Guide $1,041,924",1041924.0,"319 Edward St, Norwest NSW 2883",Norwest,5,3,0,Townhouse,https://www.realestateview.com.au/property/norwest/townhouse-1,realestateview.com.au
"From $1,726,339",1726339.0,"965 High St, Norwest NSW 2979",Norwest,0,1,1,Studio,https://www.rent.com.au/property/norwest/studio-2,rent.com.au
"Guide $1,101,565",1101565.0,"667 High St, Norwest NSW 2156",Norwest,5,4,0,Penthouse,https://www.rent.com.au/property/norwest/penthouse-3,rent.com.au
"Guide $1,936,220",1936220.0,"951 The Boulevarde, Norwest NSW 2142",Norwest,0,1,1,Studio,https://www.realestate.com.au/property/norwest/studio-4,realestate.com.au
"$883,060 ONO",883060.0,"569 Victoria St, Norwest NSW 2879",Norwest,0,1,0,Studio,https://www.realestateview.com.au/property/norwest/studio-5,realestateview.com.au
"Guide $2,043,590",2043590.0,"745 Military Rd, Norwest NSW 2809",Norwest,4,4,0,House,https://www.rent.com.au/property/norwest/house-6,rent.com.au
"$2,127,664 ONO",2127664.0,"312 Victoria St, Norwest NSW 2515",Norwest,2,1,0,House,https://www.realestateview.com.au/property/norwest/house-7,realestateview.com.au
"$967,659 - $1,045,004",967659.0,"745 Market St, Norwest NSW 2784",Norwest,1,1,1,Villa,https://www.rent.com.au/property/norwest/villa-8,rent.com.au
"From $1,906,066",1906066.0,"929 King St, Norwest NSW 2653",Norwest,6,3,0,Penthouse,https://www.realestate.com.au/property/norwest/penthouse-9,realestate.com.au
"From $807,744",807744.0,"793 George St, Norwest NSW 2109",Norwest,6,3,2,Penthouse,https://www.realestate.com.au/property/norwest/penthouse-10,realestate.com.au
"From $1,752,096",1752096.0,"830 Railway St, Norwest NSW 2498",Norwest,0,1,1,Studio,https://www.realestateview.com.au/property/norwest/studio-11,realestateview.com.au
"Guide $1,777,340",1777340.0,"916 Park Ave, Norwest NSW 2849",Norwest,1,2,1,Villa,https://www.realestate.com.au/property/norwest/villa-13,realestate.com.au
"$2,002,952 - $2,089,423",2002952.0,"905 High St, Norwest NSW 2658",Norwest,3,3,0,Penthouse,https://www.realestate.com.au/property/norwest/penthouse-14,realestate.com.au
"$2,443,940 - $2,527,551",2443940.0,"548 Ocean Rd, Norwest NSW 2798",Norwest,3,1,1,Apartment / Unit / Flat,https://www.domain.com.au/property/norwest/apartment--unit--flat-15,domain.com.au
"Guide $798,585",798585.0,"29 The Boulevarde, Norwest NSW 2406",Norwest,4,2,2,House,https://www.realestate.com.au/property/norwest/house-16,realestate.com.au
"From $1,030,362",1030362.0,"827 George St, Norwest NSW 2361",Norwest,6,4,0,Penthouse,https://www.realestateview.com.au/property/norwest/penthouse-17,realestateview.com.au
"$1,339,194 - $1,461,299",1339194.0,"493 The Boulevarde, Norwest NSW 2042",Norwest,6,3,1,Penthouse,https://www.domain.com.au/property/norwest/penthouse-18,domain.com.au
"$1,549,877",1549877.0,"224 Beach Rd, Norwest NSW 2369",Norwest,0,1,1,Studio,https://www.realestateview.com.au/property/norwest/studio-19,realestateview.com.au
"$1,504,407",1504407.0,"37 Main St, Norwest NSW 2329",Norwest,2,2,2,Townhouse,https://www.realestateview.com.au/property/norwest/townhouse-20,realestateview.com.au
"$530,941 ONO",530941.0,"407 Main St, Norwest NSW 2825",Norwest,2,1,2,Townhouse,https://www.realestateview.com.au/property/norwest/townhouse-21,realestateview.com.au
"$1,476,075",1476075.0,"128 Albert St, Norwest NSW 2356",Norwest,2,1,2,Townhouse,https://www.realestateview.com.au/property/norwest/townhouse-22,realestateview.com.au
"$1,332,350 ONO",1332350.0,"771 William St, Norwest NSW 2615",Norwest,3,1,2,Townhouse,https://www.domain.com.au/property/norwest/townhouse-23,domain.com.au
