price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $850,688",850688.0,"454 Edward St, Oatley NSW 2367",Oatley,4,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/oatley/apartment--unit--flat-1,rent.com.au
"$637,126 ONO",637126.0,"833 Church St, Oatley NSW 2814",Oatley,3,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/oatley/apartment--unit--flat-2,rent.com.au
"$2,332,269",2332269.0,"23 High St, Oatley NSW 2727",Oatley,6,4,0,Penthouse,https://www.rent.com.au/property/oatley/penthouse-3,rent.com.au
"$1,515,306",1515306.0,"738 High St, Oatley NSW 2876",Oatley,3,2,0,Penthouse,https://www.domain.com.au/property/oatley/penthouse-4,domain.com.au
"Guide $1,286,926",1286926.0,"545 King St, Oatley NSW 2342",Oatley,2,2,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/oatley/apartment--unit--flat-5,realestateview.com.au
"Guide $1,699,773",1699773.0,"381 Princes Highway, Oatley NSW 2546",Oatley,3,2,2,Villa,https://www.rent.com.au/property/oatley/villa-6,rent.com.au
"$2,229,257",2229257.0,"314 The Boulevarde, Oatley NSW 2977",Oatley,4,3,0,Villa,https://www.domain.com.au/property/oatley/villa-7,domain.com.au
"$805,512 ONO",805512.0,"182 Victoria St, Oatley NSW 2791",Oatley,3,3,4,Apartment / Unit / Flat,https://www.realestate.com.au/property/oatley/apartment--unit--flat-8,realestate.com.au
"$2,163,362",2163362.0,"931 Ocean Rd, Oatley NSW 2048",Oatley,2,2,1,Townhouse,https://www.realestate.com.au/property/oatley/townhouse-9,realestate.com.au
"Guide $2,125,542",2125542.0,"890 Military Rd, Oatley NSW 2608",Oatley,3,2,1,Penthouse,https://www.rent.com.au/property/oatley/penthouse-10,rent.com.au
"$2,039,131 - $2,231,395",2039131.0,"80 Albert St, Oatley NSW 2043",Oatley,3,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/oatley/apartment--unit--flat-11,domain.com.au
"From $1,405,559",1405559.0,"537 Market St, Oatley NSW 2128",Oatley,5,3,0,Penthouse,https://www.realestateview.com.au/property/oatley/penthouse-12,realestateview.com.au
"$1,547,620 - $1,761,439",1547620.0,"466 Edward St, Oatley NSW 2119",Oatley,5,4,2,Penthouse,https://www.realestateview.com.au/property/oatley/penthouse-13,realestateview.com.au
"$1,764,401 - $2,037,997",1764401.0,"661 Princes Highway, Oatley NSW 2291",Oatley,2,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/oatley/apartment--unit--flat-14,realestate.com.au
"$1,298,104 - $1,360,196",1298104.0,"88 Park Ave, Oatley NSW 2035",Oatley,1,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/oatley/apartment--unit--flat-15,realestate.com.au
"From $547,672",547672.0,"964 Market St, Oatley NSW 2750",Oatley,0,1,2,Studio,https://www.rent.com.au/property/oatley/studio-16,rent.com.au
"$2,016,379 ONO",2016379.0,"739 James St, Oatley NSW 2581",Oatley,2,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/oatley/apartment--unit--flat-18,realestateview.com.au
"From $566,760",566760.0,"955 Railway St, Oatley NSW 2735",Oatley,0,1,1,Studio,https://www.realestateview.com.au/property/oatley/studio-19,realestateview.com.au
"$771,135",771135.0,"69 George St, Oatley NSW 2392",Oatley,1,2,0,Townhouse,https://www.domain.com.au/property/oatley/townhouse-21,domain.com.au
"From $1,161,305",1161305.0,"741 William St, Oatley NSW 2172",Oatley,1,1,1,House,https://www.realestate.com.au/property/oatley/house-22,realestate.com.au
"$683,883 ONO",683883.0,"962 James St, Oatley NSW 2176",Oatley,3,2,3,House,https://www.domain.com.au/property/oatley/house-23,domain.com.au
"$1,668,020",1668020.0,"921 Edward St, Oatley NSW 2486",Oatley,6,3,2,Penthouse,https://www.domain.com.au/property/oatley/penthouse-24,domain.com.au
