price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,374,938 - $1,648,903",1374938.0,"55 George St, Olympic Park NSW 2895",Olympic Park,1,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/olympic-park/apartment--unit--flat-0,domain.com.au
"$1,076,361 ONO",1076361.0,"941 Queen St, Olympic Park NSW 2607",Olympic Park,3,4,2,Villa,https://www.realestateview.com.au/property/olympic-park/villa-1,realestateview.com.au
"$844,427 - $1,080,163",844427.0,"585 George St, Olympic Park NSW 2874",Olympic Park,2,3,0,House,https://www.domain.com.au/property/olympic-park/house-3,domain.com.au
"From $2,012,307",2012307.0,"539 George St, Olympic Park NSW 2865",Olympic Park,4,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/olympic-park/apartment--unit--flat-4,realestate.com.au
"$2,379,509 - $2,656,921",2379509.0,"399 The Boulevarde, Olympic Park NSW 2902",Olympic Park,3,4,0,Penthouse,https://www.realestateview.com.au/property/olympic-park/penthouse-5,realestateview.com.au
"$1,065,342 - $1,157,751",1065342.0,"120 Princes Highway, Olympic Park NSW 2295",Olympic Park,0,1,0,Studio,https://www.realestate.com.au/property/olympic-park/studio-6,realestate.com.au
"$720,825",720825.0,"808 Victoria St, Olympic Park NSW 2689",Olympic Park,2,3,1,Villa,https://www.rent.com.au/property/olympic-park/villa-7,rent.com.au
"$2,153,138 - $2,282,984",2153138.0,"386 King St, Olympic Park NSW 2014",Olympic Park,2,1,2,Apartment / Unit / Flat,https://www.realestateview.com.au/property/olympic-park/apartment--unit--flat-8,realestateview.com.au
"Guide $2,397,546",2397546.0,"849 Railway St, Olympic Park NSW 2332",Olympic Park,4,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/olympic-park/apartment--unit--flat-9,realestate.com.au
"From $872,644",872644.0,"324 High St, Olympic Park NSW 2574",Olympic Park,2,1,1,House,https://www.realestate.com.au/property/olympic-park/house-10,realestate.com.au
"Guide $1,110,454",1110454.0,"174 George St, Olympic Park NSW 2915",Olympic Park,2,1,3,Apartment / Unit / Flat,https://www.domain.com.au/property/olympic-park/apartment--unit--flat-11,domain.com.au
"$2,059,557",2059557.0,"309 Railway St, Olympic Park NSW 2369",Olympic Park,2,1,0,House,https://www.rent.com.au/property/olympic-park/house-12,rent.com.au
"Guide $1,425,912",1425912.0,"249 George St, Olympic Park NSW 2267",Olympic Park,6,3,1,Penthouse,https://www.realestate.com.au/property/olympic-park/penthouse-13,realestate.com.au
"$2,455,098 ONO",2455098.0,"530 James St, Olympic Park NSW 2074",Olympic Park,1,2,3,Apartment / Unit / Flat,https://www.domain.com.au/property/olympic-park/apartment--unit--flat-14,domain.com.au
"$2,217,272",2217272.0,"151 Church St, Olympic Park NSW 2811",Olympic Park,2,2,1,House,https://www.realestateview.com.au/property/olympic-park/house-15,realestateview.com.au
"$969,736",969736.0,"456 Elizabeth St, Olympic Park NSW 2926",Olympic Park,3,4,0,Penthouse,https://www.rent.com.au/property/olympic-park/penthouse-16,rent.com.au
"$1,368,574 - $1,501,847",1368574.0,"485 Queen St, Olympic Park NSW 2170",Olympic Park,0,1,0,Studio,https://www.domain.com.au/property/olympic-park/studio-17,domain.com.au
"$892,780 ONO",892780.0,"123 Church St, Olympic Park NSW 2674",Olympic Park,3,4,4,Villa,https://www.rent.com.au/property/olympic-park/villa-18,rent.com.au
"$839,257",839257.0,"821 Military Rd, Olympic Park NSW 2180",Olympic Park,3,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/olympic-park/apartment--unit--flat-19,domain.com.au
"$672,157 - $806,010",672157.0,"564 Princes Highway, Olympic Park NSW 2293",Olympic Park,4,3,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/olympic-park/apartment--unit--flat-21,realestate.com.au
"$2,251,249",2251249.0,"577 William St, Olympic Park NSW 2165",Olympic Park,4,1,2,Townhouse,https://www.realestateview.com.au/property/olympic-park/townhouse-22,realestateview.com.au
"$996,848",996848.0,"408 Edward St, Olympic Park NSW 2810",Olympic Park,3,4,1,Apartment / Unit / Flat,https://www.domain.com.au/property/olympic-park/apartment--unit--flat-23,domain.com.au
"$1,747,053 - $2,038,166",1747053.0,"74 Elizabeth St, Olympic Park NSW 2506",Olympic Park,0,1,1,Studio,https://www.realestate.com.au/property/olympic-park/studio-24,realestate.com.au
