price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$582,934 ONO",582934.0,"753 High St, Oxley Park NSW 2940",Oxley Park,1,1,2,House,https://www.rent.com.au/property/oxley-park/house-0,rent.com.au
"Guide $549,877",549877.0,"896 Church St, Oxley Park NSW 2574",Oxley Park,3,2,0,House,https://www.realestateview.com.au/property/oxley-park/house-1,realestateview.com.au
"$1,571,645 - $1,653,393",1571645.0,"835 The Boulevarde, Oxley Park NSW 2296",Oxley Park,2,1,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/oxley-park/apartment--unit--flat-2,realestateview.com.au
"$1,564,029 ONO",1564029.0,"506 Market St, Oxley Park NSW 2742",Oxley Park,0,1,4,Studio,https://www.realestate.com.au/property/oxley-park/studio-3,realestate.com.au
"$1,375,974 ONO",1375974.0,"507 James St, Oxley Park NSW 2546",Oxley Park,4,2,2,Apartment / Unit / Flat,https://www.rent.com.au/property/oxley-park/apartment--unit--flat-5,rent.com.au
"$1,667,071 - $1,733,763",1667071.0,"207 Elizabeth St, Oxley Park NSW 2533",Oxley Park,5,4,0,Penthouse,https://www.domain.com.au/property/oxley-park/penthouse-6,domain.com.au
"Guide $1,854,695",1854695.0,"568 Victoria St, Oxley Park NSW 2695",Oxley Park,5,4,3,House,https://www.realestateview.com.au/property/oxley-park/house-8,realestateview.com.au
"From $1,896,488",1896488.0,"370 Princes Highway, Oxley Park NSW 2989",Oxley Park,4,4,0,House,https://www.realestate.com.au/property/oxley-park/house-9,realestate.com.au
"From $1,554,322",1554322.0,"765 High St, Oxley Park NSW 2629",Oxley Park,2,2,1,House,https://www.realestate.com.au/property/oxley-park/house-10,realestate.com.au
"$1,681,474",1681474.0,"197 Pacific Highway, Oxley Park NSW 2450",Oxley Park,3,4,2,House,https://www.rent.com.au/property/oxley-park/house-11,rent.com.au
"$1,714,931 - $1,873,421",1714931.0,"550 Princes Highway, Oxley Park NSW 2363",Oxley Park,2,3,2,Townhouse,https://www.rent.com.au/property/oxley-park/townhouse-12,rent.com.au
"$802,475 ONO",802475.0,"259 William St, Oxley Park NSW 2626",Oxley Park,4,2,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/oxley-park/apartment--unit--flat-13,realestateview.com.au
"Guide $2,241,955",2241955.0,"171 Main St, Oxley Park NSW 2769",Oxley Park,4,2,3,Townhouse,https://www.realestate.com.au/property/oxley-park/townhouse-14,realestate.com.au
"From $2,176,535",2176535.0,"865 The Boulevarde, Oxley Park NSW 2310",Oxley Park,4,1,1,Villa,https://www.realestateview.com.au/property/oxley-park/villa-15,realestateview.com.au
"Guide $2,198,839",2198839.0,"890 Victoria St, Oxley Park NSW 2772",Oxley Park,2,2,2,Villa,https://www.domain.com.au/property/oxley-park/villa-17,domain.com.au
"From $1,674,177",1674177.0,"478 Edward St, Oxley Park NSW 2455",Oxley Park,3,4,3,House,https://www.domain.com.au/property/oxley-park/house-19,domain.com.au
"Guide $1,840,611",1840611.0,"147 Edward St, Oxley Park NSW 2587",Oxley Park,4,4,0,House,https://www.rent.com.au/property/oxley-park/house-20,rent.com.au
"$1,007,975 - $1,175,150",1007975.0,"814 High St, Oxley Park NSW 2073",Oxley Park,5,2,3,Townhouse,https://www.realestate.com.au/property/oxley-park/townhouse-21,realestate.com.au
"Guide $1,216,526",1216526.0,"758 William St, Oxley Park NSW 2275",Oxley Park,1,2,1,Townhouse,https://www.realestate.com.au/property/oxley-park/townhouse-22,realestate.com.au
"From $2,155,090",2155090.0,"976 Railway St, Oxley Park NSW 2019",Oxley Park,4,1,1,Villa,https://www.domain.com.au/property/oxley-park/villa-23,domain.com.au
"From $983,575",983575.0,"716 Market St, Oxley Park NSW 2532",Oxley Park,0,1,2,Studio,https://www.rent.com.au/property/oxley-park/studio-24,rent.com.au
