price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$526,496",526496.0,"439 High St, Oyster Bay NSW 2742",Oyster Bay,3,3,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/oyster-bay/apartment--unit--flat-0,realestateview.com.au
"From $2,474,339",2474339.0,"620 George St, Oyster Bay NSW 2383",Oyster Bay,2,1,2,House,https://www.domain.com.au/property/oyster-bay/house-1,domain.com.au
"$2,234,905 - $2,478,620",2234905.0,"819 Elizabeth St, Oyster Bay NSW 2645",Oyster Bay,2,3,0,Apartment / Unit / Flat,https://www.domain.com.au/property/oyster-bay/apartment--unit--flat-4,domain.com.au
"$612,531 - $888,050",612531.0,"374 Ocean Rd, Oyster Bay NSW 2599",Oyster Bay,3,4,0,Penthouse,https://www.rent.com.au/property/oyster-bay/penthouse-5,rent.com.au
"$1,153,729 - $1,241,448",1153729.0,"251 Military Rd, Oyster Bay NSW 2384",Oyster Bay,3,2,1,Villa,https://www.rent.com.au/property/oyster-bay/villa-7,rent.com.au
"Guide $810,744",810744.0,"670 George St, Oyster Bay NSW 2007",Oyster Bay,3,1,1,Townhouse,https://www.realestateview.com.au/property/oyster-bay/townhouse-8,realestateview.com.au
"$1,663,326",1663326.0,"539 Railway St, Oyster Bay NSW 2409",Oyster Bay,3,2,0,Villa,https://www.domain.com.au/property/oyster-bay/villa-9,domain.com.au
"From $2,312,140",2312140.0,"635 Market St, Oyster Bay NSW 2004",Oyster Bay,6,4,0,Penthouse,https://www.rent.com.au/property/oyster-bay/penthouse-10,rent.com.au
"$1,201,612",1201612.0,"576 Pacific Highway, Oyster Bay NSW 2875",Oyster Bay,2,3,1,Townhouse,https://www.domain.com.au/property/oyster-bay/townhouse-11,domain.com.au
"$2,031,122",2031122.0,"663 The Boulevarde, Oyster Bay NSW 2599",Oyster Bay,6,2,1,Penthouse,https://www.domain.com.au/property/oyster-bay/penthouse-12,domain.com.au
"$804,683",804683.0,"732 Ocean Rd, Oyster Bay NSW 2495",Oyster Bay,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/oyster-bay/apartment--unit--flat-13,domain.com.au
"$1,417,566 - $1,664,737",1417566.0,"17 King St, Oyster Bay NSW 2452",Oyster Bay,2,3,2,House,https://www.rent.com.au/property/oyster-bay/house-14,rent.com.au
"$813,909 - $980,399",813909.0,"44 The Boulevarde, Oyster Bay NSW 2780",Oyster Bay,3,4,2,Villa,https://www.realestate.com.au/property/oyster-bay/villa-15,realestate.com.au
"From $678,967",678967.0,"869 Victoria St, Oyster Bay NSW 2228",Oyster Bay,3,1,3,House,https://www.realestate.com.au/property/oyster-bay/house-16,realestate.com.au
"$1,650,720 - $1,705,114",1650720.0,"649 Beach Rd, Oyster Bay NSW 2080",Oyster Bay,2,3,0,Townhouse,https://www.domain.com.au/property/oyster-bay/townhouse-18,domain.com.au
"Guide $1,138,540",1138540.0,"612 Victoria St, Oyster Bay NSW 2844",Oyster Bay,3,2,3,Apartment / Unit / Flat,https://www.rent.com.au/property/oyster-bay/apartment--unit--flat-19,rent.com.au
"Guide $2,462,338",2462338.0,"144 Princes Highway, Oyster Bay NSW 2022",Oyster Bay,3,4,1,Penthouse,https://www.domain.com.au/property/oyster-bay/penthouse-20,domain.com.au
"$945,388 - $1,023,827",945388.0,"894 Park Ave, Oyster Bay NSW 2745",Oyster Bay,0,1,0,Studio,https://www.realestate.com.au/property/oyster-bay/studio-21,realestate.com.au
"$1,402,131",1402131.0,"511 The Boulevarde, Oyster Bay NSW 2184",Oyster Bay,4,4,2,House,https://www.rent.com.au/property/oyster-bay/house-22,rent.com.au
"Guide $1,165,803",1165803.0,"562 Park Ave, Oyster Bay NSW 2256",Oyster Bay,3,4,1,Villa,https://www.rent.com.au/property/oyster-bay/villa-23,rent.com.au
"From $1,163,734",1163734.0,"150 Market St, Oyster Bay NSW 2102",Oyster Bay,5,2,1,Townhouse,https://www.rent.com.au/property/oyster-bay/townhouse-24,rent.com.au
