price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$955,758 ONO",955758.0,"332 Albert St, Paddington NSW 2197",Paddington,5,2,0,Penthouse,https://www.realestateview.com.au/property/paddington/penthouse-1,realestateview.com.au
"Guide $2,040,362",2040362.0,"652 Military Rd, Paddington NSW 2435",Paddington,2,2,0,Townhouse,https://www.rent.com.au/property/paddington/townhouse-2,rent.com.au
"$594,744 - $768,625",594744.0,"498 Elizabeth St, Paddington NSW 2203",Paddington,3,3,0,Townhouse,https://www.domain.com.au/property/paddington/townhouse-3,domain.com.au
"$1,885,893 - $1,997,569",1885893.0,"789 Pacific Highway, Paddington NSW 2698",Paddington,3,3,1,Penthouse,https://www.rent.com.au/property/paddington/penthouse-4,rent.com.au
"$1,996,103 ONO",1996103.0,"657 Beach Rd, Paddington NSW 2098",Paddington,0,1,1,Studio,https://www.rent.com.au/property/paddington/studio-6,rent.com.au
"From $2,158,738",2158738.0,"246 Main St, Paddington NSW 2808",Paddington,3,4,1,House,https://www.realestateview.com.au/property/paddington/house-7,realestateview.com.au
"$878,354",878354.0,"635 Victoria St, Paddington NSW 2751",Paddington,1,1,0,Villa,https://www.domain.com.au/property/paddington/villa-9,domain.com.au
"$1,051,622",1051622.0,"649 The Boulevarde, Paddington NSW 2712",Paddington,3,2,0,Penthouse,https://www.domain.com.au/property/paddington/penthouse-10,domain.com.au
"$2,026,310 ONO",2026310.0,"320 Princes Highway, Paddington NSW 2240",Paddington,4,1,1,Villa,https://www.realestate.com.au/property/paddington/villa-12,realestate.com.au
"$936,712",936712.0,"448 George St, Paddington NSW 2840",Paddington,3,2,1,Townhouse,https://www.domain.com.au/property/paddington/townhouse-13,domain.com.au
"$1,386,384",1386384.0,"904 Beach Rd, Paddington NSW 2297",Paddington,0,1,1,Studio,https://www.rent.com.au/property/paddington/studio-14,rent.com.au
"Guide $2,407,205",2407205.0,"626 Albert St, Paddington NSW 2802",Paddington,2,1,3,Townhouse,https://www.realestateview.com.au/property/paddington/townhouse-16,realestateview.com.au
"$1,584,741 ONO",1584741.0,"881 James St, Paddington NSW 2762",Paddington,0,1,0,Studio,https://www.realestate.com.au/property/paddington/studio-17,realestate.com.au
"$1,747,368",1747368.0,"872 King St, Paddington NSW 2669",Paddington,2,2,1,Apartment / Unit / Flat,https://www.realestateview.com.au/property/paddington/apartment--unit--flat-18,realestateview.com.au
"$1,104,514 - $1,162,752",1104514.0,"421 Beach Rd, Paddington NSW 2695",Paddington,0,1,0,Studio,https://www.rent.com.au/property/paddington/studio-19,rent.com.au
"Guide $1,412,587",1412587.0,"22 The Boulevarde, Paddington NSW 2359",Paddington,1,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/paddington/apartment--unit--flat-20,rent.com.au
"$739,336 - $944,268",739336.0,"626 Railway St, Paddington NSW 2068",Paddington,4,4,1,Penthouse,https://www.rent.com.au/property/paddington/penthouse-21,rent.com.au
"Guide $1,076,777",1076777.0,"887 James St, Paddington NSW 2022",Paddington,1,2,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/paddington/apartment--unit--flat-23,realestate.com.au
"From $2,053,246",2053246.0,"870 Pacific Highway, Paddington NSW 2542",Paddington,2,3,0,Townhouse,https://www.realestate.com.au/property/paddington/townhouse-24,realestate.com.au
