price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,646,922 ONO",1646922.0,"380 Military Rd, Panania NSW 2455",Panania,3,1,2,Townhouse,https://www.domain.com.au/property/panania/townhouse-0,domain.com.au
"Guide $2,192,053",2192053.0,"228 Beach Rd, Panania NSW 2915",Panania,2,3,4,Townhouse,https://www.realestate.com.au/property/panania/townhouse-2,realestate.com.au
"Guide $2,470,116",2470116.0,"188 George St, Panania NSW 2934",Panania,3,4,0,Townhouse,https://www.realestate.com.au/property/panania/townhouse-3,realestate.com.au
"$1,992,529 - $2,153,467",1992529.0,"567 Railway St, Panania NSW 2808",Panania,0,1,1,Studio,https://www.realestate.com.au/property/panania/studio-4,realestate.com.au
"Guide $744,809",744809.0,"441 Albert St, Panania NSW 2872",Panania,6,2,0,Penthouse,https://www.domain.com.au/property/panania/penthouse-5,domain.com.au
"From $2,127,398",2127398.0,"538 Park Ave, Panania NSW 2540",Panania,3,1,3,Apartment / Unit / Flat,https://www.rent.com.au/property/panania/apartment--unit--flat-6,rent.com.au
"$687,171 - $859,579",687171.0,"796 James St, Panania NSW 2577",Panania,2,3,3,House,https://www.rent.com.au/property/panania/house-7,rent.com.au
"$1,971,232 - $2,149,616",1971232.0,"831 Queen St, Panania NSW 2940",Panania,4,1,3,Townhouse,https://www.rent.com.au/property/panania/townhouse-8,rent.com.au
"$968,213 ONO",968213.0,"183 James St, Panania NSW 2471",Panania,0,1,4,Studio,https://www.rent.com.au/property/panania/studio-9,rent.com.au
"$610,388",610388.0,"682 The Boulevarde, Panania NSW 2636",Panania,4,3,2,Villa,https://www.rent.com.au/property/panania/villa-10,rent.com.au
"Guide $756,885",756885.0,"597 James St, Panania NSW 2895",Panania,3,3,0,House,https://www.realestate.com.au/property/panania/house-11,realestate.com.au
"$2,215,067 ONO",2215067.0,"2 Victoria St, Panania NSW 2814",Panania,1,1,1,House,https://www.domain.com.au/property/panania/house-12,domain.com.au
"From $1,790,738",1790738.0,"115 Albert St, Panania NSW 2737",Panania,2,1,0,Villa,https://www.realestate.com.au/property/panania/villa-13,realestate.com.au
"$2,387,840 ONO",2387840.0,"625 High St, Panania NSW 2449",Panania,0,1,3,Studio,https://www.domain.com.au/property/panania/studio-14,domain.com.au
"$1,912,479 ONO",1912479.0,"398 William St, Panania NSW 2131",Panania,6,4,4,House,https://www.realestateview.com.au/property/panania/house-15,realestateview.com.au
"From $2,121,008",2121008.0,"24 The Boulevarde, Panania NSW 2035",Panania,3,4,3,Apartment / Unit / Flat,https://www.domain.com.au/property/panania/apartment--unit--flat-17,domain.com.au
"Guide $1,318,790",1318790.0,"27 High St, Panania NSW 2080",Panania,3,2,0,Villa,https://www.realestateview.com.au/property/panania/villa-19,realestateview.com.au
"Guide $1,971,254",1971254.0,"278 Main St, Panania NSW 2642",Panania,5,4,0,Penthouse,https://www.realestateview.com.au/property/panania/penthouse-20,realestateview.com.au
"$1,190,811 ONO",1190811.0,"843 Albert St, Panania NSW 2585",Panania,1,1,0,Townhouse,https://www.realestateview.com.au/property/panania/townhouse-22,realestateview.com.au
"$2,059,141 ONO",2059141.0,"41 Edward St, Panania NSW 2893",Panania,3,4,1,Penthouse,https://www.domain.com.au/property/panania/penthouse-23,domain.com.au
"From $1,004,269",1004269.0,"434 Beach Rd, Panania NSW 2110",Panania,3,3,1,Villa,https://www.realestateview.com.au/property/panania/villa-24,realestateview.com.au
