price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,082,257",1082257.0,"553 George St, Parklea NSW 2199",Parklea,0,1,4,Studio,https://www.realestate.com.au/property/parklea/studio-0,realestate.com.au
"From $751,813",751813.0,"894 Beach Rd, Parklea NSW 2099",Parklea,0,1,1,Studio,https://www.realestateview.com.au/property/parklea/studio-1,realestateview.com.au
"$2,270,191 - $2,506,065",2270191.0,"158 Church St, Parklea NSW 2664",Parklea,3,4,1,Villa,https://www.domain.com.au/property/parklea/villa-2,domain.com.au
"$1,681,518",1681518.0,"473 Elizabeth St, Parklea NSW 2921",Parklea,2,1,4,Townhouse,https://www.rent.com.au/property/parklea/townhouse-3,rent.com.au
"$798,788 ONO",798788.0,"556 George St, Parklea NSW 2953",Parklea,2,3,3,Villa,https://www.realestateview.com.au/property/parklea/villa-5,realestateview.com.au
"Guide $2,343,577",2343577.0,"485 Pacific Highway, Parklea NSW 2975",Parklea,3,3,4,Townhouse,https://www.domain.com.au/property/parklea/townhouse-6,domain.com.au
"$1,365,731 - $1,616,735",1365731.0,"610 Military Rd, Parklea NSW 2535",Parklea,0,1,1,Studio,https://www.realestate.com.au/property/parklea/studio-7,realestate.com.au
"$1,711,292 - $1,934,614",1711292.0,"653 Pacific Highway, Parklea NSW 2101",Parklea,4,3,1,Penthouse,https://www.realestateview.com.au/property/parklea/penthouse-8,realestateview.com.au
"$1,505,932",1505932.0,"991 The Boulevarde, Parklea NSW 2396",Parklea,3,3,0,Penthouse,https://www.domain.com.au/property/parklea/penthouse-9,domain.com.au
"$1,972,389",1972389.0,"559 Pacific Highway, Parklea NSW 2928",Parklea,1,2,3,Villa,https://www.realestateview.com.au/property/parklea/villa-10,realestateview.com.au
"$1,330,368 ONO",1330368.0,"271 The Boulevarde, Parklea NSW 2846",Parklea,3,4,2,Townhouse,https://www.domain.com.au/property/parklea/townhouse-11,domain.com.au
"Guide $603,875",603875.0,"814 Market St, Parklea NSW 2375",Parklea,6,3,1,Penthouse,https://www.realestateview.com.au/property/parklea/penthouse-13,realestateview.com.au
"$725,047 ONO",725047.0,"986 Pacific Highway, Parklea NSW 2265",Parklea,4,3,3,Penthouse,https://www.rent.com.au/property/parklea/penthouse-15,rent.com.au
"$1,250,290",1250290.0,"380 Albert St, Parklea NSW 2893",Parklea,4,3,2,Townhouse,https://www.realestate.com.au/property/parklea/townhouse-16,realestate.com.au
"$1,404,351 ONO",1404351.0,"465 Pacific Highway, Parklea NSW 2035",Parklea,3,1,3,Apartment / Unit / Flat,https://www.realestateview.com.au/property/parklea/apartment--unit--flat-17,realestateview.com.au
"Guide $2,050,098",2050098.0,"934 James St, Parklea NSW 2275",Parklea,3,1,2,Townhouse,https://www.domain.com.au/property/parklea/townhouse-18,domain.com.au
"$661,295 ONO",661295.0,"567 Elizabeth St, Parklea NSW 2881",Parklea,2,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/parklea/apartment--unit--flat-19,rent.com.au
"From $2,111,773",2111773.0,"486 Railway St, Parklea NSW 2185",Parklea,3,2,2,House,https://www.rent.com.au/property/parklea/house-21,rent.com.au
"Guide $1,821,729",1821729.0,"534 Market St, Parklea NSW 2775",Parklea,3,2,2,Townhouse,https://www.realestate.com.au/property/parklea/townhouse-22,realestate.com.au
"Guide $543,743",543743.0,"44 Church St, Parklea NSW 2346",Parklea,0,1,1,Studio,https://www.rent.com.au/property/parklea/studio-23,rent.com.au
"$687,218 - $873,618",687218.0,"167 High St, Parklea NSW 2715",Parklea,3,3,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/parklea/apartment--unit--flat-24,realestate.com.au
