price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"Guide $1,027,424",1027424.0,"369 Ocean Rd, Parramatta NSW 2404",Parramatta,6,3,1,Penthouse,https://www.realestate.com.au/property/parramatta/penthouse-0,realestate.com.au
"$886,508 ONO",886508.0,"617 King St, Parramatta NSW 2887",Parramatta,1,1,0,House,https://www.realestate.com.au/property/parramatta/house-1,realestate.com.au
"$656,800",656800.0,"436 Albert St, Parramatta NSW 2339",Parramatta,2,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/parramatta/apartment--unit--flat-2,realestate.com.au
"$760,391 - $942,142",760391.0,"272 Railway St, Parramatta NSW 2284",Parramatta,3,4,2,Townhouse,https://www.domain.com.au/property/parramatta/townhouse-3,domain.com.au
"$886,904 - $1,079,043",886904.0,"902 Beach Rd, Parramatta NSW 2409",Parramatta,3,1,1,Apartment / Unit / Flat,https://www.realestate.com.au/property/parramatta/apartment--unit--flat-4,realestate.com.au
"From $1,170,104",1170104.0,"413 Military Rd, Parramatta NSW 2145",Parramatta,2,3,0,Villa,https://www.realestate.com.au/property/parramatta/villa-5,realestate.com.au
"Guide $847,838",847838.0,"548 Market St, Parramatta NSW 2360",Parramatta,2,3,2,Villa,https://www.realestateview.com.au/property/parramatta/villa-6,realestateview.com.au
"From $999,084",999084.0,"808 Queen St, Parramatta NSW 2696",Parramatta,3,3,2,Apartment / Unit / Flat,https://www.rent.com.au/property/parramatta/apartment--unit--flat-7,rent.com.au
"$1,099,764 - $1,246,236",1099764.0,"256 Princes Highway, Parramatta NSW 2686",Parramatta,1,2,0,Townhouse,https://www.realestate.com.au/property/parramatta/townhouse-8,realestate.com.au
"From $944,589",944589.0,"40 Elizabeth St, Parramatta NSW 2678",Parramatta,4,3,4,Penthouse,https://www.realestate.com.au/property/parramatta/penthouse-9,realestate.com.au
"$768,005 ONO",768005.0,"526 Main St, Parramatta NSW 2967",Parramatta,3,1,0,Apartment / Unit / Flat,https://www.realestateview.com.au/property/parramatta/apartment--unit--flat-11,realestateview.com.au
"Guide $1,163,784",1163784.0,"457 Albert St, Parramatta NSW 2072",Parramatta,3,1,3,Villa,https://www.realestate.com.au/property/parramatta/villa-12,realestate.com.au
"$666,092",666092.0,"310 Beach Rd, Parramatta NSW 2271",Parramatta,5,4,2,Villa,https://www.realestate.com.au/property/parramatta/villa-14,realestate.com.au
"$634,168",634168.0,"379 Beach Rd, Parramatta NSW 2531",Parramatta,4,3,0,Penthouse,https://www.domain.com.au/property/parramatta/penthouse-15,domain.com.au
"From $1,043,294",1043294.0,"659 Victoria St, Parramatta NSW 2226",Parramatta,0,1,1,Studio,https://www.rent.com.au/property/parramatta/studio-18,rent.com.au
"From $926,701",926701.0,"1 James St, Parramatta NSW 2205",Parramatta,2,2,1,House,https://www.realestateview.com.au/property/parramatta/house-19,realestateview.com.au
"$1,174,963 - $1,464,230",1174963.0,"661 Edward St, Parramatta NSW 2269",Parramatta,3,2,0,Townhouse,https://www.domain.com.au/property/parramatta/townhouse-20,domain.com.au
"Guide $888,799",888799.0,"931 Church St, Parramatta NSW 2198",Parramatta,5,2,0,Penthouse,https://www.domain.com.au/property/parramatta/penthouse-21,domain.com.au
"$871,611 ONO",871611.0,"628 The Boulevarde, Parramatta NSW 2525",Parramatta,1,1,1,House,https://www.realestate.com.au/property/parramatta/house-22,realestate.com.au
"$1,178,610 - $1,433,911",1178610.0,"423 Pacific Highway, Parramatta NSW 2591",Parramatta,1,1,0,Villa,https://www.realestate.com.au/property/parramatta/villa-23,realestate.com.au
"$664,736 ONO",664736.0,"351 Pacific Highway, Parramatta NSW 2584",Parramatta,3,4,0,House,https://www.rent.com.au/property/parramatta/house-24,rent.com.au
