price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"$1,905,434 - $2,126,276",1905434.0,"405 Victoria St, Peakhurst NSW 2863",Peakhurst,1,2,2,Villa,https://www.domain.com.au/property/peakhurst/villa-0,domain.com.au
"From $851,305",851305.0,"449 James St, Peakhurst NSW 2407",Peakhurst,0,1,0,Studio,https://www.domain.com.au/property/peakhurst/studio-1,domain.com.au
"$1,425,589",1425589.0,"763 Princes Highway, Peakhurst NSW 2672",Peakhurst,3,1,0,Apartment / Unit / Flat,https://www.realestate.com.au/property/peakhurst/apartment--unit--flat-2,realestate.com.au
"Guide $1,247,992",1247992.0,"949 Beach Rd, Peakhurst NSW 2051",Peakhurst,6,4,1,Penthouse,https://www.realestate.com.au/property/peakhurst/penthouse-3,realestate.com.au
"$1,960,735 ONO",1960735.0,"832 Princes Highway, Peakhurst NSW 2125",Peakhurst,6,3,2,Penthouse,https://www.domain.com.au/property/peakhurst/penthouse-4,domain.com.au
"$1,763,995 - $1,893,809",1763995.0,"811 Elizabeth St, Peakhurst NSW 2539",Peakhurst,0,1,1,Studio,https://www.realestateview.com.au/property/peakhurst/studio-5,realestateview.com.au
"$2,392,781 - $2,601,713",2392781.0,"851 Ocean Rd, Peakhurst NSW 2368",Peakhurst,0,1,2,Studio,https://www.realestateview.com.au/property/peakhurst/studio-6,realestateview.com.au
"$687,162 - $812,554",687162.0,"707 Ocean Rd, Peakhurst NSW 2490",Peakhurst,2,1,3,House,https://www.domain.com.au/property/peakhurst/house-8,domain.com.au
"$2,262,165 ONO",2262165.0,"217 Park Ave, Peakhurst NSW 2047",Peakhurst,0,1,2,Studio,https://www.rent.com.au/property/peakhurst/studio-9,rent.com.au
"$1,223,881 - $1,435,953",1223881.0,"337 James St, Peakhurst NSW 2425",Peakhurst,0,1,0,Studio,https://www.realestate.com.au/property/peakhurst/studio-10,realestate.com.au
"Guide $1,786,599",1786599.0,"790 King St, Peakhurst NSW 2150",Peakhurst,4,1,1,House,https://www.realestateview.com.au/property/peakhurst/house-11,realestateview.com.au
"$971,850 - $1,268,158",971850.0,"1 Railway St, Peakhurst NSW 2748",Peakhurst,3,2,2,Apartment / Unit / Flat,https://www.realestate.com.au/property/peakhurst/apartment--unit--flat-12,realestate.com.au
"$2,201,054 ONO",2201054.0,"272 Edward St, Peakhurst NSW 2759",Peakhurst,1,1,0,House,https://www.domain.com.au/property/peakhurst/house-13,domain.com.au
"$643,018 - $807,153",643018.0,"968 Market St, Peakhurst NSW 2166",Peakhurst,3,4,4,House,https://www.domain.com.au/property/peakhurst/house-14,domain.com.au
"$2,213,549 ONO",2213549.0,"889 Ocean Rd, Peakhurst NSW 2953",Peakhurst,4,2,1,Villa,https://www.realestate.com.au/property/peakhurst/villa-15,realestate.com.au
"Guide $1,939,342",1939342.0,"989 King St, Peakhurst NSW 2757",Peakhurst,4,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/peakhurst/apartment--unit--flat-16,domain.com.au
"Guide $1,888,236",1888236.0,"555 George St, Peakhurst NSW 2372",Peakhurst,0,1,4,Studio,https://www.realestate.com.au/property/peakhurst/studio-17,realestate.com.au
"From $858,716",858716.0,"515 The Boulevarde, Peakhurst NSW 2545",Peakhurst,3,1,0,Townhouse,https://www.rent.com.au/property/peakhurst/townhouse-18,rent.com.au
"$2,066,750 ONO",2066750.0,"623 James St, Peakhurst NSW 2848",Peakhurst,3,4,0,Townhouse,https://www.realestate.com.au/property/peakhurst/townhouse-19,realestate.com.au
"From $2,434,894",2434894.0,"46 Edward St, Peakhurst NSW 2633",Peakhurst,3,3,0,Villa,https://www.realestateview.com.au/property/peakhurst/villa-20,realestateview.com.au
"$2,385,444 ONO",2385444.0,"920 Princes Highway, Peakhurst NSW 2576",Peakhurst,2,1,1,Villa,https://www.realestateview.com.au/property/peakhurst/villa-21,realestateview.com.au
"From $2,410,175",2410175.0,"467 Park Ave, Peakhurst NSW 2352",Peakhurst,1,2,0,House,https://www.realestate.com.au/property/peakhurst/house-22,realestate.com.au
"$723,045 ONO",723045.0,"438 Market St, Peakhurst NSW 2952",Peakhurst,4,1,2,Apartment / Unit / Flat,https://www.domain.com.au/property/peakhurst/apartment--unit--flat-23,domain.com.au
