price,price_numeric,address,suburb,bedrooms,bathrooms,parking,property_type,link,source
"From $1,793,008",1793008.0,"212 The Boulevarde, Peakhurst Heights NSW 2298",Peakhurst Heights,0,1,1,Studio,https://www.rent.com.au/property/peakhurst-heights/studio-0,rent.com.au
"Guide $1,143,400",1143400.0,"682 Pacific Highway, Peakhurst Heights NSW 2123",Peakhurst Heights,2,1,3,House,https://www.realestateview.com.au/property/peakhurst-heights/house-1,realestateview.com.au
"$1,092,927 - $1,203,132",1092927.0,"413 Pacific Highway, Peakhurst Heights NSW 2365",Peakhurst Heights,3,2,3,Villa,https://www.realestate.com.au/property/peakhurst-heights/villa-2,realestate.com.au
"From $2,466,443",2466443.0,"653 Victoria St, Peakhurst Heights NSW 2594",Peakhurst Heights,2,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/peakhurst-heights/apartment--unit--flat-3,domain.com.au
"From $718,290",718290.0,"408 Edward St, Peakhurst Heights NSW 2106",Peakhurst Heights,2,1,0,Apartment / Unit / Flat,https://www.domain.com.au/property/peakhurst-heights/apartment--unit--flat-4,domain.com.au
"$2,339,498 - $2,423,250",2339498.0,"563 George St, Peakhurst Heights NSW 2141",Peakhurst Heights,0,1,2,Studio,https://www.realestate.com.au/property/peakhurst-heights/studio-5,realestate.com.au
"$1,264,801 - $1,440,571",1264801.0,"961 The Boulevarde, Peakhurst Heights NSW 2976",Peakhurst Heights,3,1,2,Villa,https://www.rent.com.au/property/peakhurst-heights/villa-6,rent.com.au
"$606,164 ONO",606164.0,"581 Queen St, Peakhurst Heights NSW 2728",Peakhurst Heights,0,1,2,Studio,https://www.rent.com.au/property/peakhurst-heights/studio-8,rent.com.au
"$2,270,310 ONO",2270310.0,"826 George St, Peakhurst Heights NSW 2944",Peakhurst Heights,0,1,0,Studio,https://www.rent.com.au/property/peakhurst-heights/studio-9,rent.com.au
"$2,079,643 - $2,280,944",2079643.0,"534 Queen St, Peakhurst Heights NSW 2932",Peakhurst Heights,0,1,1,Studio,https://www.domain.com.au/property/peakhurst-heights/studio-10,domain.com.au
"From $790,134",790134.0,"607 Elizabeth St, Peakhurst Heights NSW 2774",Peakhurst Heights,3,3,2,Villa,https://www.realestate.com.au/property/peakhurst-heights/villa-11,realestate.com.au
"$2,230,415 - $2,345,126",2230415.0,"877 High St, Peakhurst Heights NSW 2207",Peakhurst Heights,2,1,1,Townhouse,https://www.realestate.com.au/property/peakhurst-heights/townhouse-12,realestate.com.au
"$735,828 - $998,300",735828.0,"104 Edward St, Peakhurst Heights NSW 2304",Peakhurst Heights,4,3,1,Apartment / Unit / Flat,https://www.domain.com.au/property/peakhurst-heights/apartment--unit--flat-13,domain.com.au
"Guide $1,577,441",1577441.0,"55 Ocean Rd, Peakhurst Heights NSW 2822",Peakhurst Heights,4,2,0,Townhouse,https://www.rent.com.au/property/peakhurst-heights/townhouse-14,rent.com.au
"$630,899",630899.0,"707 Railway St, Peakhurst Heights NSW 2192",Peakhurst Heights,4,2,2,Penthouse,https://www.domain.com.au/property/peakhurst-heights/penthouse-16,domain.com.au
"From $1,905,119",1905119.0,"406 Pacific Highway, Peakhurst Heights NSW 2124",Peakhurst Heights,0,1,2,Studio,https://www.realestate.com.au/property/peakhurst-heights/studio-17,realestate.com.au
"From $2,410,558",2410558.0,"602 Queen St, Peakhurst Heights NSW 2861",Peakhurst Heights,6,1,3,Townhouse,https://www.rent.com.au/property/peakhurst-heights/townhouse-18,rent.com.au
"Guide $1,164,662",1164662.0,"983 King St, Peakhurst Heights NSW 2677",Peakhurst Heights,3,2,2,House,https://www.realestate.com.au/property/peakhurst-heights/house-19,realestate.com.au
"Guide $2,336,191",2336191.0,"642 William St, Peakhurst Heights NSW 2609",Peakhurst Heights,3,2,0,Apartment / Unit / Flat,https://www.rent.com.au/property/peakhurst-heights/apartment--unit--flat-20,rent.com.au
"Guide $864,434",864434.0,"182 Ocean Rd, Peakhurst Heights NSW 2115",Peakhurst Heights,1,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/peakhurst-heights/apartment--unit--flat-22,rent.com.au
"$1,336,581",1336581.0,"566 Queen St, Peakhurst Heights NSW 2706",Peakhurst Heights,3,1,1,Apartment / Unit / Flat,https://www.rent.com.au/property/peakhurst-heights/apartment--unit--flat-23,rent.com.au
"Guide $1,542,031",1542031.0,"644 Princes Highway, Peakhurst Heights NSW 2872",Peakhurst Heights,3,3,3,Penthouse,https://www.domain.com.au/property/peakhurst-heights/penthouse-24,domain.com.au
